#Magnetic field (mT)	Frequency (GHz)	Normalized transmission
65.0	2.090000000	0.996820694
65.0	2.090020000	0.998360991
65.0	2.090040000	0.996109951
65.0	2.090060000	1.000890165
65.0	2.090080000	0.997612159
65.0	2.090100000	0.997321118
65.0	2.090120000	0.997497962
65.0	2.090140100	0.998676140
65.0	2.090160100	0.998747641
65.0	2.090180100	0.999686970
65.0	2.090200100	1.000011326
65.0	2.090220100	0.998833454
65.0	2.090240100	1.000726303
65.0	2.090260100	0.998789746
65.0	2.090280100	0.998097942
65.0	2.090300100	0.998938086
65.0	2.090320100	0.998341236
65.0	2.090340100	0.998746626
65.0	2.090360100	1.000552125
65.0	2.090380200	0.999573221
65.0	2.090400200	0.998666227
65.0	2.090420200	0.998364877
65.0	2.090440200	1.000316323
65.0	2.090460200	0.998500413
65.0	2.090480200	0.998045116
65.0	2.090500200	0.999719081
65.0	2.090520200	0.998890707
65.0	2.090540200	0.998157784
65.0	2.090560200	1.000513856
65.0	2.090580200	0.997544097
65.0	2.090600200	0.998642821
65.0	2.090620200	0.999302795
65.0	2.090640300	0.999285912
65.0	2.090660300	0.998827306
65.0	2.090680300	1.000845723
65.0	2.090700300	0.999076072
65.0	2.090720300	0.999718935
65.0	2.090740300	0.999756459
65.0	2.090760300	0.998930585
65.0	2.090780300	1.000155423
65.0	2.090800300	1.000465508
65.0	2.090820300	1.000464516
65.0	2.090840300	1.000111344
65.0	2.090860300	1.001456896
65.0	2.090880400	0.999405670
65.0	2.090900400	0.999011774
65.0	2.090920400	0.998060576
65.0	2.090940400	0.999827649
65.0	2.090960400	1.001340614
65.0	2.090980400	1.001716365
65.0	2.091000400	1.000430343
65.0	2.091020400	0.999670765
65.0	2.091040400	0.999976117
65.0	2.091060400	0.996512303
65.0	2.091080400	1.000377014
65.0	2.091100400	0.999092607
65.0	2.091120400	1.001710876
65.0	2.091140500	1.000438666
65.0	2.091160500	0.998354935
65.0	2.091180500	0.999037694
65.0	2.091200500	0.998097656
65.0	2.091220500	1.000946471
65.0	2.091240500	0.999173314
65.0	2.091260500	1.000590113
65.0	2.091280500	1.001415816
65.0	2.091300500	0.996339375
65.0	2.091320500	1.001253854
65.0	2.091340500	1.000644741
65.0	2.091360500	1.001982403
65.0	2.091380600	1.002019569
