# κ κ_c ℽ g ΔE
9.257770810737957906e-03 9.580748528982229020e-06 4.178355539308475615e-04 8.548520265611815952e-03 6.903410031163423888e-01
2.543019947862550263e-03 2.743600410026673282e-05 3.876318570019366468e-03 1.345757371375919109e-03 1.003202015887560972e+00
1.968540917447409236e-03 3.398237983077752881e-05 9.785475456757045457e-03 4.355494000255187050e-03 1.344352351443895310e+00
7.602353324140400347e-03 9.667690319985966431e-05 3.258110946185019917e-03 1.205761572721084389e-03 1.167841367999985724e+00
9.515253156399183093e-03 3.195031952504224587e-05 5.829617618684938829e-03 4.279031560337079668e-03 1.054185825854917935e+00
2.157930290801043580e-03 4.379904461221879105e-05 1.965010824529053214e-03 3.260182383711472676e-03 1.294167218587164436e+00
2.206057550476901892e-03 1.405674802728333789e-05 4.426982057486672853e-03 2.389549355515417379e-03 5.059056706615596699e-01
2.174697507887554237e-03 6.192993607838096957e-05 6.967257168380182331e-03 5.380004977982558514e-03 7.937747441383370406e-01
3.817351396112215588e-03 8.901770879941963463e-05 3.897190987693514353e-04 1.726352480082530378e-03 1.412841444892917409e+00
6.539367589868639967e-03 9.304193617557472015e-06 8.828304673371915878e-03 8.115911852498098114e-03 1.211235472703455329e+00
5.183283482482995731e-03 2.952488900194633001e-06 9.255010265964362659e-03 4.532941486130065423e-03 7.603943493052210956e-01
5.803189809338421198e-03 4.798174647389729627e-05 8.787417504250355288e-04 9.706093174981951510e-03 8.214706655802411772e-01
8.493233299469837155e-03 6.018182372901952277e-06 9.254663105290905981e-03 1.782438313922225358e-03 1.486793441348885914e+00
8.633276056016552999e-03 4.856913443355444617e-05 6.409446073263489960e-03 9.074360417991927594e-03 6.835492914625369565e-01
2.046191379165361590e-03 9.276035999133579928e-05 1.848971295350941655e-03 9.588947147798263654e-03 1.357683806237422797e+00
1.383206188423851714e-03 6.293295245220900734e-05 1.161697810857795134e-03 3.235369760139445404e-03 6.555215315648011964e-01
3.095760459459822971e-03 9.023635126821147995e-05 2.276446787472599393e-03 4.318394723745511143e-03 5.633267235331325118e-01
