# κ κ_c ℽ g ΔE
3.656906751386989111e-04 9.758497826503518765e-05 5.201033594367418002e-03 1.494061340644045784e-02 2.175392036299603760e+00
2.003766950103656589e-04 7.923019931329607730e-05 7.344952467957785447e-03 1.089963724672991970e-02 2.267369241507481981e+00
6.255152221432961528e-04 1.151974967503579042e-05 6.050829151198090262e-03 1.226368918671665899e-02 2.281143091533255340e+00
7.282585998661873956e-04 9.751721858326247404e-05 6.707211867027410186e-03 1.435613996918316121e-02 2.297215563948802330e+00
4.327303532642586513e-04 5.874024232716813473e-05 7.535033366477136840e-03 1.348683582661226038e-02 2.136864094602870967e+00
3.007301782633302876e-04 6.413529039079177076e-05 6.496060371847861212e-03 1.345665838620643123e-02 1.990866541490133645e+00
4.413146571890480779e-04 3.710149600879071070e-05 5.778648790830704686e-03 1.205444175570330803e-02 1.823305777745059419e+00
7.337734467912304876e-04 6.309388452927938457e-05 6.016297354517297774e-03 1.100051762891408012e-02 2.144864506679579730e+00
1.831322471869995146e-04 1.599341699509360050e-05 6.701195684763992105e-03 1.256842766867944869e-02 1.974378568382474386e+00
9.827348479009127575e-04 6.689743533914463641e-05 6.535190736141407997e-03 1.244208330450899402e-02 1.891445009260285914e+00
9.680531119380329222e-04 3.416755459019690664e-05 5.609084842401748476e-03 1.277999919178778032e-02 1.838818276666205120e+00
7.321859457180262404e-04 2.221483429842417039e-05 7.592529880570705533e-03 1.215522441037577422e-02 2.133101486022531024e+00
3.368018236726680651e-04 6.568994670112289101e-05 7.067178467218717189e-03 1.194847460970923335e-02 1.892498532339479178e+00
5.935060866580244444e-04 8.420966464004220082e-05 7.664363348173918941e-03 1.463950361397757874e-02 2.228555958462651976e+00
1.503808029416708685e-04 2.146835503140748317e-05 6.786063865544176427e-03 1.205616449711347307e-02 2.163052874516909085e+00
5.940359192750006585e-04 3.567674222614687190e-05 5.008799357752511186e-03 1.429456209029758215e-02 2.142620704362380391e+00
7.594617764851846475e-04 3.145690644429164061e-05 5.921526134222900896e-03 1.376700506339914240e-02 1.828114513781102790e+00
9.559260800790607415e-04 9.851099358982267186e-05 5.684868495081383914e-03 1.336934071459613092e-02 1.950776777316179045e+00
4.154570161494605023e-04 4.140247860068631172e-05 6.119398987909618545e-03 1.357958800914784228e-02 2.117690565070447395e+00
4.891420715261215330e-04 5.783238738449119568e-05 5.261696454666666897e-03 1.312432353660968054e-02 2.033351163904733472e+00
3.057776961111797901e-04 8.973098285150871275e-05 5.607464173812764033e-03 1.173315218826641998e-02 1.972876791806513985e+00
2.925448801506787353e-04 4.958829553854709240e-05 5.259359860138412661e-03 1.256960447170691816e-02 2.160568236661370989e+00
8.029853080193868897e-04 8.554755804783492439e-05 5.811606296529584284e-03 1.353803499231651455e-02 2.119984956444826096e+00
5.100773706224543324e-04 3.752141036913797176e-05 5.274406867521370425e-03 1.476569208007386808e-02 1.903642578199598701e+00
8.221028872882453833e-04 2.451726895799732521e-05 5.743919220030559852e-03 1.075293970773953840e-02 2.152232384998774339e+00
5.629160378934278727e-04 1.688040264892469111e-05 6.463572025166640367e-03 1.337788771615978228e-02 1.883996677507247419e+00
9.480897810258669687e-04 3.605861512973423775e-05 7.429802496306645195e-03 1.189415596345845365e-02 2.256043469038838456e+00
9.427832619176426199e-04 7.058994218826369915e-05 5.269140696217031357e-03 1.291693452388628822e-02 1.915897182171571345e+00
4.106153403163640900e-04 5.403495388633959752e-05 6.787901765318329374e-03 1.254822659793046122e-02 2.074295444847892966e+00
