# κ κ_c ℽ g ΔE
3.162765580707033023e-04 1.967131516131471114e-05 5.374922047058206150e-03 1.253106098131769389e-02 1.934501734858472988e+00
6.258017455289499294e-04 3.228803213522267148e-05 5.786701878666236122e-03 1.186124299653617056e-02 2.358510353338172827e+00
2.555602133128644961e-04 2.125550811598275297e-05 5.704707462964107856e-03 1.292935848592318207e-02 2.011423553132499542e+00
5.427213932768092542e-04 3.044946674566378539e-05 7.267725101311368202e-03 1.320241174470917177e-02 2.371787145507896266e+00
6.247223299294987330e-04 3.117826457694247277e-05 7.734483533600551228e-03 1.237507397295562091e-02 1.940212198897543150e+00
2.809440770574910700e-04 1.863669149044687855e-05 6.057928771821499692e-03 1.172368082567385242e-02 2.351455177776368366e+00
2.847825778126309923e-04 1.986298267117348479e-05 7.972586202122794452e-03 1.292141201289911598e-02 1.872758815629246287e+00
5.261574892668697189e-04 1.721219774106108155e-05 7.959834139467939634e-03 1.172169360770983042e-02 2.315092233360088514e+00
6.148241216282228274e-04 1.518331825881440685e-05 6.314062267958160495e-03 1.297589933204970278e-02 2.136981099542472506e+00
3.847931283797454468e-04 2.962671897834853420e-05 5.213059331740100590e-03 1.212334425242857054e-02 2.283007338463932445e+00
6.148329333323075425e-04 2.874276727867100214e-05 7.853984280246811486e-03 1.317291160052663432e-02 2.271976337283770242e+00
4.016743884353237044e-04 3.035012068261624995e-05 6.837625376239856063e-03 1.155131200021424290e-02 2.027802487142118082e+00
5.084976298932434744e-04 2.459961558291641077e-05 6.569309543931624307e-03 1.266243737047969935e-02 1.819825833447524355e+00
6.289827707980713556e-04 2.989111537096582810e-05 7.091683585064048959e-03 1.234603433599973377e-02 2.122060997631543877e+00
2.451244819389867581e-04 2.675884771914060865e-05 6.981637741514107667e-03 1.202736396591926396e-02 2.168900480658015884e+00
4.504756544328683424e-04 2.257482274339249587e-05 5.394450348653087590e-03 1.255529240306350706e-02 2.092553307492688752e+00
5.002947860740256190e-04 2.673250009121949067e-05 6.314671277451462846e-03 1.334177084920659326e-02 1.923794714552619745e+00
2.493753189603068192e-04 2.919560245245302418e-05 5.486808364330650854e-03 1.254838274822964173e-02 2.059611761697507593e+00
3.330102591610664253e-04 2.472818493933047959e-05 6.093892876946534545e-03 1.185385750846472581e-02 2.053999676266035301e+00
3.195914800127969634e-04 1.813443792787022938e-05 5.296168928797573110e-03 1.317111227511530425e-02 2.017389903971965381e+00
3.861284989221072010e-04 2.242968114432705631e-05 5.524501971860521984e-03 1.220728275458122722e-02 2.304042494707861266e+00
2.992451911295205885e-04 3.120640894382135076e-05 6.441734989928350405e-03 1.216563352332395570e-02 2.230271795344852759e+00
2.725086436434844038e-04 3.219615542106841837e-05 5.379043414094453190e-03 1.297647316216129360e-02 1.957886812965643486e+00
2.112078759345262864e-04 2.092479140821823394e-05 5.880283801133722767e-03 1.333413558477243056e-02 2.000072232935565353e+00
4.595996390147214427e-04 3.479684966389392018e-05 7.813799235774968738e-03 1.252906915521119317e-02 2.114637591750621937e+00
2.300735798974718296e-04 1.737083886299234264e-05 6.240906730357259104e-03 1.165999937473921784e-02 1.968322457389136693e+00
2.325324808873657377e-04 3.034517612155814188e-05 5.406647904281334377e-03 1.185625675032933417e-02 1.989870418204204183e+00
3.308738944326967187e-04 3.146689524709305803e-05 7.108984465725992977e-03 1.205305554501985392e-02 1.984697382896110085e+00
6.246145851868636001e-04 2.736213874639005855e-05 7.230309250665541143e-03 1.242471434858070586e-02 2.081920402434157769e+00
6.385650597980123628e-04 2.848668456112192504e-05 6.723188597782639962e-03 1.305016927908140070e-02 1.957674885864714165e+00
3.588684272553578094e-04 1.898399985531745170e-05 5.532143457301371900e-03 1.154227139783280641e-02 2.193975070824805584e+00
2.561708794881420990e-04 1.632452000390382309e-05 5.039496268207291525e-03 1.327558177253266788e-02 2.017319607332907605e+00
2.426427976194048763e-04 1.633276734499389390e-05 7.972923775909022612e-03 1.342827237400121693e-02 2.233864324375223198e+00
3.630831259199695398e-04 2.729183511771517148e-05 5.879509193280648208e-03 1.256513483863300543e-02 1.896142990041702392e+00
2.327194952749927495e-04 2.369722231089525170e-05 6.833124493255834063e-03 1.151996746110419551e-02 2.049908330750967345e+00
3.620383959898089421e-04 1.732493001831442728e-05 5.932418097833680459e-03 1.299337655390628461e-02 2.292042860580230101e+00
5.045496064641871075e-04 2.792775386136137888e-05 6.855802462291338273e-03 1.154462150280392146e-02 1.992233147263130277e+00
3.173692272080276371e-04 3.157673164710159792e-05 6.550161807896913088e-03 1.156691533918874533e-02 1.971342372135213239e+00
2.299826689146620452e-04 1.910938288639589761e-05 7.308817138303692722e-03 1.271058314330015225e-02 1.945714726883305268e+00
3.429688384999369372e-04 2.933739721790201393e-05 5.743284040906963123e-03 1.184828056062247476e-02 1.982979850337908800e+00
2.905788958471853829e-04 3.453220976628341169e-05 6.284000590947311574e-03 1.274725386783341283e-02 2.046858836297906326e+00
2.761976578101001177e-04 3.358731081704434559e-05 5.395303306487419376e-03 1.218513233656975080e-02 2.165928708137379477e+00
2.418370771850960243e-04 3.130198113159854287e-05 7.973966160748437865e-03 1.197275387289232183e-02 1.972788815121644612e+00
5.427580791594810092e-04 2.775127795463944722e-05 6.525301815793032797e-03 1.193717202121758955e-02 2.156025374524741967e+00
4.004966315799691730e-04 2.348367251882229343e-05 7.339035132535249098e-03 1.331299523563757477e-02 2.028472903904995128e+00
2.867778597785215398e-04 3.144783602421377086e-05 5.929072227597541149e-03 1.248795771264830413e-02 2.172397332241359891e+00
5.895458740735876188e-04 2.258832906314310905e-05 5.913994958580862799e-03 1.229853207825314966e-02 1.800670338626280342e+00
4.564853993255887270e-04 1.704080777565715051e-05 6.446550658400591535e-03 1.262792616231211279e-02 1.965079288645421363e+00
3.134257158767174856e-04 1.639779641066866077e-05 7.613716194087976133e-03 1.296339128672779895e-02 1.804188759595625857e+00
4.860462214551155994e-04 3.222729020800130169e-05 5.947332586635380516e-03 1.251918040570322230e-02 2.199600592625897022e+00
3.314818917641987870e-04 3.172474613486856067e-05 5.713964225006383513e-03 1.179925256728935751e-02 1.936501969888723140e+00
2.062319166261430416e-04 2.899571791031497938e-05 6.735527106384559849e-03 1.190074404241054859e-02 1.852607375018336278e+00
3.791643749519449033e-04 1.685260291236540217e-05 6.664030071282275695e-03 1.206096931567615139e-02 1.867899149308403617e+00
4.024359112165980853e-04 2.045306590161657706e-05 7.885666385747287788e-03 1.339599732965948350e-02 2.128896382914581054e+00
4.376797565012362830e-04 2.591178354923550414e-05 7.021536778472139279e-03 1.166608794674430828e-02 1.953807697512278008e+00
5.527542468695542319e-04 2.961567656621748583e-05 5.498181217615914426e-03 1.220762030705865343e-02 1.829721228980522252e+00
6.001441519649845877e-04 2.088630239506766156e-05 7.375812059417703216e-03 1.269126822755025676e-02 2.270619824215331484e+00
6.271206062180292255e-04 1.694474319247232477e-05 6.649746510287293973e-03 1.243894276576173671e-02 1.878850610660228515e+00
3.649839019054447356e-04 2.507897334071830617e-05 5.216827684894225804e-03 1.337946733195059974e-02 2.255739145575118343e+00
6.417454140509273224e-04 2.183184402749690898e-05 5.941496111292819682e-03 1.243326979926927429e-02 2.016742484127586721e+00
5.352467166301674980e-04 3.177708867596413177e-05 7.891411600101828558e-03 1.346731875157647015e-02 2.066362084185379366e+00
5.137511225037509665e-04 3.027971887446943204e-05 6.528720447339863946e-03 1.263724620669090179e-02 2.058082788322856072e+00
