# κ κ_c ℽ g ΔE
4.607104942042436133e-03 6.256291739736131270e-05 9.737210706072719005e-03 8.616062226296534315e-03 6.034849341764478847e-01
6.085866188470573888e-03 7.318780665776341546e-05 8.471527282068088685e-04 6.799251568179766336e-03 6.527068668802880058e-01
4.038501544602321469e-03 4.177182470715047494e-05 7.060218059268887590e-03 2.733110108164210953e-04 7.725837028639852555e-01
6.436594707376890045e-03 5.165152992855964249e-05 5.255971280585494849e-03 2.172050614719918220e-03 1.259437967347337484e+00
1.242550631102427947e-03 6.692833450186811110e-06 6.237701766412521130e-03 5.481039061596236842e-03 5.405607442247357675e-01
8.724552321305468344e-03 6.751782227739196651e-05 6.631821981089341261e-03 7.359519880866075524e-03 1.334307005575387395e+00
9.189765678794791989e-03 9.901108021688958616e-05 7.440953984549178446e-03 5.396448552297249471e-03 1.195060966339180464e+00
4.769012390910791141e-03 1.170210968131112962e-05 8.865660440749739690e-03 9.333586987705705038e-03 1.494089546656021117e+00
3.318748120777054861e-03 9.540607835956467400e-05 6.928045655263556819e-03 4.012408860733620089e-03 7.930626602968865457e-01
1.790970015633611395e-03 6.497989248884025336e-05 4.466900373368770465e-04 7.136259978423708204e-03 6.931364840559186558e-01
1.469855873386099500e-03 7.805773397052598707e-05 5.058960264624326290e-03 2.047037004937534137e-03 1.026918205250212157e+00
9.511418587810529634e-04 2.615178512246584450e-05 6.797063448771942240e-03 2.562973465649148221e-03 8.359491910253024072e-01
6.881523838249179771e-03 3.789660731604052005e-05 6.149554697010288680e-03 3.466815403670517846e-03 7.631883335657084766e-01
5.258157510328629681e-04 2.682049574428269548e-06 6.279521245228830879e-03 6.140288070576135036e-03 6.040120985335288850e-01
2.225147635270863927e-03 6.742973809741306118e-06 2.572473700932106878e-04 9.335820017545830990e-03 8.224182277527394280e-01
7.942910481284818497e-03 6.879122602171520485e-05 9.407617773497970598e-03 1.056445746932560114e-03 7.409861944386382238e-01
9.176041027323736388e-03 9.076017500912652637e-05 8.967291415268925647e-03 2.268014117626523593e-03 1.153042653491692882e+00
4.792223013179309175e-03 3.974786192519296602e-05 6.744041054343842892e-03 3.121745054499510145e-04 9.624765751737669461e-01
9.378808956508426914e-03 2.057839247704422350e-05 2.242071156612471250e-03 2.751545619280325577e-03 6.862432592899782025e-01
3.967947674220743785e-03 1.462754894163460270e-05 2.458286662754400470e-03 9.808753264642297576e-03 7.786195758566779590e-01
6.744383826814509715e-03 8.210058690730830610e-05 1.259793991324286919e-03 5.337642205180345885e-03 1.218027121896016141e+00
1.871863297474370526e-03 8.577399274974699893e-05 5.457033409372568852e-03 4.231614710884492626e-03 1.054834908316031994e+00
9.128611586932733335e-03 3.630759227942909073e-05 2.000697169399529626e-03 9.611398359149739626e-03 1.460831024746569895e+00
7.553107524903123881e-04 1.969719081016818302e-06 5.206701238625445136e-03 4.507032008149827393e-03 1.385896786568469929e+00
1.234163287679422962e-03 5.211369718023602825e-05 7.804689331777842250e-03 2.388046748963000999e-03 9.449659170780037032e-01
7.129011724884476431e-03 7.141236859831560685e-05 1.257693691314726650e-03 6.201791915644518441e-03 1.237087574979378601e+00
3.474144524657756233e-03 4.380539476877378025e-05 5.146875445947264767e-03 3.894013989845285587e-03 8.651021637871292302e-01
9.553601994024758445e-03 8.128439872613218579e-06 6.818582232694424608e-03 5.998655587413772444e-03 1.446524266631049827e+00
4.887073706549235376e-03 6.323878560088724702e-05 8.916610391782148551e-03 2.243972782515117701e-03 1.463161048926938879e+00
2.572893723827328945e-03 6.684447684559524888e-05 9.580851272925796150e-03 9.332561276261128191e-03 7.686081758487607329e-01
8.458943836549640341e-03 8.700967357001061948e-05 9.754807942457808731e-03 8.326284522341232536e-03 9.798666337802589554e-01
6.870348403797984713e-03 6.898216471937623892e-05 1.349795755642754520e-03 7.585317917480577030e-03 9.356860932310991918e-01
2.531143096195971349e-03 4.268786523557946563e-05 6.527056592223733425e-03 8.444549159655711373e-03 1.468188560945718590e+00
7.932276941767183592e-03 9.194687366159676241e-06 1.196783907743155365e-04 6.800959398143086726e-03 5.608642356474073942e-01
4.742782656560324411e-03 3.028321724952968719e-05 7.813038097518722278e-04 4.097817594715688280e-03 1.053429061128805522e+00
3.598497603251793117e-04 1.691774603159302263e-05 8.626201627410642545e-03 8.025434677201650352e-03 1.190107064979542439e+00
4.582788243007205470e-03 1.269098077519049215e-05 6.680445284412043529e-03 8.934125379692179833e-03 1.303909221781643701e+00
6.085057727481910268e-03 9.601997543240364883e-05 6.991143726374757011e-04 6.789966501446895869e-03 6.253655460737250760e-01
8.439389321036444222e-03 5.548146459979793027e-05 3.061111511752052233e-03 9.787857801978959438e-03 7.270648965721689949e-01
6.339732376592037552e-04 7.992603035647847338e-05 9.114402790755786118e-03 3.426954933046119818e-03 7.592224676076245737e-01
9.368525353128494271e-03 9.600355380494166588e-05 5.603571646969400478e-04 2.476411050196322770e-03 5.675478973312253483e-01
8.072183059133958283e-03 6.325237067494759476e-06 1.536946685080267877e-03 3.862420497894984879e-03 1.160817379374452507e+00
8.427176444307531503e-03 4.881572651722781330e-05 7.533428414277557571e-03 2.122888345981398229e-04 1.392647553290396800e+00
4.918658787889137844e-03 6.800836318162091607e-05 9.003985894406705756e-03 9.877045165747033381e-03 1.409868399830986885e+00
8.106969521329662060e-03 7.791913062099756302e-05 1.528917839638495096e-03 4.014422440889893300e-03 1.174495470244120376e+00
5.117093903339175673e-03 1.242360539692183573e-05 3.247727220787346904e-03 7.487456634697469901e-03 7.966228252064782023e-01
7.975774971473155103e-03 5.572617307527638858e-05 1.875255398218503029e-03 7.769023866909098661e-04 9.448205184792017874e-01
9.345366844572036355e-03 2.649122944049201413e-05 7.198415620952953661e-03 2.887651413849530793e-03 5.672237206903453233e-01
4.876539017891994357e-03 1.096918637655338575e-05 7.190922468810578665e-04 7.576824051332668383e-03 5.040377777866138498e-01
6.157874445159148939e-03 1.240593772656181317e-05 4.511243375829502786e-03 8.245395828470144031e-03 6.225480612146017112e-01
8.206548884374413252e-03 7.595495934697192211e-06 8.978819347848122781e-04 6.891786204928335808e-04 5.045447871079279389e-01
5.649932166644855772e-03 1.884656359321008754e-05 5.328966777509614068e-03 5.056072209625307561e-03 7.464387819915884181e-01
8.971476042727825548e-03 6.496276449310067816e-06 7.049580874090279926e-03 3.689714055037776174e-03 9.207399410619057090e-01
2.185096306890595055e-03 1.427204971324990111e-05 8.087789982074867351e-03 4.349530518714382968e-03 6.185140271621654140e-01
7.318344902570990233e-03 3.488958622125298202e-05 2.322065250766136048e-03 7.338814962990537066e-03 1.276313705921811259e+00
5.775980116216443590e-03 9.043721507552369011e-05 4.959120912191044075e-03 5.637014989041491154e-03 1.312728803404587641e+00
5.763403321423455836e-03 6.155452682996210212e-05 9.361310047568139822e-03 2.475621150502602032e-03 5.577605828872120863e-01
1.149887611873468170e-03 7.040437298045080399e-05 1.643517432924411969e-03 9.332473691789121631e-03 7.719319278817263763e-01
2.125095594372399411e-03 4.780996126115567835e-05 5.183867084566815345e-03 3.630800115160907611e-04 7.474518953783391151e-01
8.370514993190651589e-04 2.019729201176800358e-05 9.732519956647200932e-03 8.274466598701962425e-03 1.332265897465638727e+00
6.265525112750487853e-03 8.174025798829085961e-05 4.992196488693232542e-03 1.902368482095477238e-03 5.383877930411492541e-01
9.864249542235501572e-03 2.559758304802773425e-05 6.859245292348053677e-03 7.061941406743038954e-03 1.371226279536048587e+00
7.075469026785870426e-03 3.867538629918823302e-05 1.192435177476877748e-03 4.583031799147384115e-03 9.393947071043237118e-01
1.968497348581316198e-03 2.426927909191762419e-05 3.747220417544549174e-03 6.541288312899429594e-03 1.048453456786220706e+00
5.194039522929736960e-03 4.498069158860234449e-05 6.112690077919371310e-04 3.595437528916371143e-03 5.463847896359189660e-01
4.207862748653675225e-03 3.923646758121888977e-05 1.921078878614846785e-03 8.944343838449301740e-04 5.607703321423708198e-01
7.034861666917019765e-03 7.457931044902848259e-05 1.627077873962837640e-03 9.429099177872749113e-04 1.128432060915097290e+00
5.879973224224266902e-03 9.492037617447398213e-05 8.519840112661863224e-03 3.611135684870358901e-03 1.096308461020254921e+00
7.491079587356827552e-03 3.561969481649086779e-05 1.214183254675632281e-04 7.237921526584842162e-03 6.445486126749844225e-01
2.060317235361919935e-03 4.912301038739955573e-05 6.288382579431927265e-03 8.020559142497146049e-03 1.180225637994007037e+00
5.110043220294596678e-03 5.317058212846816528e-05 1.206424758326381935e-03 2.701759840729022616e-03 1.150625940565251026e+00
5.319410504980606053e-03 8.958081177925473083e-05 4.004001855399970562e-03 3.520501287592410922e-03 8.485072479525765932e-01
6.262758654536993395e-03 6.981182990190874988e-05 4.280333660392497729e-04 8.060173985049622070e-03 1.194444983996504783e+00
3.511669812919427768e-03 3.893818311267197653e-05 4.152586007583232430e-03 9.849867799708717647e-03 1.280322898940702503e+00
6.076101426712963126e-03 1.943550165273555933e-05 9.857445959565289476e-03 7.280936275588237999e-03 8.696893498183713156e-01
5.967399921922008320e-03 2.192994698263510641e-05 9.554320933582492823e-04 4.359340857488220797e-03 1.413690723693694196e+00
4.224703855642889666e-03 7.793903958023005790e-05 9.436958825620117911e-03 6.134152701824128681e-03 5.207289711845528579e-01
7.639936981421618402e-03 8.312560801842164965e-05 3.346754771545735682e-03 3.535130006141262455e-03 1.452017060386502134e+00
4.863963549105216819e-03 8.027048205070755360e-05 6.035013354405269551e-03 2.627938393814247941e-03 1.314222951849580046e+00
8.677125791148349032e-03 3.868388687821504128e-05 8.305073220225505856e-03 7.516023845212911961e-03 5.790431182663811072e-01
3.576783833403914068e-03 4.853370493005296064e-05 8.045039246451975504e-03 8.437785423110586228e-03 7.023048405229614932e-01
6.370597078095268512e-03 9.933500267636422682e-05 2.667748139993775637e-04 6.706926884596130060e-03 7.442173919413540562e-01
2.582163425884259449e-03 4.347472202374255630e-05 6.234492908057918253e-03 1.862611130056651991e-03 8.065920575080578470e-01
6.252640599245044492e-03 4.915746491986718237e-05 9.950440666088029851e-03 6.399423136156375891e-04 9.860575262752631076e-01
1.320521289037670598e-03 8.356508408639693386e-05 3.800282155964693621e-04 6.530932358048702376e-03 7.943984859709136703e-01
6.040500129693417326e-03 8.231920734294630193e-05 9.333204537692683239e-03 1.404543378996442587e-03 8.033899923089357076e-01
7.528694216128131722e-03 8.556044647002337402e-05 2.208878129223498278e-03 3.108854037600858496e-03 9.746228707245934153e-01
6.067888348001897279e-04 1.779240278340965450e-05 4.816927498244577902e-03 2.621047800221170190e-03 1.108998444298693542e+00
7.245655206917356664e-03 3.084175420274313561e-06 3.813940869515638783e-03 8.957916558841722693e-03 7.370859668980255242e-01
6.293007702114395037e-03 1.293496808488199813e-05 8.053583486962431759e-03 3.718182093640517213e-03 9.490095840620396128e-01
2.247026901172235417e-03 7.504483264100481825e-05 4.771196443438010387e-03 2.695216532580492572e-03 8.384466599366212636e-01
4.741867838282174015e-03 1.970287857733669853e-05 4.102938687008485241e-03 2.492670987661101990e-03 1.474073430682345087e+00
7.176036030816173618e-03 6.169230164144605183e-05 9.293302832500427782e-03 2.608931398357581394e-03 1.297200787424071855e+00
7.847570113824753335e-03 1.966124345708074881e-05 6.218609806495369562e-03 2.983170124147306850e-03 9.783795518756586151e-01
5.075829136260926605e-03 6.334529842740275498e-05 1.021366217627028058e-03 9.729212669770843924e-03 1.190768990302398578e+00
8.366248140084601645e-03 9.071758355305924680e-05 5.120121895383078492e-03 8.657097919377396145e-03 8.624724881340026794e-01
2.902904545141736861e-03 1.918360854997593358e-05 4.063539735449427613e-03 6.723915244902125068e-03 6.315436698929071113e-01
6.299738065898728354e-03 2.399738161247650325e-05 7.930472739174957396e-04 3.472507043360188814e-04 5.341978357218255535e-01
2.626727069398699602e-03 6.000793831017923942e-05 2.622811356544212623e-03 7.537117731904846921e-03 1.029447016198826503e+00
9.458194692174560353e-03 7.514854581904839863e-05 4.558284091617722535e-04 7.281306162290359079e-04 8.635829901601235203e-01
3.687027055201444817e-03 3.861388436991026150e-05 8.179786094937259097e-03 1.653973024619063504e-03 8.874739743811976833e-01
9.094202114767371836e-03 2.582810886240193604e-05 4.409537986931425305e-03 7.072893935636628306e-03 7.728611641181583058e-01
3.710542595472900206e-04 2.948160129945143773e-05 9.735581659396343179e-03 9.450601955605241952e-03 1.467436437138019745e+00
2.715599823435404462e-03 1.088594184687374646e-05 1.518387073845228275e-03 9.254490334371331603e-03 1.193045194325844882e+00
8.203617227740437473e-03 5.733740697800934427e-06 6.548359374877118187e-03 3.753934643367872002e-03 9.332938975498754619e-01
8.978834289412306394e-03 5.139118469360721975e-05 6.196606907989988221e-03 7.569997507339925463e-03 8.591732437198222883e-01
7.619053689348935336e-03 8.993347971916218844e-05 3.038595769134650338e-03 4.662970181946053498e-03 1.207756155236720419e+00
7.980688979643088543e-03 1.978011371925336454e-05 2.034365742946517026e-03 7.076184764297200301e-03 9.808837347801409035e-01
1.752859611144296252e-03 7.642839606357604060e-05 9.714135213433028673e-03 5.707103594065849293e-03 1.000854705508274378e+00
2.645966762750741504e-03 2.214760396037046119e-05 6.313938075208511136e-03 5.809126317415463231e-03 7.517158630383731222e-01
9.571644492272235807e-03 6.655086100863788620e-05 1.574482562043710713e-03 6.293851713481418524e-03 8.776104817878009889e-01
4.096659890778715438e-03 1.784435680318491650e-06 9.262941443874760095e-03 8.692283579817087005e-03 1.250052868972659326e+00
3.026904234792549084e-03 7.287271917406835020e-05 7.450067266342108412e-03 2.383244739871841818e-03 1.293541864533182206e+00
4.932123841089791627e-03 1.876709468708098922e-05 8.889030278156191678e-03 2.802796979104027648e-03 9.030812065693797352e-01
7.435885164320236822e-03 2.654524496860902435e-05 9.932248770861075784e-03 9.299510057450253303e-03 1.180211614467911119e+00
1.653015993212878778e-03 9.304603014774422186e-05 2.693615518887907800e-03 7.453933367380235001e-03 8.071898885772188503e-01
6.670642173169032997e-03 6.863313003458561626e-05 2.000059780437647011e-03 1.919314584689375998e-03 1.211621038317178600e+00
1.519704425583893407e-03 8.440836208195635925e-05 2.385434063540672802e-03 2.952351426563590633e-03 5.122008938765224562e-01
4.387616054066761050e-03 1.070245050536622904e-05 3.624752445117234920e-03 9.026083637966537954e-03 5.841464921238155306e-01
9.805503758634035935e-03 4.157410378608683332e-05 3.940806427326462233e-03 6.243269517481056345e-03 1.301188673638227433e+00
4.082807633222935821e-03 6.567159603400928654e-05 2.889581182057898278e-03 7.635542707289725423e-03 1.174579503494555643e+00
2.305540745376343133e-03 6.974287357292643680e-05 9.957040777861404096e-04 8.887096750731023065e-03 6.668973034858463045e-01
7.955135199893952416e-03 7.574978392843694484e-05 3.137306097686176718e-03 9.728857690516632198e-03 1.331439720170682239e+00
