# κ κ_c ℽ g ΔE
3.838108789444594779e-04 8.314215846051205728e-05 7.569527614192452479e-03 1.091382223065875956e-02 2.073697781038441601e+00
3.681645723372391058e-04 3.093106993114187004e-05 5.908498119934134547e-03 1.012472061489559649e-02 2.273551492497751347e+00
1.513472035614979254e-04 1.996125154308678264e-05 6.168710810626580610e-03 1.072697324266073081e-02 1.917878453133737171e+00
3.089395013843849016e-04 1.481484080666193933e-05 5.589133512452479358e-03 1.448163849742465509e-02 2.026830674845741420e+00
2.247903224126586311e-04 9.627059074214787838e-05 6.328714331711154245e-03 1.276096048344405216e-02 2.020925360761354206e+00
5.497972784567898338e-04 3.884086909258054320e-05 6.766785049533382591e-03 1.250144266273808293e-02 2.298005052052509711e+00
3.879318681410955203e-04 7.741907084030210165e-05 5.835055220637493968e-03 1.268747417996567844e-02 2.099253098127753514e+00
6.080791935536579949e-04 3.678704052059271208e-05 5.329170431163644979e-03 1.370161371312700674e-02 2.050207210153859982e+00
6.930752859965138256e-04 2.794642461305286166e-05 6.643699722783805335e-03 1.022263205009767140e-02 1.834027251437273298e+00
5.746186038988936127e-04 3.505440513522019199e-05 5.861231514581412803e-03 1.161669165985428770e-02 2.389600647410937473e+00
2.495681941094946249e-04 5.416978386507468582e-05 5.809647947615035300e-03 1.313491753328575699e-02 2.380818600212748493e+00
4.646825514838271993e-04 6.490889167786897506e-05 6.998367367060700540e-03 1.136280214087833154e-02 2.219240470511041785e+00
6.413564188676429802e-04 4.229799906005598902e-05 6.260330653518418782e-03 1.365046968013899562e-02 1.933415612551701468e+00
4.942704783639553226e-04 3.856689082525937342e-05 6.075966101554425812e-03 1.262440507077989410e-02 1.832445966412886706e+00
2.926640111825541657e-04 8.858656801661596986e-05 5.034934274776468530e-03 1.402431694884693873e-02 2.114800511160006558e+00
3.688881905278547195e-04 9.852371100130884554e-05 6.786179287310938751e-03 1.213209476479550943e-02 2.019927825954825007e+00
1.831894345441446967e-04 3.241921602568424124e-05 7.130985117135558472e-03 1.143994592574919256e-02 2.398685761354641954e+00
5.951209557711993614e-04 1.892877923611355450e-05 5.021771130983819671e-03 1.101241994659332875e-02 2.268608260324938453e+00
5.340061369087335461e-04 2.393510112509476215e-05 7.050605143462300786e-03 1.179469352408996259e-02 2.208785922893937048e+00
7.756800645261278764e-04 1.043818524179892275e-05 7.169495065590007939e-03 1.455050554873902474e-02 2.340885240413984381e+00
6.127249657753129500e-04 1.768602001688183534e-05 6.397739954509413726e-03 1.143532089348795779e-02 1.833099534795949115e+00
7.369329882674296268e-04 4.849483195691227030e-05 5.823377617732710711e-03 1.461990607876515261e-02 2.046581264049736504e+00
5.542442738738637608e-04 9.169243165696195361e-05 5.653517254890708631e-03 1.480707114057874807e-02 2.141367715917933623e+00
8.067781828065437397e-04 2.279440439197863579e-05 5.276914381918315286e-03 1.239960884027651970e-02 2.323541944691585925e+00
7.712395280942686794e-04 5.561675181805010744e-05 5.878561818342721741e-03 1.301155817989828496e-02 2.140202392110482243e+00
1.177086693617410346e-04 7.875609221830177757e-05 7.401480801549719171e-03 1.361645447153140426e-02 1.866058432287097446e+00
7.151893984147489726e-04 9.259358127945516517e-05 6.581158384749653291e-03 1.470253967341944926e-02 2.147114601347074547e+00
9.823764011086186243e-04 1.461830015236670089e-05 5.446717805279950586e-03 1.289473137745871315e-02 2.082161588264828112e+00
3.100642656341251881e-04 3.582901955528112624e-05 5.610694249043046873e-03 1.109086948743391067e-02 1.800530134746538780e+00
6.120491973994898012e-04 8.581452463315595788e-05 5.658729668384196443e-03 1.166922430929996472e-02 2.372870931845082243e+00
8.851869849719974561e-04 4.973629476514700989e-05 5.596101398044577360e-03 1.059809671716148774e-02 2.310706781320388092e+00
9.737698651585471052e-04 5.144897136934042475e-05 5.835035288507129346e-03 1.048700834215250156e-02 2.255036038009893495e+00
6.229479984641583552e-04 3.508438010547594869e-05 7.578734582287858720e-03 1.167746485782586614e-02 1.953622536660647002e+00
4.127259903652595444e-04 3.730181077645598341e-05 7.931060057552367579e-03 1.021445415962500547e-02 1.803137307949999713e+00
3.567658599174202468e-04 2.702199082363804543e-05 5.829742663138994842e-03 1.031864853888721754e-02 2.171460207129229936e+00
9.295901955194998912e-04 4.781547871074381766e-05 7.189381784589409831e-03 1.422144999601591096e-02 2.378301357187210474e+00
5.805406934778015995e-04 1.190244975159050173e-05 6.031294498230733124e-03 1.127177451315212152e-02 1.861870942621181690e+00
2.471042996249526134e-04 7.310088774122543479e-05 7.710967517034339816e-03 1.148107568685902483e-02 1.885103420985446920e+00
1.112406315350103887e-04 8.877717488755789343e-05 5.605809427039357661e-03 1.066449337374778157e-02 1.991426902156728129e+00
9.318219111372155836e-04 8.899990147424847271e-05 6.107545880666686092e-03 1.215704818377760961e-02 2.094053203091842175e+00
5.111303406040836137e-04 1.014217335257520648e-05 5.636892049348101244e-03 1.373698091791596479e-02 2.035562859997806839e+00
8.579679641015919159e-04 2.945711879439666869e-05 7.148152493297905627e-03 1.340011474954564893e-02 2.009047804958493000e+00
8.633968735341184106e-04 9.977279407754610164e-05 6.252869402299154368e-03 1.376968182077220951e-02 1.986450335602405914e+00
9.002504604062371235e-04 3.700309329806088460e-05 7.670654858662482971e-03 1.082503156419232365e-02 2.343055603484932803e+00
7.923925991831801217e-04 8.988740261840626764e-05 6.076016751700081577e-03 1.086894244073051234e-02 2.019148384502887694e+00
1.121986985483102730e-04 7.058987998901046425e-05 7.466558757979042255e-03 1.129592138808208079e-02 2.327169692342363927e+00
4.693745801279569532e-04 3.444018869785579143e-05 7.055241202222776141e-03 1.190509176830372405e-02 2.068180099213845047e+00
8.672149505440154013e-04 8.940012028408627124e-05 6.822416776235118267e-03 1.112633174567699210e-02 1.886573224199852072e+00
6.055215958583662610e-04 6.370868010317346549e-05 7.865689849854900356e-03 1.034764983781234250e-02 2.150469170093323168e+00
9.861209018911958925e-04 5.412628511131942411e-05 5.220990548370794092e-03 1.476549464152767353e-02 2.086921646582405199e+00
2.559299037756788161e-04 1.247462145314395639e-05 7.097707644756751436e-03 1.329636757789297470e-02 1.807964609421552904e+00
6.577730356031802946e-04 6.614373004752595179e-05 6.798270615675169187e-03 1.474151702325626583e-02 2.370976480703123723e+00
1.250769969817104924e-04 7.582216960237345279e-05 7.967646391646857409e-03 1.206146642336255841e-02 2.104816784451326139e+00
2.763954574737171373e-04 4.466806133177796730e-05 7.339490134093977838e-03 1.324807546147089947e-02 1.900785641618494282e+00
2.731094576579455070e-04 7.809105208611286987e-05 7.921353351964761924e-03 1.048022125294493720e-02 2.385301845403115628e+00
7.145712761973822390e-04 3.239069030732979169e-05 6.584462992023172069e-03 1.026738512966698415e-02 2.295600984722561577e+00
7.664484252561448371e-04 1.381831831937287361e-05 5.357364879546617706e-03 1.064343641497129955e-02 2.399482690738476975e+00
8.833480709674054005e-04 9.272522361322819864e-05 5.915532166682439807e-03 1.167879156717660169e-02 2.089797720747992749e+00
4.993772220928270524e-04 7.409853570064623102e-05 6.252518893404916331e-03 1.077970253357899907e-02 2.032247397299293823e+00
8.308761709119491220e-04 4.731651025826299589e-05 7.482753976307340502e-03 1.177810643961237080e-02 2.262680930666485235e+00
7.927617690736577395e-04 7.123786148168329447e-05 5.107177347427392482e-03 1.207215581781792210e-02 1.973318924562627696e+00
7.242139222910503075e-04 7.941838493879427752e-05 7.760672330824341589e-03 1.393593080300729696e-02 2.334686030171856608e+00
7.226152633812289554e-04 6.429672298056148168e-05 7.262900991385847632e-03 1.133910494128895045e-02 2.189139690851508391e+00
5.644036280102223812e-04 4.765561956827997801e-05 7.141066559361371191e-03 1.220555749905445977e-02 2.132142354307614784e+00
8.940327977258111973e-04 4.535438815178774967e-05 6.768666811898359746e-03 1.205304388367885865e-02 2.234698868462779320e+00
3.118170912846597218e-04 3.418156819950975817e-05 6.570862778032453798e-03 1.078068535240015759e-02 2.281426722005138519e+00
4.862521785675878597e-04 3.506365832674522218e-05 7.235111214615947209e-03 1.455204094549738397e-02 1.812518831683765042e+00
4.193747643851658134e-04 8.649285688383246936e-05 6.753208922439612669e-03 1.266975529450544563e-02 1.846720778759018966e+00
8.796423022318880947e-04 2.784793067496375737e-05 7.294660283478041941e-03 1.473823655475995156e-02 2.211768612903346920e+00
9.437924370355034280e-04 2.438576084064975790e-05 5.310896265185714379e-03 1.096246887845360105e-02 2.130462056976965002e+00
6.683348233465468942e-04 7.997719218923513137e-05 6.167396012522123432e-03 1.047982078322922186e-02 2.124528594413528371e+00
9.198576126902820258e-04 3.269514227683165781e-05 6.841561051773767041e-03 1.070781164432469887e-02 1.972183293152664163e+00
3.662077197722288647e-04 2.663461570604532127e-05 6.088331301429115820e-03 1.000684092240765842e-02 1.868881374657630712e+00
3.524072486421498404e-04 5.737203893453918533e-05 6.291653958204787567e-03 1.047317284835836901e-02 2.372849500042948812e+00
3.652918461480747394e-04 7.389873970477006844e-05 6.897106639453879674e-03 1.001003080093053332e-02 2.278295859166225235e+00
2.441163856623771475e-04 8.643775568869006289e-05 5.477648871982728970e-03 1.295125257047170450e-02 2.383650186186004660e+00
4.856571660418518874e-04 5.172817188874511644e-05 5.043383397025655648e-03 1.488435351501949527e-02 1.908114098082039245e+00
3.753006557118844359e-04 1.044840991571294113e-05 7.531438840883267205e-03 1.476239913654124082e-02 2.142316853179031977e+00
8.008101904831944288e-04 2.445701514539465636e-05 5.361537245700752699e-03 1.072334572107356242e-02 1.974719097866214801e+00
1.114563622943305475e-04 5.033572742806649786e-05 7.222737417572603139e-03 1.258016162263803778e-02 1.956449333233180043e+00
4.369659513861518137e-04 8.207889110724868244e-05 5.330702410902591996e-03 1.348912999713777414e-02 2.149081074180360762e+00
3.326482945963304613e-04 3.426353022159447492e-05 5.513623604669746180e-03 1.150603172973384616e-02 2.280378590272603034e+00
3.499318666075800161e-04 4.093325045813813199e-05 7.098741370356279924e-03 1.011370352555750890e-02 2.035938744388940957e+00
3.366880989445506043e-04 4.080358158652850454e-05 7.683709140591113776e-03 1.314215595207455373e-02 1.917524320365878276e+00
9.767751334379582047e-04 6.416964641282570710e-05 6.426604333033281331e-03 1.125766824460217724e-02 2.075321917195771082e+00
7.315733248165873746e-04 2.726724909166414656e-05 7.778835540154164022e-03 1.022362502582931446e-02 2.356750265963152291e+00
3.111660562632641573e-04 4.468252476539088061e-05 7.818732141239822034e-03 1.280076456340669376e-02 2.349269776578349234e+00
5.659381121542211195e-04 7.082581643126153201e-05 7.111025422347249172e-03 1.063614103326565065e-02 2.314672561429144793e+00
4.351319386793786972e-04 5.862011806935114167e-05 7.818977725982379640e-03 1.271036037427221432e-02 2.377453511928225183e+00
3.239349874015575500e-04 4.114333200095739504e-05 5.320242853840847184e-03 1.059300375221967037e-02 1.861415837211114255e+00
7.666959015880598152e-04 5.244868652895568362e-05 5.402687218783724411e-03 1.437924764414119649e-02 2.300079665873167478e+00
9.883513240711194921e-04 2.463299539718641969e-05 7.346527941073897894e-03 1.302121373908675904e-02 2.069862838602363642e+00
6.803546179228790822e-04 4.366092970209381252e-05 6.741807458340712440e-03 1.125399105904064702e-02 2.395771043964249891e+00
5.720906041803434840e-04 4.868726126760020237e-05 6.074091258981020869e-03 1.466212689351251673e-02 2.008879836555416354e+00
1.691265561066190805e-04 8.326405670511386533e-05 7.633272347210855527e-03 1.151431951209964943e-02 2.395497200903129009e+00
4.898539386264331432e-04 8.956990658255100995e-05 7.326602562021792588e-03 1.229012000999052390e-02 2.165939482591795695e+00
8.665898696705646954e-04 4.319099853115732047e-05 7.718642384288211880e-03 1.499878786368996630e-02 2.318911081787796924e+00
3.890875634006710974e-04 4.405428713797406460e-05 6.289605016229743439e-03 1.084849090321062144e-02 2.129240752168522377e+00
