# κ κ_c ℽ g ΔE
5.622351937522427788e-04 1.721972766999774971e-05 7.348022202066675952e-03 1.286948878316219493e-02 1.871276314865251145e+00
5.188747184565657309e-04 1.905940558609345965e-05 5.498477708738855677e-03 1.201887859416177033e-02 2.362294961513169866e+00
4.081261956249467721e-04 2.002226363608172125e-05 6.958475315574010056e-03 1.291447331900389718e-02 2.182249576778780842e+00
4.119428246801294094e-04 3.143031804869917556e-05 5.699748968323027805e-03 1.241924481901200868e-02 2.056719712202216499e+00
4.732778389189703453e-04 2.273983382645759435e-05 6.215741395549393908e-03 1.329015013848135196e-02 2.034443383661154847e+00
2.591262258940358839e-04 1.819223288764127132e-05 6.504158504274209530e-03 1.329012730771524271e-02 2.288644566757376708e+00
2.770337347531476898e-04 3.414095784108010773e-05 7.257065670242543801e-03 1.163341026605820179e-02 2.226899798753173343e+00
2.975930509807408098e-04 2.708431695026486201e-05 5.492583204908784052e-03 1.201077821288866823e-02 2.127711431874816483e+00
2.319400039164896694e-04 2.493752953326437675e-05 6.351856436821129090e-03 1.346938007867326537e-02 2.137932450055596068e+00
3.445738333553297669e-04 2.278314210181903572e-05 6.098402678604587616e-03 1.334631995711007754e-02 2.391441737888705177e+00
4.685554441460754432e-04 1.809814537692179615e-05 7.680879448189717809e-03 1.171713435726419797e-02 2.371540136896025164e+00
4.102045095482286484e-04 3.300388564522593459e-05 6.869816871229381984e-03 1.182562605476117704e-02 2.362362416249963459e+00
5.643230784329841040e-04 2.616632881025110778e-05 5.443487036999449837e-03 1.185361802147580010e-02 2.399971598724340627e+00
4.690028736232751145e-04 3.245991898630312759e-05 5.672025335144179579e-03 1.178715698446902715e-02 1.820132744194270957e+00
4.237470523495318617e-04 1.689115148583518914e-05 6.130367049819351183e-03 1.299671263772424375e-02 2.125636859541000678e+00
5.445993711694200635e-04 3.186456068869828839e-05 5.139524463052306917e-03 1.154156751720736458e-02 1.944019228293912827e+00
5.670666982320340076e-04 2.209268308267200426e-05 5.464096920795585496e-03 1.217170912392903301e-02 2.000456317285862262e+00
2.856733543295994211e-04 2.477939147184024944e-05 7.426032012505874753e-03 1.323669285072295518e-02 2.242852222085411906e+00
4.959421032848693482e-04 3.248222265508733181e-05 7.095225696999325586e-03 1.183210585077415673e-02 1.962440248852481250e+00
4.402121721123420034e-04 1.537231325840244801e-05 6.156411438366893654e-03 1.300292802222515962e-02 2.255038891077204788e+00
3.054107399109178998e-04 1.712532434783751111e-05 6.403440851231269326e-03 1.183509634084331866e-02 1.819787427369574440e+00
3.273678618148819484e-04 2.325606422972816684e-05 6.864455019882973949e-03 1.341304149623145925e-02 2.338104016698368426e+00
3.959042492899211537e-04 3.496687785461967499e-05 6.740244543508726142e-03 1.252131503462159887e-02 2.179354820526621772e+00
2.972049150364139045e-04 3.220514726013153924e-05 7.596342454834869272e-03 1.166304749593401191e-02 2.244522614592056264e+00
5.800035103943675541e-04 2.763806818771267365e-05 5.395908242212087667e-03 1.332053495237974297e-02 2.282686863969959123e+00
4.762274308013531065e-04 2.425735998254239324e-05 7.968320401372925438e-03 1.348588537110179640e-02 1.897243809536165005e+00
2.949631907725120739e-04 3.013344577549040149e-05 7.041811693553635780e-03 1.224251863869022135e-02 1.898681429981859292e+00
3.917144423012566931e-04 1.669783582977300807e-05 5.506910021019432132e-03 1.328504829274564265e-02 1.884533557924761737e+00
5.340481417427590978e-04 2.034393823393540330e-05 7.732054251666728613e-03 1.168192012381501568e-02 2.147526881004902410e+00
4.854180459693649722e-04 3.289463775981354082e-05 5.438727780121251423e-03 1.341999528023726969e-02 2.024460226908502136e+00
6.051826314581253792e-04 2.588668215647950950e-05 7.109148097396235204e-03 1.313261853585393109e-02 2.368839759791315558e+00
3.832670451457778106e-04 1.750656590829299274e-05 5.072018303971527822e-03 1.237485793970952500e-02 2.264507931198106672e+00
2.637661700025327981e-04 1.752555024005108232e-05 6.178290007850111530e-03 1.329979558564103707e-02 2.276036024526283619e+00
2.637221700678937211e-04 2.762392617676858245e-05 5.660940835268672526e-03 1.151788996840153595e-02 2.252379574885022162e+00
2.766544339990817196e-04 3.053040679323131657e-05 7.864142834149628891e-03 1.295658622229669057e-02 2.012450762643986035e+00
5.208087940003650138e-04 2.167084774214422162e-05 6.040119736146461540e-03 1.210258163322694251e-02 1.904064162333293897e+00
5.213783465452899359e-04 2.283655933087226403e-05 5.261358367831442222e-03 1.330880436925654074e-02 1.888821375219511767e+00
6.088162909334643652e-04 2.201336910697431528e-05 5.499515726910042535e-03 1.346407798336006142e-02 2.164593635912421821e+00
6.110302827548396527e-04 1.599644656927694304e-05 5.240675068991208774e-03 1.150613637028576920e-02 2.261452639169599710e+00
2.711493825047434168e-04 3.326750961879743019e-05 7.194567357722208428e-03 1.214032191156882816e-02 2.160377465736661229e+00
4.026455697321011011e-04 2.005096084153886680e-05 7.708439454498335758e-03 1.260457804292727975e-02 2.071130962807545828e+00
4.688674966959844540e-04 2.204303723611046123e-05 5.912306642397243892e-03 1.315189809849651170e-02 2.234671344601847132e+00
2.312443456068934697e-04 1.911942840199567226e-05 5.300526977251092398e-03 1.157354093338365357e-02 2.057314983311845147e+00
3.833219649097191267e-04 3.324588082412573901e-05 5.288300048946346227e-03 1.189099534628716183e-02 2.340973471895392066e+00
4.821688653520075484e-04 3.017893802995666252e-05 5.351120027915392229e-03 1.300811242666615776e-02 1.985367772306610767e+00
5.054584663506437280e-04 2.546136897037649149e-05 5.405843979630058950e-03 1.248791525551772898e-02 2.355628144427515558e+00
2.771132580053494538e-04 3.226743133270533974e-05 7.891381513305177273e-03 1.319642790074206616e-02 1.811113068698833262e+00
2.643857624522450681e-04 2.221666191268203616e-05 5.556586984104319379e-03 1.199081339457392162e-02 2.294679668756548274e+00
2.082588852131198032e-04 3.188740154118041402e-05 7.799654729345226190e-03 1.196877191406460830e-02 2.307843576703758615e+00
3.313322645514065433e-04 1.988202142735818936e-05 6.604069179051113084e-03 1.276974010955025766e-02 2.379973282034312909e+00
3.306237787673823366e-04 3.381623261725127651e-05 7.998973977070644378e-03 1.202092501517700376e-02 2.166172321773759180e+00
6.474838871649150115e-04 3.004264827936043502e-05 6.486190778231774347e-03 1.346958460851316840e-02 2.168909526606392912e+00
4.657593182300894669e-04 3.485294323795884013e-05 7.089289108892010347e-03 1.157695964558377172e-02 2.256536399587248276e+00
3.527991311947438653e-04 1.523988618737097201e-05 7.651451796376374653e-03 1.257043499878849821e-02 1.846805990495149041e+00
4.047498986851596385e-04 3.344311081994457514e-05 6.394688401595620408e-03 1.165202992381804588e-02 2.380834091587226808e+00
2.192932233151624665e-04 3.037847151139135915e-05 6.631349262267440328e-03 1.228276473699514183e-02 1.998607673204120694e+00
5.228208048648121803e-04 2.673078120882692985e-05 6.375793432194386441e-03 1.181414423874173683e-02 1.968102870909429480e+00
3.280581355749376650e-04 2.286232084275105443e-05 6.832225649534536330e-03 1.270229076054366774e-02 2.191523340328048075e+00
4.643565675661159289e-04 1.969409905523549178e-05 6.115762562361410325e-03 1.190470491259052084e-02 2.208075844113285058e+00
6.413968786352814170e-04 3.041424240269988594e-05 7.124617055847591932e-03 1.170686292347575264e-02 2.062530857188729083e+00
3.149969791932439624e-04 3.425958166953457188e-05 5.596349626721423484e-03 1.238023253515446905e-02 1.933567500727078059e+00
4.500134827560107065e-04 2.352817019497203339e-05 6.616411786418835428e-03 1.284868679531751649e-02 2.351844591024700115e+00
4.407617972838356489e-04 2.071485218431954895e-05 5.556966330909575771e-03 1.300601589261615211e-02 2.248768732144210247e+00
5.042290159487213203e-04 2.499094609327625482e-05 6.447531135648505718e-03 1.282905009836360702e-02 2.204886038946955118e+00
3.935467146204397982e-04 2.399019662668602863e-05 5.515759545842874659e-03 1.289105233869454990e-02 2.123857537669659568e+00
2.337591690362956175e-04 1.811263078570493152e-05 7.625730860884495470e-03 1.286874318036048542e-02 2.266645829408641344e+00
6.260137272647536529e-04 2.587953417834197540e-05 6.249551409666895783e-03 1.227703372997729879e-02 1.846758131540041648e+00
4.976571285161618874e-04 3.237205301442131806e-05 6.194543504823861804e-03 1.330743252084624906e-02 2.141133909559735482e+00
5.530671149063259590e-04 1.729948278878839366e-05 7.180589715738685576e-03 1.317326404736030541e-02 2.280334794596596382e+00
3.894119679975589429e-04 2.586355626368404376e-05 7.151404921729621542e-03 1.187219929600512661e-02 2.063067998554610760e+00
2.184776586734621699e-04 3.363893233088686307e-05 5.122766930591449337e-03 1.172354995346834919e-02 2.329208947142574093e+00
2.000388351690690592e-04 2.272753945474219637e-05 6.803644759435073172e-03 1.346952258689438665e-02 2.307376384830043925e+00
4.009448385791325410e-04 1.698019835055437525e-05 6.005622130451204049e-03 1.190656342158541957e-02 2.110942113491802274e+00
4.227544196890002529e-04 3.363859308148300518e-05 5.215387786985737142e-03 1.300370405869667734e-02 2.346153236264839848e+00
4.978968184506194026e-04 1.803968480776657233e-05 6.987485949250445486e-03 1.203043727311387499e-02 1.856816145129794871e+00
2.337861387552688994e-04 1.551801560088241199e-05 7.501254976138637537e-03 1.327446882114800310e-02 2.280376238733424543e+00
4.803820605230865520e-04 2.982486850154699744e-05 5.473796691407042253e-03 1.242995426731054003e-02 1.878189968801719401e+00
6.022086659972943328e-04 3.029128936776042389e-05 5.227385745829881553e-03 1.271688990727597862e-02 2.154691196236223849e+00
4.924952763923585650e-04 2.505833472087055084e-05 5.183399389204853235e-03 1.185370845243705930e-02 2.082704800908002252e+00
6.204230688001244982e-04 2.973127510407919309e-05 5.096593032110325640e-03 1.156133155639325720e-02 2.348099892663936039e+00
5.345582883514829638e-04 2.285375626563338890e-05 6.218670729098693672e-03 1.299365933784244441e-02 2.312537294348916639e+00
2.732622116292450802e-04 3.226296150707646284e-05 7.568524891850666320e-03 1.299233160822413011e-02 2.272267190431150219e+00
