# κ κ_c g ΔE
3.880090988548266459e-04 4.762532319665752566e-05 1.086407002765950834e-02 1.871583176955755601e+00
2.875875819593352238e-04 2.208980007786533309e-05 1.063992087815783180e-02 1.826211941115109205e+00
4.476251368319449152e-04 7.466566380567931933e-05 1.046821848242061870e-02 2.306014641090981421e+00
6.867057389430082561e-04 4.072134042533534000e-05 1.386437100310625517e-02 2.046885677988117713e+00
3.106056990436562785e-04 1.057903831724495413e-05 1.342347609706270525e-02 2.255264255704680920e+00
4.294507061224350493e-04 5.462790235979467088e-05 1.416983503519360019e-02 1.876860747036649180e+00
1.697246131297972622e-04 3.772821855721056664e-05 1.466287809675096560e-02 2.281291737072837833e+00
1.651373553435170772e-04 7.816478049782111018e-05 1.172197379684158935e-02 1.971899488298402003e+00
7.119271809640012735e-04 3.217041299102488808e-05 1.019144812113258018e-02 1.831599628038824479e+00
8.522571858054794371e-04 2.015361569731909862e-05 1.088108000501061996e-02 2.295824395876520096e+00
3.642348885516196073e-04 8.875808817968453500e-05 1.111930257695440891e-02 2.118698473245381741e+00
6.196296296888732140e-04 7.382207126129470209e-05 1.277090403058712791e-02 1.992794427053167006e+00
4.375705288408502616e-04 8.486618396220629141e-05 1.274003764589341954e-02 2.301232597285123305e+00
7.115567139613271407e-04 1.171416309979362972e-05 1.148557380035956053e-02 2.101136775365828324e+00
8.348437730481568899e-04 9.604000966739926841e-05 1.323102624311232531e-02 1.971493943643749081e+00
7.269653984578699872e-04 9.044680527420866458e-05 1.415084413170786606e-02 2.207881128634321399e+00
1.785880671216590933e-04 6.707480464053126260e-05 1.292896469947909383e-02 1.848136392916884363e+00
6.668052249318555001e-04 5.621814273650069526e-05 1.299359133625361575e-02 2.265022376348251765e+00
7.776981459006731146e-04 1.140299598000231426e-05 1.325256716848489599e-02 2.327996461068170042e+00
9.265074579824616584e-04 6.558901529747288147e-05 1.453418503668141640e-02 2.001935134484398304e+00
7.200041684979939863e-04 1.534176454435282600e-05 1.489686108545001074e-02 2.042651528466563615e+00
4.519410798761224011e-04 9.246199523006900514e-05 1.233150993620063009e-02 2.124681637766458131e+00
8.833198634140790881e-04 6.618249761120824500e-05 1.114252783470340465e-02 1.962080367945042036e+00
2.433437438495462805e-04 3.507670397811956693e-05 1.457633070715716461e-02 1.939467921129111483e+00
9.080317957845544709e-04 4.938979059833197694e-05 1.417817877627486171e-02 1.801735343678368295e+00
5.085442641501093262e-04 1.010858349995910011e-05 1.386356972096789222e-02 2.033740890905374687e+00
3.957045143554228147e-04 3.909335872128772061e-05 1.000320622561361172e-02 2.281372826111360830e+00
9.395047879568851467e-04 6.295149271260495612e-05 1.073235068003822526e-02 1.806612747588869805e+00
2.684009190325102145e-04 5.045982031198771557e-05 1.231122253687266972e-02 2.109028970836270833e+00
4.222927105741434723e-04 7.191907315458293697e-05 1.028022400632304205e-02 2.137769784985156463e+00
2.104173442706457520e-04 3.331834709426472228e-05 1.318951952805783555e-02 2.399780064923381584e+00
1.353933801410288264e-04 5.067647595520743010e-05 1.160994132132624201e-02 1.960003312728022307e+00
7.026810804299024604e-04 1.437531781202329431e-05 1.341178076793025052e-02 2.238953770740671700e+00
1.315095988932410745e-04 2.192739803116427745e-05 1.432481105682916617e-02 2.300556144054626273e+00
3.549572989553123115e-04 9.493722503803452852e-05 1.179748378813934295e-02 2.259351250816764800e+00
8.600954521765119022e-04 7.550567717353396573e-05 1.440819724312449555e-02 1.874209996621460705e+00
9.359130942427644397e-04 4.502870749108500725e-05 1.011642267927704772e-02 1.883826131793568059e+00
8.376935618742548367e-04 9.982523629187747675e-05 1.323602742765420462e-02 2.097134382486842696e+00
2.112519586809359336e-04 9.726179308533211023e-05 1.345932955388728057e-02 1.915441417486272391e+00
1.059241949348635909e-04 6.645561602525431265e-05 1.095546862801938422e-02 1.901519341321032730e+00
1.138404720139627542e-04 3.631074350185731301e-05 1.167875899790388194e-02 1.816275701766785433e+00
1.273267778614279460e-04 3.685761870664029931e-05 1.433704979529818249e-02 1.835586924614902138e+00
2.234229724848862150e-04 4.188588268670068512e-05 1.295909034969567643e-02 2.127931434432460023e+00
9.924028915904803492e-04 8.500698102514197326e-05 1.002808967304644368e-02 2.251473518718189570e+00
1.887070668430106265e-04 4.485431483487231218e-05 1.372025245977103770e-02 2.177301204192145345e+00
4.082605504062998265e-04 9.455128755378084554e-05 1.237842457216930744e-02 2.078189228100769004e+00
5.119838814732827464e-04 4.723679864285111114e-05 1.195958319015212948e-02 1.930773387976767452e+00
3.421712149798082072e-04 1.870604216884610608e-05 1.283620037743677007e-02 2.277831688021467738e+00
8.640889569422209376e-04 1.896911199942519043e-05 1.218028286840498395e-02 1.938669779238851643e+00
1.359814487748856591e-04 4.724756621085703280e-05 1.081509433930564860e-02 1.922178964479366314e+00
8.399732634589167270e-04 8.935759206557734283e-05 1.174062859201258080e-02 2.028554876422576925e+00
6.045643962948203448e-04 8.684827410319870852e-05 1.070061526052540693e-02 2.043563172438062736e+00
5.776653818460941248e-04 9.390942802700564217e-05 1.137802139735851967e-02 1.819133276852360037e+00
3.070771453305859455e-04 8.952762531288241876e-05 1.221225860756161921e-02 2.035683201518594387e+00
7.002331898959224211e-04 4.317363402445483303e-05 1.100593250425006830e-02 2.141351656419644200e+00
2.257707185824292659e-04 4.505617597973645625e-05 1.147177327057977321e-02 2.216756729428427608e+00
2.060946781384662889e-04 2.356452563278648967e-05 1.209712959618400828e-02 2.195275760900953888e+00
7.911595623653062785e-04 2.002724279811548522e-05 1.342582219264405741e-02 2.191905919218119614e+00
1.269347714930980995e-04 6.318651952035505442e-05 1.347071531881862891e-02 2.348109055931984379e+00
4.516165727681046541e-04 3.455644983065063285e-05 1.266187964118352209e-02 2.308290072255466896e+00
7.054981981036592773e-04 5.505011194352683906e-05 1.169050135011124626e-02 2.007772499315029879e+00
8.209928481050646817e-04 2.114306551342920240e-05 1.114800849373669307e-02 1.802956487232548755e+00
4.159810034755261825e-04 7.965050090440849845e-05 1.325692443832777317e-02 2.052626147896970732e+00
6.786969406710774986e-04 5.603804770907664003e-05 1.247108752129717259e-02 2.008995554497896130e+00
6.520934098817183751e-04 5.850068884084819149e-05 1.431939201318799953e-02 2.171793125984817330e+00
2.462261040063644445e-04 8.027654309713741368e-05 1.497063309994546565e-02 2.144346089248782228e+00
6.865736098485144623e-04 6.485773152715941037e-05 1.134782847055042232e-02 2.252618305216284256e+00
3.814750664284702981e-04 2.998713781392164072e-05 1.416384124198087277e-02 2.280810944157338316e+00
5.467535567355887027e-04 5.531403056849727701e-05 1.155631345614903036e-02 1.979962969130905304e+00
8.033495136226836324e-04 2.425085773910352552e-05 1.339887834604834398e-02 2.352061186082736732e+00
4.324263137560664530e-04 8.110369639017429876e-05 1.297056114455525516e-02 2.288742664150167361e+00
7.018970073468297878e-04 5.811956994158605630e-05 1.093544382079276837e-02 2.372350846738343844e+00
3.591533759976925843e-04 4.949830636060771253e-05 1.034281683272911950e-02 2.130480804477825174e+00
4.028710657129784198e-04 7.071827576074902989e-05 1.267969506016397400e-02 2.233789969737075776e+00
8.181325339210531551e-04 3.634896260784101056e-05 1.143457714870016809e-02 2.355114539121035744e+00
5.694843422742281499e-04 8.687560440677714738e-05 1.427472355964155490e-02 1.999183832432258390e+00
8.490749481405144607e-04 6.418111577544585830e-05 1.115146362886350676e-02 2.073100331767169013e+00
1.598984200589017852e-04 3.529148555024481145e-05 1.081337810083654420e-02 2.368566770424461954e+00
7.190314365023186324e-04 9.153297450083769480e-05 1.228739770621665832e-02 2.251533341293838753e+00
1.383740179704131623e-04 3.094571962742955515e-05 1.420640165946280946e-02 2.029481507165185938e+00
1.913699192181784526e-04 3.479371843286508260e-05 1.413825559961270906e-02 2.206265361652640422e+00
6.656512315890080215e-04 1.060340764198947770e-05 1.418961447208484661e-02 2.333623540388543915e+00
9.643323234720950661e-04 7.724459353766172207e-05 1.246299874013291620e-02 2.114102695253139874e+00
7.665058519568351651e-04 3.279736098325883298e-05 1.440776225152522877e-02 1.828365099283210560e+00
6.684302881739491355e-04 4.491063919968759375e-05 1.185980325424514960e-02 1.804749280899820230e+00
4.090789631064712046e-04 5.544286096471005685e-05 1.175885162635124243e-02 2.106712735910683865e+00
8.388918782603534694e-04 3.710887907405322655e-05 1.443699818509213383e-02 2.229536244465540218e+00
1.659385513838162324e-04 4.581771079957054784e-05 1.271531380202793084e-02 2.005283176009590829e+00
1.167239739452311052e-04 3.848658621709306730e-05 1.011773835922331888e-02 2.090632099901983842e+00
7.851107295091267141e-04 1.855428775178883977e-05 1.074352094916758080e-02 2.261098056562919290e+00
8.694975638334336097e-04 2.261501273260944732e-05 1.152206077415065914e-02 2.218522667743094257e+00
