# κ ΔE ℽ g
2.364388806192096841e-03 1.071609232098759801e+00 6.060075137961002702e-03 7.904736065404560988e-03
7.879319441014619868e-03 9.463028644288636881e-01 1.942088412848266875e-03 3.422322711420709446e-03
2.785126541755946275e-03 1.060573332679397129e+00 2.590293655584239695e-03 7.084033218342914058e-03
4.311700856034784632e-03 9.942691576255374697e-01 9.039324871035302536e-03 7.523308409060877437e-03
7.848924521019351105e-03 9.576094758270885521e-01 1.504956802903665430e-03 4.630006457783104705e-03
7.345475668984490815e-03 1.003310470559845680e+00 9.362327766278148722e-03 7.685749336510083220e-03
5.734508432095821936e-03 9.726403167663120186e-01 1.546203537737004348e-03 3.234588237524048653e-03
1.957003975673592827e-03 9.011504829441441267e-01 3.768317330100877816e-03 1.889077843225439417e-03
1.401060803840853018e-03 1.084139103945724880e+00 6.880883214754785968e-03 1.020399461314280571e-03
4.814691246055265855e-03 1.035334441905370939e+00 1.123716568396305093e-04 8.493268156020554113e-03
3.082167582291919349e-03 1.072727201995520518e+00 5.704129327239828608e-03 5.235413724095385607e-03
6.157414907438499285e-03 1.045431837838411981e+00 4.232603494901726084e-03 6.470932841819619858e-04
4.269810120662831041e-03 9.441799800160131095e-01 5.226585825632588944e-03 3.503530521525253464e-03
9.736146197458528037e-03 9.740625493448675787e-01 8.758132449919086432e-03 6.902018158750114181e-04
5.080883696835257479e-03 1.089768294189832565e+00 9.265943939465880533e-03 8.429602384467195508e-03
3.435707634147439505e-03 9.692669659969839202e-01 2.999207295333407731e-03 5.204650109183862373e-03
5.525817305481824440e-03 1.039521396906783801e+00 1.162478514745104606e-03 7.310711821199701241e-03
2.488006388729493545e-03 9.310007629791468009e-01 8.601386932857012918e-03 1.784534372780513436e-03
8.155040667807835625e-03 1.014700230096760469e+00 3.870325418426768041e-03 5.043432260935067427e-03
7.045475558127383547e-03 1.002054995267815496e+00 9.058714124984750676e-03 8.618579210609834604e-03
7.268091995079604614e-03 9.431055175203164609e-01 7.675267616705334743e-03 3.681399265084806883e-04
3.784470859287337313e-03 9.377626051994856216e-01 6.999489664481856055e-03 6.562142228024706730e-03
9.943933887098604062e-04 1.097044802214372616e+00 2.103861979122790930e-03 5.962836397042203807e-03
6.563729771133877157e-03 1.090854750445566790e+00 4.189922568732486674e-04 6.710500471939702914e-03
4.499699669791095216e-03 1.049825809244766539e+00 1.173208522926660110e-03 8.110580883553037204e-03
5.629952369421957134e-03 1.063862095008667241e+00 6.276514482630613824e-03 1.008689258569448084e-03
1.516304084130939847e-03 1.078973202266318099e+00 4.008957884204712545e-03 7.928410900020709320e-03
3.638562684942633126e-03 1.072229018726336802e+00 4.823923093300044700e-03 5.652198675301698012e-03
2.318906640670866971e-03 9.852788117553772373e-01 3.186183469911358507e-03 9.237482057972860872e-03
7.123939533977131748e-03 9.133341619587047600e-01 7.147772199580813834e-03 5.638681621552648314e-03
5.310057508747207528e-03 1.059965352745238398e+00 5.473966128417488263e-04 9.920110525690792325e-03
3.629049226646429999e-03 1.058636776165735371e+00 6.318332591448554483e-03 3.282676260496208368e-03
2.456076593820285658e-03 9.142087484919907414e-01 1.961028219430796093e-03 6.520230596454984484e-03
6.266997117631557118e-03 1.097916207992305271e+00 1.977514382017119422e-03 5.884952723942582682e-03
5.255214700698423134e-03 9.650936471388629201e-01 6.465194852763188685e-03 7.746957572452878131e-03
3.496902913511150488e-03 1.041875823585177940e+00 4.122938823716422148e-04 9.989226039279633720e-03
9.166225608718565204e-03 1.033015855497654512e+00 5.365628682102861063e-03 1.790510603739469374e-03
7.549490207421741955e-03 9.189415584819038418e-01 6.430980360721704446e-03 1.590109597288605434e-03
5.555155432490710768e-03 9.768496376822478622e-01 6.347012115741738209e-03 9.275407967303009663e-03
5.383515042954842116e-03 1.009838742720533089e+00 9.745636342693710444e-03 9.247430748520333449e-03
3.363839449005791619e-04 1.033660983297876257e+00 4.159711317608527983e-03 4.210866500357013376e-03
8.613580885830840125e-03 9.788615681845748151e-01 6.593012688592648704e-03 6.859850588009124700e-03
6.761972118495862202e-03 9.737041062625436671e-01 8.974047634619139110e-03 9.400223392315250684e-03
1.939027424942897995e-03 1.096139133253889897e+00 8.010389904621908336e-03 5.697185374679864835e-03
5.982205915537740226e-03 1.051605113550682979e+00 4.069075774713023022e-03 8.137780483130869352e-03
1.583115441906822289e-03 1.065545857457867340e+00 3.955043566692299090e-03 5.339591131094448967e-03
9.140371231143782499e-03 1.054450127476449728e+00 2.659867719914545733e-03 9.262352219739151959e-03
6.465150819205112403e-04 1.053653765394415354e+00 4.566195231137529036e-04 7.071954527830478197e-03
5.505998279910453118e-03 9.514922626650157422e-01 3.822243116071528165e-03 2.503356854492175786e-03
2.621474864215486440e-03 1.093418298599469596e+00 6.973763205784087697e-03 3.235029125621802400e-03
5.912014074380678857e-03 9.005482036334584439e-01 9.314593120544797586e-03 9.831526313284927668e-03
8.100047901022106728e-03 9.660152619266718643e-01 7.204564371560882863e-03 5.886540751886436794e-03
8.108906375262842428e-03 9.780719690939212452e-01 7.424063385187329792e-03 3.944600805530657298e-03
2.657873267296352853e-03 1.052197465271209831e+00 5.306922193531285123e-03 6.758009006979424568e-03
9.749436088436474069e-04 1.043007102830835198e+00 6.532971062344000886e-03 6.463480913587953298e-03
3.136537123883820742e-03 1.031688948005817341e+00 6.067890165388165231e-03 9.448887684361135034e-03
1.551252732888481925e-04 1.094759758306965924e+00 3.913400704867280033e-03 3.139589829687355199e-03
2.836923106815694403e-04 1.089949009478860420e+00 5.743883393594149435e-03 3.414619998564326093e-03
3.149606486883069559e-03 9.034336444269492894e-01 8.929656487021618572e-03 6.578202836828674939e-03
7.291863890486338304e-03 9.616651219853685761e-01 7.201523165665411549e-03 3.939962496668306287e-03
4.681548525722114065e-03 1.055877059488529612e+00 5.031140687056187034e-03 7.658614089647316700e-03
1.707772418672603727e-03 1.059393114224687737e+00 9.485870739060922249e-03 1.702386169206632823e-03
5.230424951480772654e-03 1.048669216466600052e+00 9.653915740102660473e-03 8.122427733111467138e-03
1.501035768308250744e-03 9.765058535111359461e-01 7.178372978330946341e-03 2.410052142781941419e-03
