# κ ΔE ℽ g
8.655455452806709929e-03 7.956203997751476464e-01 9.188107974640809944e-03 8.686786639297187917e-02
6.481524143989438221e-03 7.604306809971461689e-01 5.206423242729870879e-03 8.984922935469079330e-02
7.802510489228860896e-03 1.213381731289005394e+00 1.568331925501315191e-03 5.441992968475732606e-02
5.337333952649783372e-03 5.381175824159422083e-01 3.632698880964438186e-04 9.385179736452603505e-02
3.595678889405915825e-03 1.491157164450846340e+00 5.681731587375435377e-03 8.512648342812362268e-02
5.663106132945921849e-03 1.450960882261289830e+00 7.388789380911553809e-03 4.365914594201282528e-02
8.125089947342090460e-03 1.424470550418690307e+00 7.499558970377094569e-03 2.562809758723764986e-02
3.144982036450720206e-03 6.222390011801621768e-01 8.134146481015369981e-03 4.181253823624238308e-02
6.374630157446035429e-03 1.047396614632472245e+00 6.381302228619704052e-03 7.476319927383620612e-02
6.909396507450408891e-03 8.028930722593220493e-01 2.926654198574628850e-03 9.773383528041545976e-02
6.130592112141132997e-03 1.421768725644216413e+00 5.768607504128765023e-03 6.719369308893791137e-02
1.617690981857976837e-03 9.380518200834485620e-01 3.115050833892134556e-04 7.079667351857529822e-02
1.350682033621357185e-03 1.294661018303337130e+00 1.985501292165833386e-03 7.195637080293322552e-02
5.809746655660263243e-03 5.096503949959656499e-01 5.903613337456414638e-03 5.382918888655566919e-02
4.475718222090768793e-04 7.833251107218802689e-01 1.112864956813309873e-03 3.412533244054710008e-02
8.364052141685850844e-03 1.127272004076561807e+00 5.563722545696655510e-03 1.288198572560573033e-02
7.003607393927550537e-04 9.753299299866479144e-01 9.475595845189645552e-03 1.170965488312349437e-02
5.319275927931392360e-03 1.454410645640700217e+00 2.309143015620274218e-03 8.789471119916184016e-02
6.253208031907936046e-03 1.390830454023560758e+00 5.460158286727487785e-03 2.291613124022467279e-02
5.531821005977506818e-03 9.328280365793629736e-01 6.957903071337610823e-03 7.666093636271484324e-02
8.115780538513080872e-03 5.551276570394554355e-01 7.134604125046932997e-03 1.885032489283568896e-02
2.281696295331924872e-03 6.940554902606717036e-01 3.654082073675079829e-03 9.567185969812984359e-02
4.427568387411251298e-03 5.430205197747132173e-01 1.736638503895940365e-04 1.870856199778226509e-02
6.770015782263666057e-03 6.768489137898103802e-01 9.142110866665737606e-03 8.654528218636646508e-02
3.972389573277847717e-03 9.816357735754330793e-01 1.721869188372513338e-03 2.930708920169517590e-02
6.836913741780587493e-03 1.310316002598212126e+00 8.345701129639870527e-03 4.241733947217403433e-02
1.259439206335221479e-03 6.716969221188471284e-01 4.495335757953224098e-03 6.933750543556917167e-02
8.671361980194242439e-03 1.200992463992263115e+00 4.631382972679904363e-03 4.183661292240609814e-02
8.147992542741566702e-03 7.194034117912921911e-01 5.822294245024027537e-03 9.990013064347755267e-02
3.517116125087755511e-03 1.339881221697595048e+00 5.592363109724742681e-03 9.459256154940286210e-02
9.852532391760772043e-03 1.332693822799524863e+00 1.453070720808656352e-03 2.555583090289614487e-02
8.849443107284110654e-03 1.247743143321229820e+00 7.211308653077477121e-03 2.777867830862436327e-02
8.746506805445137048e-03 1.430345677589742515e+00 3.982509481184188377e-03 2.045276750784390946e-02
8.587845263160547374e-03 1.227456270373387337e+00 9.154401581753460887e-03 9.388966956552484422e-02
5.916552056398648174e-03 1.415699245128324790e+00 8.338850187570211398e-04 6.324681461529063631e-02
3.043867408293559132e-03 5.276107113219974387e-01 2.419135497840930148e-03 3.400475256534087054e-02
4.512523144072549952e-03 1.365278080576318498e+00 8.089574334095772298e-04 2.992150859187870521e-02
5.527758777869805698e-03 1.308604058223551636e+00 7.440452103912513319e-03 5.662976611021978968e-02
4.502346428723667630e-03 8.347890393376981022e-01 2.178118637843252763e-03 7.267217921249949364e-02
5.195405719427132613e-03 6.425674012124434897e-01 2.442611535548374659e-03 1.811876861684327822e-02
4.621259715958348120e-03 5.892797678060242017e-01 8.401306469612519756e-03 1.404268843700244573e-02
6.397498580225847997e-03 1.038785795123178257e+00 1.051817208376911892e-03 8.164945552277040608e-02
8.152492664821837237e-03 8.568068129133821209e-01 2.647926057822452221e-03 5.096237845931775312e-02
5.168844135403000140e-03 1.080902178516468304e+00 5.457075597776717482e-03 7.354862092674349650e-02
5.040278403110193262e-03 6.845542992810310645e-01 5.681589011081771478e-04 7.683959990764041570e-02
2.482848018852304006e-03 1.248906788372833976e+00 3.351604118100952410e-03 4.675483015018285643e-02
5.604597387521767504e-03 7.664858871913310390e-01 8.150890097642492227e-03 1.732701435996360922e-02
9.953706740284349111e-03 8.127455797430133133e-01 3.601607764921722910e-03 8.012909781728032310e-02
9.777581010691697994e-03 1.193911041973329201e+00 6.582696144870964911e-03 5.319997743281743019e-02
6.261104363610550498e-03 6.516939497174073503e-01 7.195437856075959093e-03 3.072219252614065421e-02
7.123408614305305319e-04 1.498962216557185201e+00 8.103638137824607443e-03 8.357110102586300104e-02
2.043805621873869775e-03 1.359513061666143496e+00 8.924261540409145557e-03 6.343388351226403321e-02
5.634889324188002528e-03 1.391966576654956711e+00 3.029090655850605503e-03 1.641801395868369012e-02
3.085819349590328969e-03 1.084893560506105414e+00 9.654564844928759798e-03 7.891728057296458487e-02
1.889439269712823392e-03 9.061750414817464350e-01 2.726086557917545890e-03 6.828375852996600159e-02
7.390889874801796419e-03 1.005155851636106323e+00 9.890820021112169125e-03 5.283843754943341742e-02
7.186646980909048958e-03 1.086555188419747520e+00 2.179266840064623349e-03 1.682035125343378512e-02
4.243795064203702977e-03 1.469983246972192958e+00 6.696473492748956750e-03 6.822360502067362220e-02
2.598347986653017951e-03 7.571281428907289390e-01 5.494279547358794924e-03 8.827536760049838060e-02
3.976801235017988871e-03 1.005125344314827140e+00 2.751645389057688022e-03 1.553483194332255617e-02
1.830280654894932222e-03 7.406800919744476186e-01 7.641066976644363649e-03 5.442404319977775518e-02
5.836529748656824924e-03 8.306217983528619841e-01 6.749299738417566079e-03 5.616665429485313138e-02
5.234076025861608694e-03 1.202023096021257231e+00 6.221865208862874946e-04 2.031268780729567069e-02
2.182003008724475203e-03 5.947401076144818166e-01 7.893351840333870037e-03 7.407231773271247266e-02
1.496074200705619240e-03 1.442303046709369152e+00 2.482932248945810775e-03 7.609661921702463860e-02
4.473635834807367442e-03 1.397270563662108334e+00 9.173084812273489541e-03 9.560387045786239435e-02
3.004156261679872229e-03 6.277628508149853959e-01 6.557622698769543026e-03 7.869583377317111716e-02
5.740129869393199857e-03 9.144866472733496066e-01 5.353856148197968373e-03 6.137860216564221261e-02
5.895611068218404270e-03 1.365306107493149845e+00 9.022054439910548798e-03 8.002193383565170404e-02
4.840980918331993718e-03 1.459798622893219155e+00 6.656415128656241638e-03 8.012699375009947611e-02
5.148253697069047653e-03 1.134495864087118999e+00 6.125561785163539073e-03 2.974753520670649770e-02
2.866671977387431295e-03 9.953859157190468876e-01 4.488288543061907075e-03 1.849930933209668199e-02
5.247953279014714624e-03 1.122170191141514728e+00 9.443167695347991566e-03 3.712496218677564797e-02
1.297257647477429538e-03 1.107782030727903599e+00 9.526889791701477136e-03 7.906482838265456448e-02
2.753197990776435917e-03 1.454633996919089123e+00 1.877215012159066726e-03 2.543711710031021367e-02
8.969870777144079571e-03 6.670987243672079625e-01 7.557009380678057168e-04 3.568677959066355460e-02
7.537303862130145457e-03 8.109314712646674694e-01 5.651555124372468000e-03 5.237278222704921243e-02
7.773751109654320098e-03 1.364425126773169961e+00 2.444768657534601795e-03 5.520627799773751565e-02
3.059029830296325185e-03 9.290336676728416787e-01 2.383182355136096494e-03 9.931074956692260980e-02
2.249056575363439330e-03 1.368243086003032793e+00 1.118205260369006457e-03 4.749027976338991014e-02
2.848698615465050221e-03 1.212684167212875419e+00 5.159766802181621134e-03 4.211644190322776093e-02
9.482888286697356908e-03 1.130616435917288776e+00 2.941974902918626997e-03 8.670581890617165555e-02
8.823623172855645652e-03 1.240891525016196484e+00 6.801053548539762704e-03 6.510686224690175050e-02
3.844981779951771273e-04 9.461692669367203212e-01 9.476070250306516465e-03 6.291397922814001564e-02
3.032209726050326751e-03 5.961476192148833508e-01 5.063491126245283150e-04 8.272297305200231043e-02
5.356082968407989073e-03 1.477427105762345150e+00 2.892771679176490366e-03 3.796256314215422367e-02
6.567839634589654058e-03 1.278301897054942904e+00 5.064901939064279587e-03 4.237065028205570794e-02
8.261202894745935804e-03 5.494138611475036793e-01 7.766845956172186219e-03 8.643341479272534378e-02
4.706947969928029774e-03 1.229165050273511639e+00 6.402189626207177228e-03 6.405920999460669452e-02
2.251432581047922710e-03 9.632000898504464725e-01 2.397232695626432767e-03 7.639666122015760508e-02
3.857444824179253728e-03 1.251413630047761183e+00 6.872667522864629036e-03 9.218830351582006644e-02
5.568951387647434054e-03 1.031842289757811226e+00 8.050277027674867386e-03 3.808838550776259130e-02
7.640111251532549774e-03 1.256368178067040819e+00 4.219973366081932256e-03 5.032359721553018861e-02
1.537561462570336207e-03 1.225531023384072604e+00 5.599958391308420928e-03 6.634183792864302431e-02
5.183173698346296276e-04 1.297803346018957527e+00 4.702569864883671819e-03 6.470295144282646460e-02
2.003048577187631352e-03 7.710629131493530464e-01 5.250938201329095889e-03 5.600812360228371589e-02
6.749531990700902845e-03 8.388392965243720578e-01 3.176250182141859141e-03 7.747444146896732831e-02
2.239493702891310212e-03 5.998064223766731429e-01 2.115526030756723075e-03 8.354942571226557646e-02
4.400412400857991145e-03 9.102435966202135909e-01 4.568164851736507270e-03 5.194387658555788684e-02
3.085957696420987134e-03 9.711973548332991646e-01 9.499765318079163995e-03 2.919507489941226830e-02
2.537568999700525515e-03 6.896482434375845738e-01 5.680821969824063032e-03 4.271863991747930356e-02
4.757516409938614133e-03 8.276489183855999521e-01 7.103815939764258902e-03 5.727467219939166854e-02
6.932155590310450435e-03 1.134578984684359471e+00 9.428085599002718198e-03 2.962352205883932860e-02
7.242501747587165063e-03 1.235899553747995538e+00 6.025153009758304513e-03 7.076139491200962583e-02
1.283563266062647109e-03 5.521687085842973408e-01 8.216418927768059932e-03 3.349308360517428557e-02
3.066376022546219229e-03 1.473491182856478288e+00 6.813043964661068437e-03 8.226473763421535135e-02
2.253307281083825019e-03 1.417560113568499425e+00 8.808172407787695501e-03 5.101532109079821853e-02
3.529318684046526058e-03 1.342700278375013490e+00 3.077657389016879175e-03 1.063059508948647862e-02
4.958413993434916851e-03 1.322769399294859483e+00 9.558242914544438223e-03 4.493718319741711598e-02
3.310269638361806356e-03 1.346219313495689018e+00 2.016747330508999667e-03 1.210887076130870953e-02
8.437040139363702687e-03 1.007042845929494668e+00 4.885008671370450264e-03 2.496767387882694450e-02
7.449269081021205052e-03 1.221477029174730777e+00 2.221615809435327493e-03 3.091433331539882728e-02
7.218083354494109552e-03 1.060321797148886969e+00 8.327395720971865131e-03 2.859894134363051565e-02
7.880626121501446008e-03 1.411399415076760810e+00 3.796141584845836529e-03 5.796060410073259478e-02
6.203496468804981130e-03 7.265895677602199898e-01 6.643647711584257584e-03 3.300374352885373369e-02
8.231660446627183172e-03 1.436616457115621248e+00 3.492377125527371551e-04 9.151692016682788644e-02
6.111894414178754321e-03 9.214739227229563623e-01 2.076838235460311093e-03 2.539719563168542360e-02
6.307919380008638645e-03 8.274147926561786770e-01 4.033611490625095553e-03 5.239953329542853394e-02
2.359485079202586471e-03 8.918005597513899430e-01 8.006316850481967271e-03 7.815834645107867795e-02
6.720978248985256739e-03 1.150672512159049532e+00 9.111693627213902913e-03 7.905208161043963955e-02
4.377531693822499063e-03 1.446323009846540275e+00 9.121050865332068491e-03 6.246928458638093679e-02
4.134640101620313049e-03 1.470291752785461759e+00 7.397951214356246127e-03 5.642881042166023736e-02
3.079705099509891068e-03 1.175187566097612102e+00 9.605448377088158379e-03 1.992461787694828346e-02
1.302219224117446411e-04 1.071510655107776433e+00 3.295683619638159131e-03 1.712025195664191451e-02
9.973706126398914490e-03 1.090118834449230523e+00 2.968361912807885791e-03 6.329592977603416826e-02
6.555142335216985160e-03 8.285347384076071631e-01 2.878085566439024003e-03 3.845024726666598780e-02
9.085704791476014938e-03 6.371560634938078227e-01 9.021936359085535109e-03 2.915901271521187388e-02
3.566735532510146352e-03 8.221997504262270606e-01 5.540506780833878188e-03 3.138068989219822830e-02
1.947764096100740045e-03 5.284166929835871773e-01 1.458312090852962976e-03 6.980252320744441408e-02
6.157188051982565025e-03 1.168338531686876181e+00 3.409187214272190857e-03 4.506259096138574838e-02
1.048139262276219638e-03 5.511799389752042311e-01 1.468041395654230740e-03 7.827553176650278721e-02
7.326082164055067528e-03 6.450870410108545672e-01 8.832327315220833003e-03 1.319796806089401815e-02
9.652945943054987848e-03 9.562654789999353033e-01 3.875129642941504450e-03 2.832902211537358800e-02
5.507061993967922453e-03 5.651692581336081878e-01 6.951928416050534749e-03 8.174986323846152036e-02
6.045379818971519971e-03 1.200537461103552861e+00 5.699195358231551626e-04 4.173830644789833927e-02
5.637396876461218953e-03 1.255729856835304803e+00 2.562575905750703702e-04 7.760882285300348127e-02
7.133605043912430443e-03 6.708699383523903936e-01 3.421891238854020151e-03 6.733257370033980671e-02
4.306485313801425470e-03 1.009164797209435527e+00 2.588404229879538894e-03 7.818411916260703531e-02
1.146481609087022764e-03 1.091380810811321878e+00 1.952098885725348084e-03 6.699331491158608265e-02
3.362294806048989754e-03 1.293474819142348409e+00 9.905892522825875818e-03 4.617305270305958886e-02
8.302223759896452254e-03 1.161912456842403074e+00 1.243837645411696551e-03 8.002053405163951638e-02
3.016088022512045715e-03 5.068175635836260629e-01 8.634909343098007978e-03 9.278592090514498070e-02
4.563450956496635513e-03 9.497372282582905445e-01 6.762788392077856122e-04 8.030497278504060421e-02
9.314058695714377010e-04 8.430014379060661867e-01 3.995387485385122270e-03 7.849587324847008551e-02
6.567966264863786020e-03 7.739557899563910270e-01 2.972150633788910035e-03 5.948704113378155967e-02
2.518534798140904286e-03 1.285763645479105044e+00 9.418869455541165406e-03 8.290223440651664499e-02
8.582518831264162457e-03 5.929394725529880672e-01 1.531478737301513642e-03 4.832819533150329444e-02
4.293805501515893415e-03 7.296707076232525901e-01 9.880831721414282121e-03 4.026145910479976553e-02
2.354046936659593033e-03 7.568809450655341609e-01 5.521482061481536308e-03 1.187037526423907405e-02
2.568862134375534453e-03 8.926756218308135038e-01 4.781476045786358861e-03 4.830273580954368845e-02
2.518916905834032299e-03 1.230320080745155753e+00 9.912042377765445042e-03 6.633074412015435573e-02
1.870801739765655912e-03 9.406350480848454376e-01 8.007019365497483609e-03 3.840356155490869811e-02
7.883145580443265757e-03 1.068212791600682277e+00 3.850965875026855258e-03 4.116146644137742838e-02
1.255444412616715626e-03 7.731277314308818704e-01 3.951981864167124388e-03 6.238580838794566957e-02
8.677715883229243990e-03 5.783840529324006940e-01 5.751639060035082822e-04 9.988638825960215184e-02
1.411635503867161379e-03 5.679830390597678802e-01 8.200962952308842036e-03 5.499905659859485874e-02
2.369182545448137236e-03 9.879987657160578252e-01 2.835178422483835940e-03 5.457342372424624916e-02
1.651737962392154811e-03 1.423347507115620747e+00 6.225120373135329928e-04 6.298859469407679101e-02
9.084787318987321350e-03 1.221399122191968001e+00 8.620096647712353205e-03 6.760585781741461353e-02
3.236606067834170517e-03 1.494366639613993186e+00 1.817044747912877328e-03 4.652198674567381564e-02
4.782104188006419156e-03 5.983996008975952519e-01 6.272833365242058180e-03 1.064045454661541323e-02
2.768998226527982515e-03 8.795308755329434014e-01 6.195373314175372896e-03 1.591106630814851861e-02
8.694308563627139302e-03 1.089526997698327726e+00 2.919385973452057279e-03 5.422302638633406946e-02
6.749152592792752835e-03 8.496730124445430743e-01 9.867494401821174516e-03 6.856358582596742968e-02
5.770760570863277435e-03 5.044699553217590893e-01 7.835092472672106415e-03 1.052269360938274181e-02
8.524504070463128844e-03 9.552898455192995186e-01 4.186501290155351593e-03 3.055635605017879841e-02
