# κ ΔE ℽ g
1.473647007996932131e-03 6.474857766981793050e-01 9.911816845502689072e-03 1.592528111067354271e-03
4.026168629378399332e-03 5.231813105555194188e-01 4.954242374480364447e-03 6.451050683109708396e-03
1.540530144364831528e-03 8.416625117929359412e-01 7.430192465397921983e-03 3.943036142614702623e-03
3.570150471432605426e-03 1.414903023362135137e+00 6.282518755146213746e-03 8.819771104810664175e-03
6.891325992833379974e-03 5.010008151148895861e-01 4.451761723339237725e-03 1.553720188886314113e-03
6.708159841067904555e-03 7.523647367503254468e-01 7.591613711604495475e-03 8.368933480669487127e-03
6.565563947664204876e-03 1.056620660148248625e+00 5.829832626337762974e-03 3.429418825706820242e-03
5.894109232987435575e-03 5.476447022134113274e-01 2.608441544503935401e-04 9.667138212582913545e-03
3.709016191247469126e-03 7.407441136485330979e-01 9.983508025512068465e-03 2.416232068669054746e-03
4.941183480170052190e-03 6.402683881539491528e-01 4.202805440344310924e-03 7.535706905912309232e-03
1.950886329956759381e-03 5.523356184877661335e-01 3.222000268399599458e-03 2.115041464059668960e-03
7.010974455809485320e-03 1.036190367081335051e+00 8.099422050973919748e-03 5.641503283644372715e-03
7.817642708939606319e-03 8.390668075533144199e-01 5.131430636654613769e-03 2.758321587062640572e-04
2.519653724509596585e-03 5.779791920231941438e-01 8.554606173538153654e-03 1.910498956825655440e-03
2.723871674987430637e-03 1.140444334945894145e+00 8.916235324469277621e-03 6.169055426256783888e-03
4.146596017834328421e-03 1.014738704386469070e+00 5.793063264948318698e-03 3.777630079764567918e-03
7.847341763075200982e-03 1.095740275039837286e+00 3.379398174533123668e-03 9.933703527025214159e-04
9.654303570830205516e-03 1.275282867660803454e+00 3.331056621837041268e-03 2.250712840414057121e-04
4.661745141541062849e-03 1.222038158041097500e+00 2.115481369726616295e-03 8.760117195093475653e-03
1.134412205806307333e-03 1.080171541867088081e+00 8.060894883969620464e-04 4.378809378970614438e-03
3.176001536857276427e-03 1.102603613197990384e+00 5.078089603339518143e-03 3.880253551251257055e-03
3.724578151270890002e-03 5.560211806908365029e-01 2.167502999006869820e-03 8.735121115189842245e-03
