# κ ΔE ℽ g
1.470993662134478406e-03 1.000000000000000000e+00 8.472446876671129584e-03 4.184405398900374953e-03
7.817664327239140509e-03 1.000000000000000000e+00 1.142040267158501033e-03 2.324604546867575609e-03
7.961723374490350599e-03 1.000000000000000000e+00 7.499622867163349867e-03 2.084731590234148273e-03
1.378429805971855254e-03 1.000000000000000000e+00 8.372907048950902972e-03 9.787741772926615916e-03
1.497973299313004386e-03 1.000000000000000000e+00 1.075730817458234786e-03 5.640515478453807414e-03
9.388249500500140884e-03 1.000000000000000000e+00 6.715250630249068077e-03 7.345959077722008512e-03
5.100987238452161197e-03 1.000000000000000000e+00 6.179016844916679872e-03 2.322628912657872212e-03
8.466896225631431738e-03 1.000000000000000000e+00 8.143971564548791245e-03 5.788444527270281918e-04
3.860925721237491899e-03 1.000000000000000000e+00 3.591043691790801219e-03 7.783180832964554756e-03
2.313109439835539342e-03 1.000000000000000000e+00 1.313533100994321388e-03 4.949740947855240693e-03
3.146538727782468778e-03 1.000000000000000000e+00 6.194504455146153388e-03 3.843055685096484052e-03
2.796595796432739447e-03 1.000000000000000000e+00 4.162821559757799716e-03 9.989264219513221271e-03
2.872344415034724886e-04 1.000000000000000000e+00 1.171579894521408835e-03 7.127402103355296240e-03
1.563061210317339203e-03 1.000000000000000000e+00 1.925694844029379521e-03 9.551482777715857020e-03
4.490532950907226428e-03 1.000000000000000000e+00 3.966407178813009457e-03 8.853737911466289575e-04
3.146921696001057141e-03 1.000000000000000000e+00 6.978605715879871579e-03 4.526535935343959337e-03
5.979612578175164464e-03 1.000000000000000000e+00 9.455171324168626032e-03 9.809041160243959709e-03
3.042562038095610391e-03 1.000000000000000000e+00 9.495842101031437554e-03 1.541595116958412127e-03
8.454313726244480978e-03 1.000000000000000000e+00 2.757393300870316852e-03 8.849582460108985351e-04
9.878889501961913948e-04 1.000000000000000000e+00 1.416932492503732112e-03 2.886387400394195037e-03
9.300249187924311545e-03 1.000000000000000000e+00 2.069346476912532588e-03 1.818709941610868871e-03
3.789531489769129395e-03 1.000000000000000000e+00 5.788635415440668286e-03 3.823571983851359758e-03
7.247173008309823299e-03 1.000000000000000000e+00 2.039793338838666575e-03 3.266179150343845577e-03
8.292613776812491830e-03 1.000000000000000000e+00 8.665261492774955013e-03 9.283112843423155583e-03
8.430029475072420763e-04 1.000000000000000000e+00 8.175742410507388230e-03 4.645369894799395057e-03
3.051138126113531624e-03 1.000000000000000000e+00 3.656702058526003010e-03 3.757264895816298488e-04
1.814509005037007443e-03 1.000000000000000000e+00 7.657968753969604005e-03 8.932818961093021495e-03
1.377668924183676497e-03 1.000000000000000000e+00 6.406228185804870544e-03 2.475698057554704193e-03
8.001036145697297541e-03 1.000000000000000000e+00 6.447406988149306448e-03 9.283115000215200890e-03
1.919477620905725001e-03 1.000000000000000000e+00 7.050060297005437092e-03 2.996757255530291004e-03
1.074157021590115609e-03 1.000000000000000000e+00 9.523803400748563630e-03 4.332077368894189651e-03
3.116441999510202211e-03 1.000000000000000000e+00 2.805261727462421330e-03 9.937458654898921259e-03
3.159745425475377848e-03 1.000000000000000000e+00 4.061144343044780121e-03 2.003670094139508185e-03
6.674572548625688426e-03 1.000000000000000000e+00 4.365794380453430902e-04 3.697804551243192867e-03
5.166014854312135814e-03 1.000000000000000000e+00 8.808580069834207743e-03 8.354289457779513067e-03
3.010860721036883597e-03 1.000000000000000000e+00 5.028578812916016313e-03 9.571625848363728498e-03
3.211301347612380026e-03 1.000000000000000000e+00 8.788953865180996680e-03 7.691915690033923787e-03
9.086441663366751076e-03 1.000000000000000000e+00 4.206660956773001191e-03 9.011089835338711301e-03
2.640237385857411808e-04 1.000000000000000000e+00 4.197246840613534473e-03 8.514074511314348448e-03
4.368778102359113617e-03 1.000000000000000000e+00 7.735730303776558285e-03 5.366244373500684423e-03
8.447077513074271321e-03 1.000000000000000000e+00 8.920511422899683046e-03 8.055297531850656723e-04
1.117298984891811195e-03 1.000000000000000000e+00 1.712901595068781974e-03 6.877805585773016754e-03
1.950988975041523720e-03 1.000000000000000000e+00 1.739468691931198409e-03 3.022245272535411566e-03
3.788907686965283482e-03 1.000000000000000000e+00 7.297445590410015642e-03 2.723522438260836398e-03
1.847181200669184217e-03 1.000000000000000000e+00 7.612220618131669385e-03 5.940087232258545007e-03
5.249287068795857950e-03 1.000000000000000000e+00 4.840520792319237195e-03 6.210488079057191468e-03
9.351498158922442669e-03 1.000000000000000000e+00 7.556937577650349978e-03 1.090783739970775093e-03
9.680722726897619465e-03 1.000000000000000000e+00 1.703712236061196653e-03 6.298399291639810924e-03
4.376438579316733329e-03 1.000000000000000000e+00 3.498607972512549590e-03 4.366147479524944836e-03
4.867625323707673070e-03 1.000000000000000000e+00 4.246163233645510664e-04 2.831035114672996768e-03
4.641859462562694660e-03 1.000000000000000000e+00 8.163813970391958427e-03 5.134761218734944926e-03
9.514026839400970686e-03 1.000000000000000000e+00 1.491935730395015959e-03 1.400127900704702805e-03
4.347381408385160746e-03 1.000000000000000000e+00 2.039928395300889125e-03 9.236099876520093704e-03
3.309505828045929913e-03 1.000000000000000000e+00 6.743443732924007082e-03 5.239736887692263492e-03
1.178748437179929706e-03 1.000000000000000000e+00 6.982183790074661389e-03 2.927569658200556324e-04
5.654135332841669394e-03 1.000000000000000000e+00 8.662545377380190259e-03 3.353537696073730957e-03
