# ℽ g
5.883819519810801375e-03 9.433055067654525297e-03
7.984822474912570134e-03 4.657902476708320285e-04
5.451180674212323038e-03 8.906863305692081997e-03
2.361541941602672990e-03 4.835720955606156654e-03
7.140600945997653895e-03 6.748696955739860726e-03
4.392070465491912899e-03 8.050014764796628239e-03
5.541582305120561821e-04 6.666267589129699044e-03
8.809076401655731997e-03 6.184818160430946218e-03
7.674224653898002041e-03 1.867105437383726006e-03
1.610230820336186388e-03 5.951681649140246229e-03
9.686274196418915780e-03 7.688641366646109705e-03
6.272997678966896369e-03 6.356162856275180371e-03
5.375860315241900826e-03 9.743120493909547238e-04
8.112503141552632538e-03 7.564145067280215670e-03
2.041029759178897892e-03 2.216349380639841965e-03
1.672612233475614246e-03 1.373005313220064419e-04
4.180789034138968421e-03 8.298083289894547104e-03
7.411451987557067696e-03 7.151373249650214495e-03
6.189212774173046341e-03 2.004751664577600345e-03
1.259721981915968778e-03 6.304460290023925460e-03
6.188871021334597586e-03 2.619485594809295957e-04
3.261800937193771403e-03 8.596780581703754656e-03
1.898742376632120161e-03 1.505807007954658699e-03
6.439472425954342882e-03 8.767575131680277467e-03
4.042752394800799842e-03 3.908277420243758994e-03
1.763529271558348082e-03 1.300999276243628615e-03
1.611245243412316860e-03 6.494091353073376538e-03
7.362605469285349660e-03 8.409758898498673934e-04
1.057184809217601043e-04 3.048054287884701882e-03
4.808008184219740057e-03 6.064301728234729703e-03
8.862151174966279715e-03 4.842917991359991896e-03
4.310083058389814828e-03 1.220357496661088380e-03
9.050906703319748850e-03 7.024780021245337520e-03
5.468095779692285635e-04 5.351294157538365528e-03
8.307314061346913331e-03 7.746600392454437191e-03
8.394733410122753176e-03 1.254712859870144546e-03
3.847105518283050777e-04 1.238563333583407458e-03
4.143130210749614885e-03 4.043811973645551790e-03
8.864910249178363857e-03 7.175843271882002480e-03
9.987884570917805044e-03 8.505359973607006310e-03
2.765888773020200569e-03 1.868213187930867832e-04
2.825208114504086827e-03 8.037419829715890252e-03
8.608021609103996830e-03 1.332390849524713082e-03
4.911696199622788903e-03 6.421385069018967565e-03
1.395857703679912864e-03 3.776691026932359977e-03
7.265129721811637749e-03 6.875572157208019973e-03
2.648180699610292854e-03 3.189107875805010164e-03
1.713365887036937723e-03 1.453258835305018537e-03
8.138605842329471943e-03 5.693962968524695668e-03
7.465067221774457883e-03 9.385503128860160291e-03
5.381777714665172442e-03 9.417236702843551424e-03
8.901396991861921376e-03 6.421148836391210417e-03
7.913988263191951145e-03 1.279891937345225108e-03
7.195196165661984404e-04 6.327734414222902296e-03
9.703964774207221589e-03 9.290564410311332941e-03
9.335714258409169228e-03 6.608071122776636164e-03
5.054072054227401814e-03 6.940364302741744949e-03
8.698087703795638267e-03 2.220685507764264682e-03
6.254320534536456609e-03 3.777930085808111032e-04
5.441895501820431108e-03 8.487309247589915106e-04
8.902688036413200978e-04 3.840554814882359436e-03
2.029333737655340374e-03 4.894796921649752046e-03
6.443131573167319541e-03 8.167208227466029105e-03
6.375196906465764070e-03 9.547162689364441929e-03
2.935057157606781389e-03 5.854911672575478137e-04
9.447260147279763765e-03 2.310634136450633556e-03
3.804878109960733480e-03 6.217452721316118862e-03
3.259266427070538468e-03 8.752996359118879466e-03
7.823347793462845368e-04 9.158276339774742763e-04
7.083897559369256233e-03 2.878441273312398133e-03
6.494363465363754868e-03 8.406605392254488593e-03
3.742917957732087766e-03 8.719260298005982249e-03
6.436143749937108145e-03 2.679036583988134851e-03
2.555951624862159727e-03 2.394662201351854987e-03
3.488054719560345317e-03 5.128365162167143609e-03
3.453479461678626503e-03 7.236160729671241125e-03
9.253655582842459579e-03 2.459049920506234214e-03
8.644825773104235223e-03 1.949864916956986624e-03
3.000567536140670045e-03 9.117276976700233390e-03
6.942025784442829375e-03 6.896904405458651605e-03
9.062300538756352594e-03 5.886763667486027106e-03
3.924527594472762386e-03 1.736870011146700917e-03
7.167527323733441889e-03 1.656910254785069281e-03
1.625661908897387290e-03 9.147769391565040414e-04
9.744432233649034936e-03 3.964854623274607567e-03
3.727364450532681846e-03 6.181288385963720246e-03
4.936884259184147342e-04 6.951065221454209332e-03
9.145769972538922432e-03 8.272378257635450887e-04
6.209848050459488601e-03 6.829713947500177119e-04
7.294507380149239766e-03 3.933011722040457626e-04
6.791037271110952900e-03 5.660732060061439246e-03
9.845065137145893666e-03 9.066996010491030697e-03
6.262258196049646716e-03 8.034625902808296971e-03
8.234942922428128975e-03 7.717105158599754135e-03
8.177499332676684343e-03 3.169992108059893014e-03
7.526308572303699006e-03 4.557442920717881367e-03
7.016205940217272279e-03 6.227725522913698381e-03
2.899145945199082738e-03 6.677264810395139479e-03
2.118428870089462176e-03 2.950228142293382315e-04
1.020982237994654289e-03 7.544562019332639105e-03
5.021450441689871095e-04 6.501792807249003915e-03
7.951831955893239046e-03 5.016795238729994215e-03
2.243921484723302578e-03 1.154353370036582428e-03
6.355153319415500664e-03 5.550768582063316144e-03
1.206622148317708886e-03 3.348729033991663484e-04
6.661738972080360165e-03 8.310877409930063136e-04
8.889557350116502818e-03 2.412190794215091950e-03
8.598338769702316281e-03 5.024485292302626090e-03
1.103443140189845151e-03 2.107939736057289851e-03
5.028840950891419991e-03 8.235517150272427672e-03
4.205930447734661931e-03 2.569006596862969619e-03
5.197974539957579687e-03 2.338559295540298434e-03
1.864495939962021280e-03 8.205200141644051690e-03
3.598982858691711188e-03 1.741431593043454287e-03
4.476862071845950052e-03 8.815475407832000510e-03
3.570055667761370434e-03 5.786279579877276480e-03
3.416569520125115229e-03 1.202026913472426526e-03
1.920745051234177018e-03 6.288380661297589486e-04
9.111774150907249806e-03 4.818766300333797263e-03
7.568887437802690639e-03 5.887015417049929096e-03
5.840921470458242462e-03 9.932777902003171646e-04
8.315111312349099740e-03 7.494684986414609437e-03
2.262480104914913435e-03 3.102962023157696588e-03
3.375410400181689131e-03 1.467335676186131289e-04
9.910223049745583643e-03 1.351546888590775687e-04
2.882567200786786770e-04 5.030966546246293421e-03
6.282656628019034524e-03 2.100111207366912695e-03
3.415862212669701380e-04 3.488598662624309028e-03
9.666780514334985877e-03 4.239039604716261442e-03
4.016509972922426355e-03 5.509696407423454907e-03
3.346853306846221069e-03 5.582710051925570023e-03
1.560751806803419624e-03 7.841816071683377701e-03
6.994276399914975059e-03 5.570921945760880581e-03
1.933456884518764286e-03 6.431579288538034379e-03
5.365032936289763216e-03 1.188767413226894405e-03
5.503102246663963727e-03 1.005226681426056655e-04
1.251505024497160138e-03 6.216561568297124425e-03
8.361368598939857011e-03 6.158749960657320006e-03
2.287980852271158383e-03 9.214547843198091226e-03
3.501655964800849349e-04 8.067323931879631996e-03
1.837505948449302297e-03 8.205870899052230757e-03
8.773264565689458186e-03 4.390259406928840105e-03
4.516378135555641944e-03 3.811075114746243463e-03
7.708535272197800624e-03 2.423736137409705695e-03
9.907117286886995070e-03 2.904503408583688703e-03
7.937346369871037949e-03 5.815194061854659507e-03
4.802735783563450919e-03 2.103609384223617106e-03
5.027136115945852503e-03 6.230674508368293923e-03
5.132654683116794417e-03 3.588145678386985091e-03
1.051398848586742316e-04 6.532770163128946359e-03
2.896426929402467869e-03 7.992174877120488546e-03
3.018694618723486225e-03 9.230754078731889800e-03
4.469206180081966573e-03 4.922851277039804081e-03
9.689077247530217610e-03 1.463651387920234621e-03
1.099722310961647083e-03 8.210071509611120005e-03
2.689980649145878346e-03 8.423501707319308932e-03
8.723637563870380307e-03 9.062523473007415634e-03
9.982542672222123950e-03 5.748360029272371087e-03
2.383194419135105466e-03 4.129035971008360173e-03
4.936772400563406091e-03 6.395733401096705996e-03
8.083371139012300371e-04 5.692932121299073590e-03
3.344496831784239980e-04 7.075508115934111587e-03
4.105580321283964877e-03 8.168142090553290324e-03
4.858813538596477334e-03 3.437087360107853387e-03
4.578960249736547172e-04 8.468318248057101622e-03
2.879393649443066222e-04 4.585855455720608612e-03
3.450113831515779286e-03 8.660686353799355169e-03
2.011103935453290113e-03 3.011811143896818595e-03
5.971051279057591060e-03 3.474502490875464814e-03
2.929013304728106740e-03 5.605015331815032566e-03
6.985259779051072523e-03 8.557127975723891099e-04
2.386235336537743425e-03 3.965192871942260777e-03
6.014952320780106096e-03 4.570753547463876632e-03
1.408080434437614277e-03 8.968213187742078013e-03
7.231194862099263321e-03 3.439251401817066539e-03
4.356034999815631276e-03 5.423753296769551549e-03
3.892507925998547284e-03 4.784677456550464301e-03
6.893194309075989686e-03 8.814636800509256798e-03
3.947199104125122780e-03 3.058722875490683252e-03
1.958778840516549151e-03 6.933669185572300525e-03
8.517325420692955368e-03 5.806482777171881500e-03
6.581759745367061869e-03 1.347838465705566632e-03
4.614273715364836277e-03 9.695876679496395756e-03
3.086597618977466456e-03 2.885242578983842308e-03
9.717870874472680012e-03 4.675423248246475191e-03
9.372227225860771394e-03 8.543808082365725309e-03
8.518690209448691016e-04 8.302926102848318807e-03
1.291891774962492922e-03 7.145567133651536257e-03
7.549488484307132624e-03 1.588988224939209782e-03
3.915525044873561025e-03 6.199640505345171276e-03
8.263531912773080385e-03 2.391772650006140834e-03
6.900153173289629190e-03 2.611392234458519146e-03
5.630972786419401535e-03 5.266312957852103613e-03
3.215732298997197236e-04 6.975384431997302785e-03
6.904286399038717797e-03 9.812429002383545734e-04
7.053623985051167555e-03 8.921228236699924215e-04
2.765530102311916736e-03 9.387680317161417598e-03
3.870684391829126974e-03 5.088380188858394187e-03
2.066549953501482621e-03 1.881887166610382231e-03
1.758736329836161315e-03 3.225185095141291751e-03
9.812103161062683127e-03 5.301847298317324125e-03
7.420405693432205463e-03 4.973268892673270679e-03
7.505915834154617064e-03 5.789027755108864734e-03
7.192867471631834639e-03 4.848823114674966073e-03
1.468973077145918280e-03 4.299793965868468210e-03
4.595865540243384943e-03 6.964682386772259003e-03
9.616845624342278132e-03 9.046302399471893921e-03
1.727660735433751444e-03 1.783330261916746175e-04
8.504657283099835777e-03 8.826477574442530977e-03
7.201631674681140821e-03 9.100955583280516750e-03
5.151913025845709405e-03 4.553437037867581923e-03
7.064540195312427051e-03 9.570367898789214692e-03
8.528565427170448424e-03 8.933040615441747642e-03
4.239615254273262565e-03 5.303245319969613139e-03
4.063179664712171361e-04 7.024650665566219664e-04
7.618286874810534064e-03 7.536728164450909838e-03
9.377329596244850587e-03 3.478459208174181170e-03
7.499446505578278785e-03 3.777263773314611019e-03
4.200190444237918500e-03 6.934789562953728136e-03
3.801170713113441110e-03 4.870728034104231975e-03
3.991130175301225644e-03 3.520195555664856844e-03
9.517561992924118697e-03 6.837639059670486824e-03
7.328721244680850948e-03 4.576643798987711960e-03
9.006570679258935758e-03 5.514387506748018482e-03
1.673147835270071037e-03 5.549144833743645082e-03
3.599197439315356389e-03 4.256568963072485980e-03
