# κ ΔE ℽ g
4.774331663681629333e-03 8.102336986142165687e-01 7.458349373101613375e-03 5.594301546585246990e-03
6.420695625968009766e-03 1.224609527500518436e+00 4.632622537674873676e-03 6.073393488287559538e-03
1.996899403679893228e-03 1.253875543340335685e+00 3.317439510482727422e-03 2.981979005290730147e-03
2.810131036218417588e-03 5.615591434700411000e-01 3.478759500743623320e-03 3.086893261638506709e-03
5.425916501234989090e-04 1.362661097502811280e+00 6.550676025182876686e-03 1.442229188084453561e-03
3.145456594530308264e-03 1.320122273196119966e+00 1.437513920747708022e-04 2.845634132299090183e-03
4.120513357936032937e-04 5.029704608449109271e-01 5.481434719070605449e-03 3.628150153467981070e-03
2.778062114138492474e-03 1.241025704925618367e+00 5.067643168092295439e-03 6.051435094204743806e-04
7.250861354116976999e-03 7.299416748957433532e-01 4.458011364807656744e-03 3.976312035708247199e-03
9.623351792844335797e-03 5.302245278795625349e-01 2.222942245903118934e-03 7.398389827259183905e-03
3.226117742043050404e-03 8.116960685198192360e-01 2.073731226982072993e-03 7.894083904751486927e-03
7.236758061273781441e-03 1.128590831086238033e+00 5.261196279292187569e-03 3.768692751954587708e-03
7.048764010616748697e-03 1.030270815120461592e+00 3.349529251525555119e-03 1.755311330155212698e-03
7.964667661955006361e-03 5.518478894479047492e-01 4.739267989602404169e-04 8.117316040538828659e-03
1.681943104571368254e-03 7.517532720012887193e-01 7.395037443752945985e-03 3.893814166640895309e-03
8.665745773716117956e-03 1.426435108029954435e+00 6.645989697543221685e-03 4.378411298404022434e-03
1.323976225956734372e-03 7.043788384011067105e-01 1.501438883317902451e-03 6.651338285337942205e-03
2.569946342232635930e-03 1.008263175222088304e+00 5.739031884549780117e-03 7.960759529100063653e-04
7.849549230727288773e-03 5.477485688656535956e-01 7.107380596147070892e-03 9.072616523314761894e-04
9.734576934029197728e-03 7.695396849350005786e-01 7.888753282783175433e-03 5.118258788893060782e-03
3.835717104478015855e-03 1.274610085034335594e+00 2.806573339874979863e-03 9.589097552948906700e-03
5.305326683340466642e-03 7.046030134048955063e-01 6.221186786478603674e-03 9.529822230330010566e-03
4.782513481923445116e-03 9.385569950482031132e-01 4.811454480486023963e-03 4.144400585280246484e-03
8.859595530020501070e-03 6.902142897992905590e-01 6.170130174856704869e-04 1.490023676519105751e-03
1.895991146949467868e-03 1.362284579471006563e+00 1.360209283602532111e-03 8.735946804227335410e-03
4.909513360126062549e-03 7.289053846163053851e-01 5.468751087090404327e-03 6.140597130630955081e-03
1.373562136270818244e-03 1.249107932975811686e+00 3.951688575290608629e-03 6.016860876205546230e-03
9.529301960114843970e-03 1.204108841076181324e+00 9.528169813450639708e-03 8.897830291300217256e-03
8.215236439015789760e-03 1.179073119823544236e+00 4.916679050273327356e-03 1.904508043330902520e-03
1.025898892428507092e-03 5.188624187631555307e-01 2.030528795444348170e-03 6.074614299568880001e-03
7.410502031042791836e-03 9.696753715292940612e-01 7.821803805139582177e-03 3.912493263931311228e-03
3.647660433857873724e-03 6.399920045569371663e-01 6.721576762694312160e-03 1.972259819081451614e-03
5.804669078779054608e-03 7.289466505928130502e-01 8.724759085710739187e-03 8.487911792980678410e-03
5.393646366470368145e-03 1.167434018551041675e+00 6.401124711299020775e-03 5.413513202114664420e-03
9.817863836820232490e-03 9.344469050170919333e-01 2.202788141391279556e-03 2.751499620633836556e-03
5.077715259265797206e-03 1.311048337521256935e+00 3.267625689185217706e-03 9.628878975254119219e-03
9.273037061412124984e-03 1.097362276216050869e+00 6.473584502866738810e-03 6.738389298805692873e-03
5.299186921309448003e-03 8.211382720460268514e-01 6.666279653013703656e-03 9.349570320017933783e-03
9.821464432215562188e-03 1.118343915457183702e+00 5.650949517695299552e-03 1.681263823147923419e-03
6.207203297640088470e-03 1.132429308178577676e+00 6.307473119539224078e-03 4.018725757392470690e-03
4.206754764364391275e-03 1.295219593983864215e+00 2.068920269364173462e-03 6.572032728716625241e-04
4.183075641625715740e-03 1.128778046559752557e+00 5.644264541672945178e-04 7.433440065860217162e-04
9.072219669373621925e-03 1.025993371942893972e+00 8.308935047809775168e-03 3.233208732143428351e-03
7.276096347299349995e-03 1.245607815310349142e+00 8.627479977588912996e-03 7.252566832089314339e-03
3.796091174377164753e-03 6.476795362503603437e-01 1.353877869082169153e-04 7.575498815920866415e-03
6.604544443533283404e-03 1.432009952951471377e+00 5.638588152065541516e-03 3.643283227854499789e-03
8.444480856040340044e-03 9.173552493878072145e-01 5.314597098253982972e-03 6.931433573164642349e-03
1.438127200687594779e-03 1.489838360706161602e+00 2.753504157415464712e-03 8.715882917754295620e-03
1.176413279653221655e-03 1.477753954926509294e+00 5.158115662513360587e-03 8.035195637058465193e-03
6.593379640662890701e-03 9.144692704511849790e-01 1.015578436992990458e-03 5.120559380810051249e-03
8.579583363153227976e-03 5.416082214896578151e-01 9.211196081578752054e-03 5.682108203892348268e-03
1.945739232153612022e-03 6.524140351467938581e-01 1.081814547386339767e-03 4.033787226683709613e-03
1.879810682580962877e-03 1.174746615692793927e+00 4.748028839419223858e-03 8.913415987530516615e-03
9.950407719658634423e-03 1.145814160821012395e+00 9.183587662807517205e-03 4.986939327514474003e-03
5.454291711920710752e-03 8.648732129399641089e-01 2.834766346823886733e-03 7.172420282805937186e-03
9.876466034219117535e-03 1.436372510726411811e+00 3.679920111912894035e-03 8.440032963055921558e-03
1.684269459449228620e-03 1.018466635464298387e+00 4.567508558094490398e-03 5.869874934729514028e-03
1.963315965454598411e-03 1.073305812914712165e+00 2.950028329595194392e-03 3.397804454595460596e-03
7.820834312433072718e-04 8.905166119530856239e-01 7.069119520095724744e-03 4.393770511415961630e-03
7.326323991443998117e-03 1.458031639156209591e+00 1.500989319795414858e-03 6.154005447365786495e-03
8.112534593631752500e-03 1.494000333848733764e+00 5.803036473049642992e-03 5.096431678796171406e-03
9.965010099559776929e-03 9.601342663440464165e-01 6.100902031059000918e-03 9.493023656993091614e-03
5.767578539992938153e-03 7.772937468328751098e-01 7.854000321316095129e-03 7.150587463434159019e-03
7.426166331355205531e-04 1.110355033882209463e+00 5.937911951257151752e-03 1.626627452367145543e-03
7.645998396996315800e-04 1.104728050589780741e+00 9.315678060298085081e-03 4.881365612667490882e-03
6.937000126764593204e-03 1.002564885576531672e+00 4.995194198604432922e-03 5.375423644172000297e-03
9.853487403388128639e-04 1.455410075396167624e+00 9.238000443462240571e-03 1.387796200714381699e-03
4.697922922811361389e-03 1.162643259466677570e+00 2.305932987651978985e-03 8.968423308335070690e-03
2.333177174228939950e-03 7.386387684873010340e-01 4.490539381571473192e-03 2.586308305925246343e-03
1.137060038824359593e-03 1.404532365709520558e+00 9.688273727141588978e-03 1.220588524930740684e-03
3.413050422457792644e-03 1.318091550357786801e+00 4.056486762967792016e-03 8.613572932660299580e-03
6.685945752554164380e-03 1.002763592525343972e+00 2.568315649962508128e-03 7.796559590531978133e-03
8.987094789590657773e-03 9.881710599206270373e-01 2.445192488944134424e-03 4.655566899003310034e-03
6.793814966824454279e-03 8.621243703600393049e-01 9.267940052598145143e-03 6.987965514188121396e-03
7.885957730648641278e-03 8.643858175114960130e-01 2.451091851476403568e-03 4.016545870509067879e-04
6.931761568548243033e-03 1.139702940923395635e+00 2.851597964991981708e-03 5.288534978405934513e-03
3.875567190807687259e-03 1.228536524100570126e+00 8.004274783243985752e-03 1.724600825423804138e-04
2.947392202750317471e-03 1.486298765733417016e+00 6.214410264119553558e-03 5.184222929207327017e-03
9.969805656663173477e-03 1.238014279436764120e+00 8.085747068668559454e-03 4.486729867162070513e-03
9.717350130638006955e-03 1.080876977608443923e+00 1.447500978952595422e-03 4.662754371695223936e-03
8.493182716262833928e-03 1.286775284085011517e+00 2.275488685407743138e-03 1.312103119155391510e-03
