# κ ℽ g
1.503099729552855339e-03 2.916666532500369804e-03 8.048533535134327335e-04
2.219033292935524392e-03 8.610626030181648544e-03 2.546340034369249869e-03
9.828023780788459896e-03 6.772252236316666195e-03 5.053416074200459823e-03
3.451693080039666662e-04 9.333855780396272186e-03 1.190014087473211923e-03
6.509579631360093259e-03 1.455903810756260016e-03 8.635042432973341966e-03
9.866173724112230897e-03 2.197805022333938025e-04 6.818488695771032088e-03
4.105463183426014129e-03 6.943992955957804412e-04 3.471055692002270824e-03
7.960074853562882843e-03 5.575288604686312599e-03 5.387942755915042965e-03
9.737703835670227792e-03 5.947808271486626323e-03 3.738865070695240531e-03
2.923244765440905727e-03 9.585725288199150110e-03 1.258050662187539697e-04
9.689862044037118177e-03 4.750901382594539465e-03 4.995857955170824628e-03
3.915577876459775362e-03 6.366993537936261119e-03 6.622471311288894401e-03
7.869536087923378539e-03 8.697235534651093572e-03 1.325409034950142222e-03
9.116252372941547472e-03 2.928673462118126011e-03 3.622840565776065322e-03
2.773919653962091201e-03 7.774465610810109457e-03 7.868785323230731779e-03
1.475071380829895504e-03 7.139028761819867126e-03 6.153699929946297373e-03
8.819354000386248060e-03 8.132165842941751349e-03 9.908624799135146502e-03
7.931343382374302781e-04 3.266237805585279434e-03 8.036564841605449774e-03
1.031705454864233467e-03 4.443961937861525490e-04 8.072384493798809291e-03
3.788240721880207097e-03 4.857690054543365929e-03 3.698971056916647293e-03
7.378487075536738736e-03 3.018130267223625551e-03 1.964636905642925743e-03
9.555994833366811270e-03 7.178346888465226248e-03 3.661551726490212041e-03
7.725759167361144486e-03 1.038722050343707888e-03 6.564985550779974975e-04
9.088606384362178311e-03 9.071699924847603791e-03 3.620814176255660651e-03
8.552726815126832430e-03 4.794421933150523098e-03 4.761112599781227792e-03
3.273359354113606050e-03 5.897074267268721456e-03 4.608117463712691625e-03
4.243415276675511875e-03 7.803793175008270737e-03 2.792226006287236873e-03
2.080753467451536970e-03 1.735026297465135396e-03 4.200461173854888770e-03
6.479884509599411055e-04 7.723715929181393857e-04 8.168751947040767125e-03
6.321191798741628703e-03 3.877767370589375439e-03 7.643444035778727309e-03
1.344219811393442248e-03 7.032635260213841548e-03 1.623247552658490340e-03
7.057462888602818521e-03 6.451684773740506626e-03 3.178410781070197238e-03
4.926345607088856993e-03 4.702449942685443633e-03 6.696178348969124977e-03
7.208154850370949475e-03 5.309567853235291728e-03 7.186976263657169316e-03
7.540976291815484553e-03 4.435813107826638499e-03 1.834221711336330145e-03
5.014125942967712080e-03 9.772517898371916884e-04 2.259530248905405013e-03
3.655084391216255855e-03 2.118332366546758338e-03 5.595590251480176205e-03
6.924135089557166903e-03 4.516166233480692523e-03 9.635114008081578987e-03
4.536598321299540985e-03 4.068115914626912154e-03 1.099578011630500906e-04
2.563927353029044499e-03 6.482317824819145737e-03 5.545322935858690121e-03
3.258751514400909290e-03 2.702529461524635305e-03 2.512160335572469487e-04
6.701162747991237616e-03 6.055890862341328090e-03 2.254888310185535275e-03
9.143950823650834683e-03 1.700927865704187237e-03 3.184030237362621765e-03
3.950341363611111281e-03 4.673125702575239501e-03 1.267853564806682319e-03
3.683699209197610971e-03 3.925268879850043503e-03 8.641818393404158971e-03
9.863547099416216865e-03 8.006734486425273051e-03 8.298529375474351932e-03
2.067939710207912854e-03 4.310675180730045436e-03 4.520896957617491323e-03
7.394621071374273338e-03 2.589238048552854228e-03 4.173352014488650695e-03
3.967291256008573241e-03 1.642144033889011718e-03 3.981300729435501701e-03
3.403168240609756763e-03 2.730814696987168746e-03 3.143126222185438877e-03
5.854662596757894029e-03 8.427032646533397231e-03 1.908225175841310418e-04
1.828309760501151387e-03 9.999378044594187456e-03 3.795637680138490375e-03
1.317941981442339499e-03 1.511129651542962322e-03 3.064057109446639924e-03
5.952679357887112090e-03 7.103474973962750974e-03 6.264857652326169188e-03
7.947370673959787760e-03 4.829637866104236413e-03 1.452323783120399196e-03
5.431791052451362531e-04 1.136834810460243600e-03 9.915755493169697843e-03
8.611579248227323527e-03 7.581605093942312204e-03 3.121888210229328050e-03
1.898628874856329168e-03 3.608709803233088858e-03 4.491439640048911289e-03
