# κ ℽ g
3.874054541221058894e-03 7.332003783570416149e-03 8.759190727010061905e-02
7.201133125934678671e-03 8.046486188989745991e-03 3.105805485130672811e-02
3.992297952244558933e-03 5.465338095881123494e-03 4.871962124766023722e-02
7.259264137646149334e-03 5.204764309074697871e-03 6.621873341768734489e-02
1.387577256516420382e-03 3.744862518178716359e-03 5.660571562336679657e-02
7.855743945754087992e-03 3.234800638662368565e-03 8.786863854609180957e-02
2.734635985611554194e-03 5.076694061445129885e-03 1.843219227717567826e-02
4.631275385575089887e-03 9.270559865082973403e-03 2.827902684378053727e-02
5.824612491056110550e-03 3.290386437244682914e-03 1.108472624262651397e-02
8.545350189712652006e-03 4.444734551998642640e-03 7.743387117368000228e-02
5.852955086316571909e-04 2.507595363674971264e-03 9.920293108887136280e-02
9.149708273884000001e-03 5.313685842693110020e-03 9.586033170714454432e-02
8.159724852129866812e-03 4.379907585181978986e-03 9.509252656541145043e-02
4.257790072718097181e-04 3.659760050532776822e-04 4.882269375596640787e-02
9.640661293889088435e-03 5.517862504359151779e-03 5.625386538786020241e-02
2.586974843362302434e-03 3.956564711182784626e-03 5.608944528523109735e-02
3.335456919573411873e-03 4.314974556728848852e-03 2.773816447031492854e-02
4.937202609426086762e-03 3.828442194440675843e-03 9.421681051181096667e-02
9.082434083477834361e-03 9.077989812673131764e-03 3.958182780193365141e-02
8.160522345215946889e-04 5.845298308433439886e-03 3.310091779494050285e-02
6.569852468893980224e-03 9.409651268737787011e-03 5.713492847596406132e-02
3.187070458899184024e-03 2.368043334579724075e-04 7.873506716654848914e-02
9.574167260435457669e-03 1.647797990007491891e-03 8.473252261244676453e-02
4.821711343664386237e-03 8.501330856552975768e-03 2.262065132699809036e-02
2.329597316805338998e-03 6.547892762505626817e-03 6.505315932983823934e-02
8.008179172128811890e-03 8.568839799036649316e-03 3.572094330626563591e-02
9.624559102358360915e-03 2.033450276165194460e-03 6.467383707197338349e-02
2.620911335382408985e-03 6.097195316422854630e-03 7.130228164103785682e-02
3.467517401246638167e-03 5.397862848556477487e-04 6.183679779153507944e-02
6.686290853711139223e-03 1.412650722535820557e-03 6.849403616483218382e-02
2.491281101048492194e-03 8.843075294977992057e-04 2.325830928694467420e-02
1.346598430590475234e-03 4.389982208668438170e-03 3.776833982587030764e-02
6.200361982255641127e-03 3.078933624671258140e-03 7.560778249851722588e-02
4.451322886967194747e-03 9.483453917445948400e-03 9.480820778066048615e-02
1.352524450383410601e-03 4.857756873862230373e-03 3.536270506931071117e-02
7.271490714622315561e-03 4.200765545076312613e-03 4.589457309353266179e-02
7.850645166614668088e-03 8.936072084012371478e-03 7.447764538690143654e-02
9.540680934582808012e-03 4.465384611145054895e-03 4.306628250691520166e-02
9.196106742893540202e-04 5.538867459160316808e-03 4.947501533253625960e-02
9.660990893198644763e-03 8.663712719351296040e-03 5.387747442198514286e-02
8.379800368909888497e-03 6.928176337233164436e-03 2.496255827178735925e-02
3.903995932089818904e-03 7.012362271026654527e-03 4.636429074738561418e-02
8.552043906888464123e-03 2.803397765004052300e-03 6.644831065978129558e-02
5.874299382141120757e-04 4.423517538074246691e-03 3.970850677163274833e-02
4.790969553020056788e-03 9.987697859056681934e-03 1.671871429127788286e-02
9.685173551199934699e-03 1.144829883857193149e-03 4.426438376479674419e-02
9.214604387539763672e-03 2.030649978524435781e-03 3.826336341704895949e-02
1.702775202958489329e-03 4.288781829134429057e-04 6.134544191302932631e-02
3.507592618411881514e-03 4.181574087146002622e-03 6.520592586582714401e-02
3.864858604786727304e-03 6.955606257666484965e-03 8.176633822853716926e-02
1.993065938097861138e-03 1.149263630360644302e-03 1.418070024691187210e-02
4.326238339813143381e-03 6.517888220817131834e-04 6.757921681420579751e-02
5.972033749336677633e-03 8.791053057218379402e-03 2.398708839909616947e-02
3.648167965688189039e-03 6.531846269088694475e-04 3.906989534092393523e-02
3.698142122532931467e-03 7.183472263608714926e-04 4.679465915963468975e-02
1.554925640228622041e-03 6.218024700486888927e-03 6.529661173400394536e-02
1.538366397555413064e-03 4.337780901325840634e-03 4.140300377639775237e-02
5.934380248388521073e-03 8.083889864934864534e-04 7.618795381112435094e-02
7.952460020666483886e-03 3.791861259913957647e-03 6.099872000860832172e-02
2.178742335093781721e-03 2.442534010325992343e-03 8.660659772907677856e-02
4.549913166085639213e-03 3.263768616036214886e-03 7.568274265900992726e-02
4.933983966185607507e-03 9.172199567010957955e-03 2.595988620736212893e-02
8.700653629513041554e-03 9.219921988301524665e-03 1.056055191364982382e-02
1.001014068124137998e-03 8.599517592628964230e-03 2.552570850121010232e-02
2.972802407501805820e-03 2.597794402296366850e-03 4.001418138069132852e-02
2.696411338616455742e-03 3.257992426670206897e-03 7.359774731894479227e-02
6.047211091904245751e-03 6.274078186789056218e-03 4.534382162254620152e-02
9.486826416080220911e-03 8.566958908144772442e-03 5.087897558027111578e-02
6.170523850568545091e-03 5.904035640899389301e-03 3.826814153746609104e-02
9.733955674055848328e-03 7.013575753995160769e-03 7.718071634371487244e-02
3.732727100466395106e-03 2.275771159485663608e-03 2.809637549963305697e-02
1.630204439226142334e-03 4.450637298609652105e-03 6.915095632783585522e-02
6.969030141476591049e-03 5.499351234796143878e-03 1.908143526797597203e-02
2.021790030531870740e-03 1.907208790858335281e-03 2.290522610646207602e-02
5.670860178134707295e-03 9.389188534775220335e-03 1.686570836416356745e-02
5.269656224804773921e-03 5.761933134941499279e-03 2.403358614281912026e-02
5.901425345654310803e-03 5.866128292770028674e-03 9.973467155824904118e-02
8.536438310379384012e-03 5.352685607819956080e-03 9.735873167462727462e-02
1.880598494970167969e-03 9.563386641097761792e-03 4.466136291503116501e-02
6.612355409342903639e-03 7.286163424219900542e-03 9.030646596290470285e-02
5.193009824929804103e-04 7.019127844281448578e-03 1.704681838059689952e-02
5.838905232404596572e-03 3.186586247098198606e-03 3.086290888664344062e-02
8.611875960485633474e-03 3.938080415622262354e-03 2.813826082821043600e-02
7.941585494037780441e-03 4.166264236786669517e-03 9.391478974857758732e-02
4.460391721514377072e-03 2.602790714215314719e-03 7.257412094526377588e-02
7.576532593638760082e-03 7.264912290271393833e-03 3.185320559815669333e-02
1.668708108843190404e-03 2.591867095655436999e-03 2.356492997692602107e-02
