# κ ℽ g
1.815924052554232461e-03 6.868120086403336003e-03 4.265545520899098088e-03
5.395247531308032659e-04 3.282414866291478214e-03 7.595105333172566357e-03
9.793301955948817417e-03 8.418053580791453119e-03 4.280011562774436659e-03
1.757286930132808929e-03 5.942734212203066614e-03 4.772864510491146134e-04
2.173357949526168956e-03 1.925890400398311058e-03 7.833161156398274483e-03
3.787083208117782238e-03 3.604767378583696009e-04 3.511701223196439080e-03
2.344077120828312599e-03 1.138976839776685134e-03 9.951267116273207827e-03
1.597908871776846339e-03 2.534957287847498450e-03 8.431846322971470534e-03
3.541267685519895909e-03 4.015428362948058466e-03 7.016461429676423660e-03
7.936560553322728404e-03 9.189659638982551962e-03 5.285142534138127443e-03
7.837227714479680710e-03 2.046193836045887438e-03 5.636526673070379155e-03
9.408839110648378051e-03 6.927785397172585291e-03 9.187966361195636436e-03
1.527866071288101844e-03 6.472129752466223088e-03 2.292334701658731589e-03
3.404726328740430123e-03 6.382224118077435560e-03 2.569063456510022395e-03
3.829253437854967905e-03 5.143642649687298236e-03 4.247123827912088062e-03
3.538363237571142978e-03 6.150713255398787549e-03 4.142505212415817026e-03
8.571026915157880935e-04 7.590357459472629048e-03 3.504161675714683529e-04
2.417540949701234461e-03 4.362173252018373623e-03 2.028655198547505128e-03
5.866710236220291398e-03 1.232431087941283790e-03 2.036130248709018369e-03
8.254329787597517940e-03 2.548723502892274832e-03 8.500609876043939764e-03
4.415042974369725627e-03 8.206817431986682468e-03 6.882825684800543062e-03
9.792365791020543261e-03 4.264006320136571639e-03 7.914891614466788503e-03
4.335435559260672825e-03 4.117708096187281536e-03 9.465628908067527658e-03
5.744511900558419391e-03 6.679319239310700131e-03 9.740500502242529710e-03
8.981318551848442230e-03 1.827901686126524785e-03 8.625275175513135231e-03
1.650398993786661439e-03 6.894483068578006850e-03 4.663775273514130827e-03
5.043687378941739789e-03 1.202169464744064090e-03 5.000883131291053788e-03
9.784808422590662857e-03 5.633671671927634010e-03 5.085760399118059065e-04
8.157333728138659729e-03 9.189992764681260496e-04 5.400944839161945198e-03
