# κ ΔE ℽ g
2.370406968758063601e-03 9.317377986229151698e-01 5.805488104021157281e-03 4.156598108998442063e-04
5.596007390026288240e-03 9.805761569508539832e-01 5.998732531331020523e-03 1.662243769216836700e-04
2.239699173080610985e-03 9.129242632411306291e-01 3.324560124153989882e-03 1.505734472396626049e-03
5.979989487437832943e-03 9.792219186650805707e-01 9.402851323403163888e-03 3.332567499372240429e-03
3.030100872352003549e-03 9.655047950663943057e-01 6.721438161832279067e-03 9.306455477238734578e-03
8.152906927571004075e-03 9.344374056269529882e-01 9.345562951190544698e-03 2.506664681538670579e-03
5.089021493409825146e-03 9.596651303596545057e-01 9.180554111312369536e-03 8.691067324582682149e-03
2.510801805631878054e-03 9.494824980066386422e-01 7.505772010910858986e-03 4.935465348289243791e-03
9.106834169554867825e-03 9.334129514242655024e-01 4.584611963143753709e-03 8.549338487103722017e-03
6.966813498891520628e-03 9.160112209258457483e-01 3.809528865681726783e-03 8.835965197842316626e-03
4.216945326075829253e-03 9.307751573166352932e-01 5.848979757059091442e-03 2.863358065700860426e-03
6.091998258278361750e-04 9.532759624842699342e-01 9.149985072134365991e-04 1.851333284754432202e-03
2.916496030395229495e-03 9.550908496488778043e-01 6.932936213019744859e-04 4.561332126037992082e-03
4.143935112049156044e-03 9.969755454078066403e-01 3.697464208857946261e-03 8.596767460724854051e-03
6.033769823921553838e-03 1.001354797671106800e+00 5.411903485355221317e-03 6.071302424104630530e-03
8.315642647615230582e-04 1.064473190751437981e+00 4.278432027732906665e-03 9.288091025956160887e-03
4.866820431469734073e-03 1.015974522323825457e+00 7.795011255895451657e-03 1.162694956631188901e-03
5.695036305596283197e-03 1.059380317826493112e+00 3.290297170581158327e-03 4.106305913618294931e-03
4.927736338419220000e-03 1.092878005375589767e+00 2.283699441543804703e-03 6.788583014525902994e-03
7.198767356432066167e-03 1.085198127862940121e+00 4.888111169166637834e-03 6.815855703690179047e-03
5.667341187125925217e-03 9.527411470014501838e-01 5.624894754573453275e-03 5.848565044166921870e-03
9.520942455538940891e-03 1.071704643623681896e+00 7.321853096010215098e-03 4.729092620912908607e-03
2.202808742831606232e-03 9.223087153093156854e-01 4.392882550316691385e-03 4.030661072465554877e-03
6.530120452850070312e-03 1.053925334238395184e+00 1.938306335151451397e-03 6.742290913682682206e-03
3.518664219664735526e-03 1.050104994842894435e+00 7.462939168302076300e-03 2.030909780876377461e-03
4.075342812040382880e-03 9.377663420565082175e-01 9.061397706178874606e-03 4.209719508766810586e-03
9.548934964223959815e-04 1.062293291906166504e+00 1.622596998514473383e-03 9.330946588874287559e-03
7.391323608478483301e-04 1.068472324478510593e+00 6.905247411606390238e-03 9.991387127763876747e-03
5.248941422925962504e-03 9.034324937120451482e-01 1.785212148764459732e-03 1.358403281220374893e-03
8.964736644158475751e-03 9.881902165614849798e-01 4.091068243878200408e-03 5.939244864979269407e-03
1.798512176364291601e-03 9.064163608585645848e-01 2.696695644407928315e-03 1.743421119675416919e-03
5.246199142897305968e-03 9.252488476009627094e-01 6.266902756244115483e-03 8.621769308890487454e-03
8.873179597663205520e-03 9.530138452678992289e-01 7.362317444239502122e-03 7.618505921039134092e-03
7.869860090287960491e-03 9.977276783868280763e-01 7.086622525427807920e-03 9.625998376447484489e-03
9.778814201009377802e-03 1.078557092812401974e+00 2.251301483790134946e-03 9.867739896868083643e-03
4.104476719053658002e-04 9.737858160161982912e-01 6.304914458864366647e-03 8.771818628642633411e-03
6.372586196131924466e-03 1.035772691642556476e+00 5.607601708600265522e-03 3.324706877984605347e-03
8.814574687827992847e-03 9.085646294200987461e-01 5.524002569030317736e-03 1.887133114664980458e-03
6.647442360915583812e-03 1.050171521862419910e+00 8.763024074332163155e-03 7.922178648730784575e-03
9.897095654873105247e-03 9.386201101451412399e-01 5.584429229190723820e-03 3.197704484120140675e-03
8.034026650761114802e-03 9.479181498335749190e-01 6.892447133328357366e-03 5.043933298332208340e-03
5.913250448080858979e-03 9.173447674944581465e-01 6.246949226587867297e-03 9.842594522350258182e-03
7.312335742822645944e-03 1.030039975790162377e+00 3.530328881783449321e-03 6.180684846676530626e-04
1.123058912415184334e-03 9.365802155751706826e-01 7.129436369408225643e-03 6.873970018769112430e-04
1.637114706117907045e-03 1.003273623999825004e+00 4.048539434052837380e-03 4.876032781534609360e-03
9.981655849345840922e-03 1.093364328570723076e+00 3.262710607917546860e-03 2.458127462773607684e-03
2.886823750157421157e-03 9.689612851393192283e-01 1.148716974929715664e-03 8.379418859146359547e-03
4.602005956606357653e-03 9.834946846851136959e-01 2.058164038451290243e-03 9.831258595424954838e-03
9.771711512359532170e-03 1.049944510650544061e+00 1.940438514042406139e-03 2.132041176013307112e-03
4.971986600668965592e-04 1.072957451146758334e+00 7.297851226842570933e-03 7.575165705956239670e-03
6.372574915432018157e-03 1.073476992993227963e+00 4.166286119599636566e-03 7.566209378947531296e-04
5.163187258961719761e-03 1.055737923612285245e+00 8.746019776726668069e-03 9.987196331719867121e-03
