# κ ΔE ℽ g
2.249686387371412598e-03 9.158269471590847477e-01 3.148640784643884881e-03 1.532098771803496297e-03
4.701613143194982233e-03 1.038602980102970363e+00 5.626658941429712058e-04 9.706531529389229515e-03
2.542012024046143726e-03 1.076451540066000190e+00 8.930879405354676115e-03 8.877523916223525879e-03
4.328641422048142571e-04 1.077003294136825273e+00 1.968691827037837364e-03 9.639709073853464788e-03
1.535094525013548129e-03 1.099435878179641835e+00 7.424385294561096360e-03 4.033725508382678127e-03
3.517837702311720719e-04 9.500549238584409251e-01 4.798072321021848658e-04 2.413406552578331067e-03
6.238754865390192667e-03 1.010146970218219975e+00 4.593783897354273074e-03 5.974213361783578709e-03
7.077642148492263932e-03 9.553340217452712668e-01 1.924549640493792560e-03 6.244376641007867712e-04
5.910744459671650464e-03 9.044093078934262175e-01 1.414268272108435169e-03 3.129644783009863981e-03
1.145745521578567542e-03 1.058400937846928125e+00 7.499996140514443924e-03 5.509085318310502459e-03
2.686108011459696892e-03 9.128510660265815035e-01 5.462195991955388907e-03 3.026240403316721194e-04
5.098217565538589423e-03 9.008129420501866935e-01 3.462995719679907644e-03 7.692939532216684986e-03
5.417693567989127854e-04 9.278548906708438127e-01 9.609185454427461928e-03 9.469509897950582900e-03
2.715975556493003401e-03 9.249953849647881698e-01 8.384112968337662647e-03 2.759774534684047466e-03
5.819621406382636392e-03 1.052047863332088440e+00 7.531727434488034306e-03 1.466423144846434662e-03
7.800408187886413020e-03 9.163534991896900017e-01 5.740982891188248574e-03 2.514077946513781827e-03
3.265103779450421410e-03 9.354369675813439811e-01 3.774672941938025592e-03 6.396811909376826089e-03
2.567357569465424615e-03 1.083913794366419214e+00 3.266294445493801452e-03 2.353343519560753289e-03
4.770604643489377897e-04 9.536498032006374137e-01 7.196837955403154359e-03 8.076780451072545618e-04
5.031855364623160666e-03 1.008072639429655304e+00 1.447694049969738871e-03 8.781766549296106741e-03
5.911940758387241104e-03 1.029077106241162110e+00 4.513806035286040998e-03 8.121341382534931486e-03
1.910788237145134437e-04 9.365377505186212037e-01 6.756971803051405392e-03 3.209440117268100648e-03
2.940010751890480712e-03 1.033820835800062232e+00 5.389310689309481477e-03 2.054968687470746570e-04
1.771071240608681563e-03 9.285205910466470813e-01 2.857698600963715953e-03 4.321697644475220798e-03
1.194515637169540380e-03 9.885135022968924989e-01 4.989526235966397667e-03 3.012015591275779471e-03
2.997581982944824523e-03 1.001730884362238783e+00 8.508083876942757612e-03 5.149998466357165374e-04
7.857649142376261359e-03 9.877146723054553989e-01 6.263559910612464046e-03 4.241566253448095410e-03
4.428804378957780681e-03 1.027118457034250643e+00 2.888164395612686196e-03 2.885177130895868851e-03
1.354607031781184315e-03 1.046998764447662822e+00 8.324509921109011015e-03 8.683668891107696602e-03
4.847449861026861123e-03 9.637665470444092275e-01 3.628101160052037057e-03 2.084702273144095792e-03
8.260226031049072021e-03 1.082506008118768515e+00 3.825861692108389108e-03 7.541066323708185172e-03
1.910360359861060274e-03 9.057063955569510938e-01 9.710504875140382047e-03 1.983923626687793197e-04
9.750215286048281860e-03 1.027085464265472314e+00 7.683027055651776849e-03 3.733650166465042088e-03
2.980251072222475130e-03 1.035248171598181610e+00 4.171205965292699817e-03 8.198522888537467315e-03
5.723082034802221864e-03 9.491685697031480018e-01 8.425071994734668673e-04 5.120552110263873122e-03
3.256394721994052780e-03 1.082035507125458595e+00 5.926334128476738045e-03 2.531023999639870638e-04
6.280026629838894765e-03 9.710864393356153368e-01 9.275094010130581490e-03 1.628568578660429846e-03
2.160152333727452609e-03 9.994756110936491300e-01 3.943249265864996050e-03 6.452162389168855129e-03
1.531279224833277186e-03 9.780261731429080729e-01 2.786731427285682287e-03 3.374314547470356161e-03
6.394340784364958494e-03 9.390728539954780185e-01 2.858373102289882284e-03 8.160454666265392829e-03
8.201159202601249545e-03 1.016587749954661835e+00 2.341323476749738400e-03 2.660777038455191743e-03
4.667889002442022865e-03 9.088727964254976754e-01 7.487580530109022407e-03 4.007838866171929866e-03
1.015671582225395608e-03 1.033052719308614531e+00 3.513682819947196254e-03 6.946417467496274201e-03
8.377040701525766825e-03 9.860542453315409572e-01 8.367722078981240999e-03 3.863721945376073948e-03
