# κ ℽ g
2.669746019824225346e-03 7.031540806172861292e-03 4.735911918507966500e-03
5.820405978802421776e-03 5.812406862990001505e-03 9.214913027252533487e-03
9.453592032913137738e-03 2.711349173586462529e-03 9.047064136592614450e-03
6.092951917974241856e-03 8.295975861925285189e-03 7.151471105758266250e-03
1.408357155784279412e-03 1.174669054117552817e-03 3.969332439095604390e-03
4.027104495214229966e-03 9.516970966382204758e-03 7.416291358338146251e-04
4.239048071697545071e-03 6.996825598523334980e-03 1.016862589872398210e-03
9.696095019639763835e-03 2.192998015585577790e-03 9.586811653171793332e-03
7.859508914768218932e-03 7.404782848450460440e-03 8.500400804861972179e-03
5.685531148750048698e-04 5.170152324755244305e-03 9.459010885730392143e-03
4.641313403343233154e-03 4.366813582211795039e-03 6.763440818699259331e-03
8.465871335991768942e-03 8.027345115706978687e-03 5.702593947684541677e-03
9.880031097138234145e-03 3.261913798646601075e-03 5.246054820394962029e-03
7.471991540857560003e-03 3.594125480817453658e-03 6.253320443918053070e-03
7.758551932456825111e-03 2.049426655334540999e-03 1.293728526327990588e-03
2.378711924183402049e-03 1.310845233057230785e-03 2.691328803723571413e-03
9.825350414492619103e-03 9.026209734555805386e-03 1.658518836300942228e-03
2.247510728470298712e-03 8.929388211458421862e-03 2.153807354274742125e-03
5.883932178996064202e-03 8.431002738555615911e-03 8.450813663632634684e-03
8.535953074726694220e-03 6.578080869093083129e-03 6.317747595003237945e-03
3.747124708841849047e-03 3.198411408565554614e-03 1.162518421153058146e-03
7.903312615427647222e-03 4.193850953888828004e-03 3.615900309137325130e-03
7.992675723055099601e-03 6.015432551029954548e-03 9.691837412114927275e-03
4.469109700583974269e-03 1.547110430891983747e-03 9.540609401615081711e-03
9.782027044387828912e-03 7.124088211484704523e-03 3.980850243156539361e-03
9.616149119000052051e-03 1.295164509926415887e-03 9.319611182513332787e-03
6.323213676875596642e-03 6.679276278173607896e-03 8.210068591939047311e-03
5.735377225661223918e-03 5.197687568097036741e-03 8.016222372270119176e-03
7.897808181628529142e-03 6.474396789259572078e-03 6.649020749386249513e-03
5.995965061656257158e-03 8.456300902137664846e-03 4.768107846108861521e-03
7.492860376188553023e-03 1.077624268554310850e-03 4.502450655855139150e-03
1.931394171781972450e-03 7.584753442456860714e-03 6.062716827102357202e-03
8.787776690981852212e-03 3.227836659030480348e-03 9.882263438309361533e-03
