# κ ΔE g
9.650971236601163517e-03 1.389509295979420855e+00 8.097508731307156982e-03
2.981797376986524035e-03 6.130526172376590255e-01 7.422917449349829278e-03
9.772985672529517845e-03 1.488039460399651404e+00 9.625219288846858720e-03
3.317808293909703214e-03 8.158759467538502230e-01 7.901555127050619368e-03
7.230145355936682360e-03 1.449822700458128111e+00 3.556049469992131080e-03
2.283466215017278342e-03 1.264732914294184996e+00 4.009118619699650853e-03
2.963182842027984199e-03 1.203931385536134435e+00 5.052391224283725966e-03
6.109371126916430216e-03 5.272958541608939731e-01 6.532102919466330898e-03
5.242029338658552202e-03 6.843682067813940950e-01 5.263712582834489256e-03
5.492457747105427071e-03 7.358999517875319807e-01 9.856002133847480834e-03
5.447633955310239237e-03 1.398744612795517428e+00 4.450472330174813293e-03
5.383751909858792463e-03 8.029767668327238983e-01 5.669879961286549558e-03
6.386206609708812258e-03 7.967029823754357976e-01 3.198958992290300719e-03
8.653420885055759793e-04 8.731902880785101795e-01 4.689877589458801821e-04
7.649340024559742393e-03 5.540979449290757142e-01 9.231196647300286828e-03
9.425442317123366651e-03 6.997425422611671664e-01 9.963676315195917413e-03
8.902557446226084040e-03 1.116739613223219019e+00 3.082711786282485433e-03
4.215357981677765424e-03 1.026925719799725911e+00 3.469293279844772818e-03
2.098382632679102015e-03 5.140650946698585022e-01 9.873664396981533461e-03
3.189657793786396245e-03 1.367141889364053675e+00 5.254142451927551645e-03
4.479324193391274155e-03 9.167517623616630029e-01 2.189021420855654342e-03
9.338971130886570410e-03 1.088454413056100245e+00 9.645643596622099566e-04
5.997190816484919071e-03 8.526362858453186977e-01 6.236564785153396288e-03
5.126489153543816249e-03 9.161171571015416237e-01 9.146934772819217269e-03
7.571876615748349831e-03 1.064736505794501742e+00 5.861227146491822249e-03
9.174987778125217805e-03 8.843873338588715827e-01 3.907905454853706495e-03
9.163703523558311761e-03 1.325532087513310309e+00 9.340761621323719413e-03
7.136940815165678485e-03 9.266475931314858139e-01 8.470278624508999557e-03
5.386780742831834105e-03 8.180317609213201280e-01 4.896472553162396768e-03
3.031452417585536047e-04 1.267057944589290663e+00 2.960740722982972001e-03
2.196056131976262434e-03 8.893262989145320763e-01 2.953897848178325784e-03
2.430873103347067077e-03 8.607960129487014500e-01 5.198556551880032135e-03
3.981076271328740784e-03 1.298872769834627849e+00 2.486945754889099535e-03
7.388570651147236511e-03 7.402056257170614995e-01 2.472972145736913353e-03
9.330823656906022875e-03 5.089717460819768169e-01 2.387090075547185393e-03
8.958189014133531233e-03 8.871480987351947345e-01 2.573969128785941283e-03
1.537059348581331676e-03 1.335960552420171865e+00 6.837882762659375745e-03
5.592384747863710787e-03 7.077237374698956973e-01 7.282387236832573926e-03
4.322393095566948347e-03 6.989573695479505133e-01 5.111270591748119478e-03
8.189070895128465824e-03 1.469602925053142606e+00 7.230532492103433975e-03
6.738540783173865498e-03 7.640307682880159712e-01 9.671389681486081830e-03
3.923461139762953430e-03 5.729973178109233345e-01 5.730138488606967458e-03
1.049695046443368043e-03 1.018645487963123708e+00 7.984671588308983603e-03
5.287883405822627839e-04 1.097489906493739786e+00 3.618078521639317077e-03
5.521839768649564745e-03 5.560624015150291699e-01 7.945854167135229726e-03
3.984415718664929482e-03 1.400389177832884080e+00 8.546313969684209274e-04
5.654960940986182745e-03 1.499839633293917007e+00 2.613004738433267159e-03
4.609739405434504613e-04 9.643819396339537997e-01 2.799132881024517412e-03
