# κ ΔE g
5.075143766815016708e-04 1.090129684901979257e+00 3.304429610226399579e-03
5.169240356460735354e-03 1.315326403606900119e+00 5.665052857555872949e-03
2.358679893186128168e-03 1.422933877826793037e+00 5.601821871813632888e-04
7.820868588900584464e-03 5.839324319123953000e-01 8.001158154403257292e-04
1.169697197211655351e-03 5.128368674491491364e-01 4.584294487590105487e-03
3.013393233894517097e-03 9.948970352148280849e-01 8.717383327768425672e-03
9.931064997805626182e-03 1.212604630926054528e+00 7.646801512156735370e-03
2.036447744129798402e-03 7.248742495427294985e-01 1.253848403165864957e-03
7.857445355618100299e-03 1.177950865804546332e+00 6.598908578761198372e-03
6.806553960871072721e-03 8.704179532760115690e-01 7.738235991695027738e-03
2.657400080356829564e-03 9.496376727904701776e-01 2.432227560605110424e-04
7.900993864084970494e-03 1.248380733407121301e+00 8.399242732602336991e-04
8.092020313613798241e-03 1.130027679204356428e+00 7.432838446866435987e-03
4.598352158850008663e-03 5.619222601060931410e-01 8.351233875262154428e-04
4.439040279160054447e-03 9.844008970576020312e-01 5.136824887032325967e-03
8.440277596841140248e-03 1.008714548754559459e+00 9.532462730569691775e-03
1.541808650644030496e-04 1.451054701511106826e+00 9.218444443814987482e-03
7.711516548882225118e-03 1.347826772569848286e+00 8.580522582975033848e-04
3.474307132877788896e-03 1.455602425163061930e+00 9.138551970120412787e-03
4.276554892661745856e-03 9.504399297728326479e-01 8.746891596247726233e-03
3.874140975856814936e-03 1.217549829659989591e+00 9.268579676960476271e-03
1.970064922469315881e-03 1.060120474591616624e+00 4.715806363883717767e-03
8.284626801220358952e-03 8.223399748457347336e-01 2.588153645976970420e-03
2.062761529241863203e-03 1.199776746354676682e+00 1.205976748753966044e-03
7.859057584541639940e-03 1.357397078871756646e+00 5.864060847693767760e-04
7.016666734847764632e-03 1.325115693101252656e+00 5.563093121005172753e-03
6.864991146734901115e-03 1.471664915894272729e+00 2.673295071634810400e-04
9.244906068868241622e-03 9.014485459275400903e-01 1.210701090423446083e-03
8.812187761381398005e-03 6.414459095022022606e-01 2.537824419708197173e-03
1.360530777855200376e-03 1.371883449583016557e+00 4.464435759664541446e-03
2.000427010241056635e-03 6.024346768553361375e-01 8.358581536183759195e-03
6.671823611610466602e-03 6.458805836312833115e-01 8.292052188069345964e-03
6.915182937346120613e-03 1.310887503056181513e+00 8.103862707084834999e-03
5.781341836717014855e-03 1.232835196440525749e+00 1.162607813601174243e-03
1.627419813726822210e-03 1.008870737184387245e+00 2.762235535648428428e-03
4.931659752077354082e-03 5.521875789974910465e-01 1.104583699930349701e-03
4.824412298337451242e-03 8.988367307724615118e-01 6.327483743287968566e-03
5.027771749587802525e-04 6.096746345138368550e-01 5.861605733450278577e-03
3.680987472360214025e-03 6.085867385964156551e-01 4.622792723975526798e-03
1.964048662255004230e-03 8.901831733114985434e-01 6.446541501560447765e-03
2.652626079184251980e-03 1.271384503756509687e+00 1.009175188073278915e-03
3.705861206888505423e-03 1.223158320683829015e+00 9.977367652955660901e-03
7.115379455370138967e-03 1.190772051028417433e+00 2.764373238427662687e-03
1.159911740974459106e-03 1.018724161986554799e+00 7.037816595112775155e-04
5.179707483065551510e-03 1.025671060676140556e+00 3.595739353106090080e-03
6.735748006435499438e-03 5.660496605680961357e-01 2.809178700558967456e-03
4.031509836535891733e-03 8.337397304522393693e-01 8.660375371206391684e-03
1.736791573832004816e-03 1.020246270101359265e+00 4.953851666010128559e-03
4.812431234775812333e-03 8.955140119907932794e-01 6.763856560241610430e-03
2.478180359231159976e-03 1.042576032353598414e+00 7.390634779358799811e-04
4.176715958683913620e-03 6.412764386194104160e-01 4.660134573414010523e-03
4.577637628155991484e-03 6.840906737385672454e-01 3.507213277203671820e-03
4.475355937871607938e-03 6.627632717471201307e-01 2.837404449708659168e-03
3.956520236722388373e-04 1.365083924656312231e+00 1.928339779639254249e-03
3.069103425566933364e-03 1.148892117677887015e+00 7.581096903668175721e-03
9.543984686212649352e-03 1.480347714976798290e+00 3.355158301644709656e-03
4.216885699406787771e-03 8.568584664186910116e-01 1.911054655718405493e-03
3.185150655358738505e-03 1.102035808363220903e+00 1.025136451377276110e-03
9.602652039197769746e-03 1.299013449502757878e+00 4.187917386915286470e-03
4.257227746377323374e-03 1.135055900056495704e+00 6.145593316227170077e-04
3.394693661475489677e-03 1.043237541092748799e+00 6.101271390214890906e-03
8.521449045272659270e-03 7.132975994615868842e-01 9.174043706977400015e-03
5.828514243834488975e-03 6.608737476537124289e-01 7.996299645941130560e-03
6.229613726483582440e-04 1.415377397120646474e+00 3.237237234398436872e-03
2.373521049194650488e-03 1.292153026455049591e+00 3.366090907737376986e-03
7.727044547111761898e-03 1.205709808882336365e+00 8.484248451983885872e-03
9.155991082415198407e-03 6.087911223014257356e-01 4.285509638971270706e-03
3.466786621278347691e-03 1.178842685641756649e+00 2.003113513867350523e-03
5.303584028340224341e-03 1.377391745535037959e+00 2.010884452086521973e-03
8.406916015471997336e-03 8.049644666469686349e-01 3.497579679135059613e-03
2.001500754434349001e-03 8.783248607242247763e-01 6.397646566203005810e-04
9.001300253921529909e-03 5.305774032828464160e-01 6.628391647331457505e-03
8.963263698828775189e-03 8.071013756899274583e-01 5.956488450441893220e-03
7.752283818232969664e-03 5.817434982009525024e-01 5.958051250520941464e-03
4.084461995442375398e-03 7.459274997516237571e-01 3.055561317437207637e-03
7.723436679379708713e-04 1.205782150983981449e+00 1.245099750140474964e-04
3.774011864942319883e-03 7.857120875268774896e-01 7.022534661311845977e-03
3.737031248541909309e-03 1.243064695440195599e+00 9.981382938536528457e-03
6.218376608515464865e-03 5.863574474931615432e-01 4.985695572386675658e-04
1.838913560009182218e-03 5.304760233481731202e-01 2.565947870327699078e-03
7.311854141246061298e-03 1.475364903475371081e+00 1.789311273310114367e-03
6.574081332365225468e-03 6.499685622237821869e-01 8.164286286576378712e-03
5.729654674923576052e-03 1.100257792728775552e+00 3.272672742817751661e-03
3.162256336187292422e-03 7.494244596315441376e-01 8.518766767080698105e-03
6.755250016021155293e-04 1.126828157531155838e+00 2.166230685508865710e-03
