# ΔE ℽ g
1.415751398731545319e+00 3.669168778398674072e-03 9.928592437184260988e-03
8.668556684808170765e-01 9.488705007739170472e-03 8.376120538879754107e-03
8.830963303334865566e-01 5.486098667033866092e-04 4.815575347477191875e-03
5.158294149819626639e-01 9.073030407336164088e-03 9.180947623606446062e-04
1.150793170944681698e+00 9.831645898855099694e-03 3.514941753041212879e-03
7.054292245643051240e-01 4.908419723857826780e-03 3.157862029568576749e-03
6.738151289832376989e-01 3.013117772142110827e-04 4.644557731455127049e-03
1.483094358994740736e+00 5.281495936073450290e-03 5.308986012729623692e-03
1.471257206101128645e+00 4.320848599697079719e-03 1.328607043417086861e-03
9.130994673619322599e-01 1.206000483242135367e-03 4.601426859462589680e-04
7.541696951697954843e-01 4.612751130159653025e-03 6.101891645669733520e-04
1.103749626147964236e+00 3.747976108640697218e-03 4.137585986627904423e-03
8.281939413311832920e-01 7.087422325006115242e-03 9.194097440447357439e-03
1.029160211747421672e+00 7.382759303764326216e-03 2.473824759936144296e-03
9.117837153041794540e-01 6.455542592256505868e-03 5.945265030898246560e-03
1.276294520073986583e+00 7.486439141078068179e-04 9.518679463322316653e-03
8.570389583314595994e-01 7.081936798340997090e-03 7.634223461667834915e-03
6.217008878912009262e-01 4.614322954357287336e-03 3.226948975580309562e-03
1.364083835209214834e+00 8.052738325038969955e-03 3.792673957987825663e-03
1.143735396743839505e+00 8.200338999112124355e-03 5.608460225635021959e-03
7.543827558114318821e-01 4.478948059741938784e-03 5.934751039581337602e-03
1.481377072426838915e+00 7.737598179198247432e-03 7.083472407383094652e-03
6.875692065859150270e-01 3.702627225856415169e-03 9.089942061973336346e-03
1.441812415734685437e+00 1.464089721857087141e-03 7.462362784869918352e-03
5.553364922572148199e-01 1.423244815703132802e-03 4.426241809670546784e-03
9.578207566929944905e-01 9.766482850409504909e-03 2.807024482633477974e-04
5.005061602607185911e-01 5.408826831300837454e-03 6.993583766630519748e-03
6.227643196103014311e-01 8.857380537358142125e-03 1.818135927283794692e-03
1.345444435082771228e+00 4.141724389025578518e-03 1.469130390862428493e-03
1.256830985706275605e+00 8.336958023313439936e-03 8.598890999151094852e-03
1.107187418881272922e+00 1.590048436103704737e-03 4.198679657672801067e-03
8.742139168585151277e-01 9.075275819684248263e-03 2.089501083217364542e-03
8.544251194876555378e-01 3.252077259932030680e-03 7.118765039086140563e-03
1.238792014243143669e+00 5.683238463664725716e-03 5.091591104457678964e-03
8.664799012637085518e-01 7.686078725366617299e-03 4.308167702920361573e-03
9.481682646091029731e-01 9.666429677936736950e-03 5.277081725380411426e-03
8.792345415264731789e-01 1.573368172642489399e-03 4.995231430168898049e-03
1.090991207640146010e+00 4.231742486239303195e-04 2.109313197891418343e-03
9.440884969840364072e-01 9.073894357199069685e-03 9.342499410779775415e-04
1.067288429790027138e+00 8.713659082352498420e-03 2.569571807353179197e-03
6.180307745422795040e-01 3.307646617000370524e-03 3.958124917863160841e-03
7.184288219753128812e-01 9.784459723785016855e-03 8.748802079028658585e-03
1.109603051794965989e+00 2.867544996272985633e-03 2.667392214295417549e-03
1.304744831633909641e+00 7.588595644597185587e-03 2.870632403736402515e-03
8.098665848844401882e-01 9.508119696543353150e-03 3.367835089414374788e-03
8.110762196608570784e-01 9.757245499491475418e-03 5.292179429849481684e-04
1.423857188873220103e+00 1.682594357241275554e-03 8.392667634932304138e-03
1.363922704262768404e+00 6.016732387036923891e-04 7.557146809679855543e-04
1.281706098489038048e+00 2.151143913133613753e-03 2.478386895061753404e-03
1.066543659374260322e+00 9.681058752781719970e-03 5.582280819162601477e-04
1.398369503846458084e+00 8.213812498894792688e-03 5.610893584905308693e-03
9.700303429662540111e-01 2.279703089181361192e-03 7.261958250700611961e-03
5.094022078185732605e-01 3.196054031737861727e-03 6.993317199826212631e-03
