# ΔE g
9.746458520399947645e-01 7.161825895392246594e-03
5.766618141144441712e-01 5.440509392199463501e-03
1.139528447557029089e+00 3.058170256908400615e-03
1.246053704064057577e+00 1.291939908698334439e-03
5.207914162406966918e-01 2.600283001443142155e-03
8.383315210339167267e-01 9.317366441658878409e-03
8.438316083739543227e-01 3.452534603535697705e-03
1.411292214945840673e+00 1.098512855463353857e-03
1.157006546030397764e+00 6.373382993579520227e-03
7.952354458533643644e-01 5.135687989405237318e-03
1.245330556013550805e+00 4.904521009658465228e-03
6.932912768298503670e-01 8.801689587176686957e-04
8.189030149443179418e-01 2.785861626265249882e-03
1.257742197242627480e+00 1.434282087301249828e-03
1.436125871624238215e+00 6.724980023621085316e-03
1.364332470442664480e+00 1.784075651769152955e-03
1.172071950411504249e+00 3.276995727101245960e-03
1.297411326855595126e+00 3.125963519559993818e-03
1.358433033199289985e+00 4.516282969596789945e-03
1.453551710005819730e+00 8.689286140949666060e-03
1.195377085444536469e+00 5.475068049553060041e-03
1.338076556177322907e+00 9.300817453694569178e-03
6.152551815925014767e-01 5.085119128274248786e-03
7.341718892066559921e-01 3.521080775569377166e-04
1.298316795988005756e+00 7.333004821794798615e-03
1.321926376472233322e+00 3.205484758144859590e-03
7.300053325809967575e-01 3.435913248568228141e-03
8.560490932708840761e-01 1.598003135163578864e-03
5.050878468431142521e-01 2.407857730290991101e-03
9.624309511764421732e-01 2.075930016802176540e-03
7.264741521060673612e-01 3.330261111910673595e-03
5.462912107788714389e-01 2.596979263634250409e-03
6.574746823565053022e-01 4.949722898476617908e-03
1.389983443892071291e+00 4.261546143975075522e-03
1.402027704149128917e+00 5.981630850724480378e-03
1.389438844963762909e+00 1.561479991445466255e-03
1.251282283005028084e+00 5.106094823605277985e-03
9.989999454423842407e-01 2.912725741724419854e-03
5.018078809346389058e-01 4.834413754458460194e-03
5.954680589220052722e-01 8.695297357245557190e-03
5.708974697936946008e-01 5.857440968275730644e-03
