# κ ΔE ℽ g
6.675205436310642157e-03 7.274165358123131364e-01 2.260508344697154549e-03 5.126386073499378596e-03
9.003985302246473449e-03 1.154961207795999423e+00 9.513532270422453418e-03 4.205679344237852561e-04
9.076202502861721241e-03 7.292135638616930038e-01 8.442279914556215931e-03 8.752284663579369337e-03
4.697130625855512262e-03 1.027441866238528956e+00 5.520230203782651446e-03 3.506598024640111225e-03
5.851803991519842832e-03 1.018769930528164336e+00 9.607657050708489840e-03 8.474700751129606371e-03
3.514725523965570378e-03 7.383448226801094805e-01 7.115370204848269625e-03 7.531672075994561878e-03
1.658911682435081645e-03 1.340092252456930755e+00 5.524681653865487832e-03 5.442065570583872955e-03
3.494047444098392734e-03 1.091595883519207444e+00 9.081401101078179910e-03 9.199124669049180136e-03
8.261027170122900790e-03 6.596480984847944429e-01 5.404523539103829773e-03 2.404521880534952420e-04
3.132748923002475101e-03 1.278935268921057133e+00 9.163001304023485685e-03 6.451149870164537420e-03
8.368263219678684015e-03 1.019970051866228911e+00 1.261896656795455894e-03 2.924141099276355259e-03
7.167044318363028667e-03 7.309756405659496581e-01 5.460051176188747239e-03 1.651799958130018920e-03
2.234633125037746842e-03 1.315738754114789577e+00 8.651777815544089978e-03 9.610827517555297836e-03
1.539665152236396840e-03 1.115002058482534197e+00 4.828778411199591454e-03 4.138116885956806892e-03
3.538848203973305514e-03 1.324103746236838353e+00 9.495961488775760129e-03 7.836755907945603186e-03
2.818192341068617972e-03 5.336689504212325241e-01 8.296495794009726976e-03 7.546040284611230803e-03
5.785618786786127753e-03 5.654624347073431423e-01 4.574738862239134327e-03 3.878279929893161705e-03
2.539725423416279524e-03 1.471332741139622868e+00 2.029976910542041681e-03 1.181727062380661872e-03
4.725570902058610218e-03 9.102794768858741836e-01 3.223601603207107945e-03 4.223608532387713999e-03
9.862722437536443690e-03 1.028177737597525176e+00 1.963634986876767932e-03 2.925217956592262355e-03
7.394010611648398935e-03 5.973551567720248867e-01 4.155074847339140613e-03 7.896767635349227071e-03
6.271494153429343736e-03 1.456829269898766377e+00 1.185688560508742564e-03 3.276157949624209156e-03
9.866508736605604166e-03 5.565187102085361603e-01 9.936671537063280352e-03 7.335667235889717190e-03
3.755917549906985509e-03 9.270806869394043748e-01 4.272269108349953555e-03 3.375360540151659070e-03
9.171398818073809092e-03 1.487772509109148711e+00 5.887025555518093922e-03 7.615428189659125685e-03
5.099951425029353863e-03 6.131168720924375926e-01 4.816977591493552986e-03 4.859061326320857077e-03
5.570807823703152230e-03 7.469722381951358070e-01 3.756267819392590870e-03 1.261393225589291798e-03
6.902045379957867134e-03 6.865609316643349613e-01 7.641931651966016141e-03 2.457000869405495062e-03
7.232735260113120615e-04 6.390575227845425310e-01 7.067719525453190592e-03 9.343957028295043349e-03
1.771418881056523393e-03 1.075988704055260925e+00 3.390123244899775467e-03 5.214246116428332758e-03
8.344900226583002942e-03 9.620158360953928733e-01 8.842295246299638686e-03 8.615838399821903679e-03
7.170775567111450574e-03 1.270877281143206083e+00 2.205616579673001527e-03 4.354593250068288478e-03
2.462649715357467621e-03 9.726051437315162973e-01 1.742520256347981694e-03 3.969166454562272905e-04
1.511326984167383125e-03 8.285737751908391902e-01 7.999903682105718311e-03 3.071592132877713332e-03
7.693154455964361545e-03 5.090056799719784308e-01 6.492741984351914006e-03 8.813515234274912902e-03
1.781007568720651985e-03 7.233806410424116207e-01 2.836923504761246998e-03 7.155161486659127219e-03
8.510851887914668706e-03 8.116887509795122080e-01 6.894602816324073118e-03 6.595769220053069107e-03
1.415434827744281891e-03 8.552400141012478363e-01 1.106761254118691093e-03 2.003701801119731844e-03
2.669729765059612910e-03 1.419585926559191913e+00 2.352136688754916279e-03 2.405706056362658541e-03
3.353774294316107848e-03 5.346536916867954403e-01 1.272784614719914839e-03 4.683779838785463723e-03
5.920807959311297219e-03 1.122929176030712073e+00 9.150801208697869824e-03 1.981619675759697767e-03
8.319755947209968305e-03 1.028844556512926722e+00 7.682177826342524024e-03 2.796521585666276490e-03
1.455067050096881063e-03 5.776897295832936763e-01 1.914100896383399107e-03 2.234734281842785594e-03
6.251844073500155939e-03 1.003019507280343170e+00 2.826599322387150347e-03 1.611774641726370022e-03
1.843147322781032212e-03 7.055505383389001350e-01 5.641031068616510387e-03 6.076736977795230534e-04
8.881226315441108007e-03 9.918816912914169004e-01 3.206175615771549112e-03 7.604126001347140396e-03
1.292392236992210858e-03 5.349199852872559280e-01 1.167341119654029865e-03 5.166618023352114722e-04
8.256580677339980454e-03 1.438440236914126036e+00 6.879933225990365712e-03 5.800122176134466824e-03
6.436308782247728358e-03 1.047827067072284013e+00 7.789013184508361727e-03 2.163805978219978093e-03
8.410485807059426763e-03 1.339359753825167365e+00 8.598101148543630225e-04 8.562617881892003666e-03
1.370307419471873765e-03 1.239923254592193436e+00 2.252508087561324798e-03 2.880718314086105642e-04
6.381854438237806459e-03 1.213987680821416948e+00 5.857660231767211102e-03 9.202380262314945394e-03
5.801110242830854330e-03 7.280223509053240782e-01 3.858758215075328533e-03 1.478820362346277163e-03
5.927567406880722596e-03 5.146346600976569041e-01 5.539972380245048768e-03 7.452957657174183632e-03
7.685441235821920472e-03 7.413371663738338446e-01 2.170678543185720032e-03 7.897161899492228729e-03
7.628929480671278393e-03 1.411267180704340873e+00 6.199588490927004578e-03 5.929118135045077266e-03
3.646743545084014416e-03 6.372013626870397518e-01 7.770351099913855829e-03 8.605554967869707625e-03
5.142243575249855897e-03 1.435556968684370549e+00 3.640946872704395234e-03 2.468649844998902724e-03
1.182042878853933540e-03 1.267986021383432860e+00 7.883811433901028939e-03 5.272075429366044654e-03
8.312605411508832906e-03 1.468822724373276101e+00 2.671775556327428392e-04 3.740440674895960556e-03
5.692533032187641062e-03 1.332409702862283662e+00 2.826337545157050091e-03 8.775516395569138775e-03
3.212884903096397630e-03 1.239038630958438469e+00 7.761298779129187624e-04 3.359279820815361597e-03
6.531613622079142888e-03 1.323511723005216023e+00 7.670899029334089098e-03 4.410788234292709054e-03
2.088739181949343226e-03 1.241789149321838037e+00 6.879463303765546295e-03 5.379132776553748399e-03
6.776667781684403945e-03 8.399977269366560861e-01 3.840248645079603115e-03 4.919881674941266152e-03
9.853736952767042437e-03 6.808064788741967632e-01 2.247364069883716177e-04 4.436316346775861542e-03
8.428646419292432079e-03 7.086343493418637562e-01 9.273198557379945875e-03 3.342815064702715690e-03
4.929714462330097788e-03 1.272553422355108488e+00 6.229402383002021794e-03 8.561134142111816864e-03
4.657656943276597059e-03 6.029806309536224207e-01 3.077254436005395170e-03 3.850643061719345728e-03
5.354055643487250389e-03 1.456463031114701767e+00 3.687822733002007070e-03 4.796190789990244750e-03
