# κ ΔE ℽ g
5.662758193984032337e-03 6.147778646101971223e-01 7.854287295414196304e-03 2.945596626608504298e-02
2.112668566708532803e-03 1.296399135232145561e+00 7.806598518235230433e-03 8.420227551732639704e-02
9.962779443694736933e-03 9.414044920747125511e-01 7.482048821812559668e-03 6.041981410809451475e-02
3.989851037823157788e-03 1.444752011690442206e+00 3.943476397039361904e-03 5.621792010341011836e-02
6.638947995463525707e-04 1.048982077522663925e+00 7.914997221524519653e-04 7.697847933361916251e-02
4.609420016889758179e-03 1.341871395314528703e+00 2.108331356560075049e-03 5.096092282538495360e-02
9.455380078693906634e-03 7.861703876889443166e-01 9.618539511497360694e-03 5.880307757411529224e-02
3.297539139350194951e-03 1.254130172276401112e+00 3.346263107678530083e-03 8.277906300970920561e-02
4.424719023997871099e-03 9.159914005852248797e-01 6.114003316592245274e-03 1.964980347344207415e-02
6.877782840189533217e-03 9.106593442873249789e-01 8.364416105613734290e-03 3.642942406713615966e-02
3.503410511636714103e-03 1.232559069181796252e+00 7.233567016903192162e-03 7.639660672894596494e-02
4.286860357012805579e-03 6.786788507261013459e-01 8.245682870229019759e-03 1.281447222386907815e-02
3.236343243406482936e-03 1.483331738618722806e+00 3.202469237505381136e-03 4.800815283596267247e-02
1.347952750832306403e-03 1.347629522404605984e+00 6.917919826853655661e-03 9.736718810872188601e-02
5.153441759936087940e-03 1.106702556968322204e+00 6.292697410389795805e-03 7.183799440068994180e-02
5.300413283546774948e-03 8.661157941446214759e-01 4.809008230676803212e-03 2.075983696773308143e-02
1.508522046979566059e-03 8.250053984749692315e-01 9.746619762662080827e-03 6.472805058953691459e-02
7.530616586837327389e-03 1.182986627938496182e+00 4.847602843963851396e-03 3.510706626602756036e-02
6.405438028172549640e-03 6.642615303560041040e-01 3.349918799484439928e-03 1.363207249680845057e-02
5.116036751432968821e-03 1.302752857043889545e+00 8.002276504290903314e-03 2.770286771585276503e-02
6.333666022060918579e-04 6.114805672985339502e-01 6.598379440838138266e-03 1.144843096064279697e-02
7.784981503329218427e-03 1.013495995695798957e+00 7.862063375090653713e-03 9.841534020859538101e-02
2.897650342110413770e-04 1.289522130039860048e+00 4.523788789385328746e-03 1.946161649225128243e-02
4.589087139297868753e-03 5.902642826607201743e-01 8.393786645857078191e-03 5.867935074807376084e-02
3.311815183577377329e-03 7.685693763551113555e-01 2.452874397679857647e-03 7.314964759803471717e-02
3.633314688762153116e-03 1.388941260062851679e+00 4.781254807649651557e-03 6.834708546183904110e-02
9.783671023014507695e-03 9.493163178610964925e-01 5.386999565200549511e-03 1.534033530754907830e-02
4.522800240474854870e-03 1.313924069932822958e+00 8.808539205325888882e-03 4.516550057591407069e-02
2.006450369264403677e-03 6.152205016615458488e-01 1.848006597948047324e-03 5.309484070978881531e-02
4.410418746947412059e-03 1.199528672759889725e+00 3.046622586641859354e-03 4.628172913718919812e-02
1.714467023615306659e-03 1.220385540259024015e+00 6.694917155527970593e-03 9.710254702815515615e-02
6.018380862566244383e-03 6.952198612301244696e-01 4.256167245583810169e-03 4.441068005563526822e-02
2.218236151921484239e-03 9.612924929413790842e-01 2.034797548051163994e-03 8.626306525249941015e-02
1.073427045322926246e-03 7.152821535620118576e-01 9.951646388448328814e-03 8.161744782433096035e-02
4.577011387930493905e-03 8.770142522924924133e-01 4.738010228799343694e-04 8.627233093376868167e-02
6.930409645832687031e-03 7.563394133266204689e-01 4.854540987414995325e-03 2.169489764778421634e-02
7.676735712834455161e-03 1.499021046747365027e+00 9.543629252511186961e-03 1.473352075602043718e-02
1.305706948523257128e-03 6.158435847663680240e-01 9.378381330534814667e-03 2.382865698939019491e-02
4.872067374047992991e-03 1.461572952538996439e+00 7.387642677582027632e-03 4.848198304511040085e-02
3.470856478202181006e-03 1.023662578162399805e+00 3.181613513106114691e-03 9.727610191680470531e-02
5.935263343671709664e-03 1.302815415199460869e+00 3.243542342825484013e-03 1.714046850672527877e-02
4.659582480003382314e-03 5.387488524891452801e-01 8.180590204641980182e-03 3.236232161164770416e-02
7.880084724493450349e-03 8.207684284426750576e-01 4.009094108549000890e-03 8.104178022414616767e-02
3.091983561228885385e-03 8.853223825340507114e-01 2.284953106050537867e-03 2.403053655052518611e-02
1.681169330864935971e-04 8.341271609588997160e-01 7.297087807182013781e-03 7.023256048849051136e-02
5.614229636520067651e-03 1.465608476374520741e+00 7.519494092943643064e-03 8.364672914614765253e-02
1.982690655666137763e-03 1.224201851559056475e+00 9.285995822252477924e-03 2.897586979929837880e-02
4.485313696657433451e-03 1.129509813401191387e+00 3.386079163331356858e-03 5.252656657620789760e-02
7.651027337331382794e-03 1.126669280107924997e+00 8.843245149919678680e-03 5.749048442967220202e-02
8.113248226880635794e-03 1.411663424792131361e+00 3.522494878186968170e-03 7.208598924539327824e-02
8.770966511268943680e-03 5.034627915537408516e-01 8.810023414474633593e-03 3.474106369847887454e-02
2.884460140707119716e-04 1.301449037503525474e+00 5.545871687602428081e-03 4.419201179756422626e-02
1.671968434366057034e-03 1.004375471655049701e+00 5.428125684915873807e-03 1.508357391808721158e-02
4.254586191460254206e-03 6.132536768316694253e-01 9.679432188492903327e-04 8.490330520128817893e-02
3.654853513427104225e-03 1.321655005184589893e+00 9.039589985766543698e-03 9.241949606607302581e-02
2.705002532410000823e-03 5.611209339813235664e-01 7.768839036076845761e-04 1.300125366978376398e-02
1.751772842752660590e-03 7.267298462045772567e-01 2.132398969757394371e-03 9.139671663439581650e-02
6.816239957103115490e-03 5.054109668174391334e-01 5.966203750093034344e-03 7.869091925094212625e-02
4.910784679275414849e-04 1.406418684214461479e+00 1.978116008798194193e-03 8.941844619377276038e-02
3.649483773273203523e-03 7.228964392012751095e-01 1.630474121427303571e-03 9.427621728068105722e-02
5.227516628288877282e-03 7.824284459834502936e-01 3.974283137988771780e-03 9.344048877108368512e-02
1.812696707546634922e-03 1.150467302164549066e+00 2.772803036777819839e-03 8.587307125852812473e-02
3.023897101012742224e-03 8.706295682066732544e-01 7.631284093724112136e-03 6.189561974684373857e-02
1.468005276808533001e-03 1.201151626970288877e+00 7.693254739420747786e-03 1.490248375569311334e-02
1.729415461888803235e-03 5.612750953714777946e-01 9.287989463873937493e-03 6.080163292008413517e-02
9.282399502761292873e-03 7.983395111844583392e-01 2.908149152651758919e-03 1.050933186649207450e-02
4.900222973262658051e-03 1.122111264139122877e+00 1.005755045400992802e-04 2.077151628752160750e-02
9.285630523958721474e-03 1.228013543503340799e+00 6.413759779505228374e-03 8.623269251279329362e-02
9.568904144170820936e-04 1.495671855574550069e+00 6.125664389799240044e-03 6.637636426012258339e-02
2.621600610932430051e-03 1.193318557310038441e+00 3.719311047878084194e-03 9.036717367933956579e-02
3.613434308870692915e-03 9.180802195661622589e-01 8.293740196255191752e-03 5.953991647665363152e-02
9.485645216713868219e-03 1.197952603116353654e+00 6.211072407787571496e-04 8.189524053379237944e-02
1.729514113979059185e-03 9.258943826040260117e-01 6.806504696466449296e-03 4.383591173958062415e-02
