# κ ΔE ℽ g
8.014954553057283479e-03 1.179858440586292190e+00 9.904067932522013507e-03 1.593248870725400869e-03
9.275766681391314425e-03 1.448951556394215245e+00 4.824345447861978255e-03 7.833681275397368429e-03
5.571440244272331081e-03 1.156424096445302308e+00 8.177832338771303874e-03 5.243841180605899113e-03
4.119711472848051372e-03 1.418655456580660168e+00 6.839687461274518258e-03 5.213159998178238178e-03
6.941091045465112505e-03 6.957590209446498086e-01 1.496045241613275711e-03 9.645294618940933665e-03
1.636941992586535798e-03 8.874111702720726136e-01 1.922085652232641620e-03 8.281389324453391348e-03
4.700962364816915762e-03 8.154445428356248415e-01 2.005670687253926707e-03 8.805543432710763799e-03
4.333250537528690258e-03 8.692169587640729000e-01 2.219438440325192333e-03 9.148959060699304868e-03
3.841429983302684006e-03 6.753355248468643213e-01 4.463719584264395218e-03 7.143132394555253006e-03
3.947331195586013634e-03 8.412542467382310152e-01 2.733729049561774236e-03 9.024184922464402805e-03
5.309254078278946923e-03 9.708680114054478727e-01 6.829471833426588312e-03 7.590864922948434811e-03
3.286681325096212167e-03 1.398161161612637038e+00 9.329406418101645476e-03 8.624020587562807039e-03
8.089445216223628207e-03 1.395493662844552452e+00 6.876054944255994075e-04 8.360802675890016342e-03
7.106320727640922730e-04 1.323529409645399557e+00 9.090861173502546091e-03 3.337756328181007426e-03
2.422317710813508534e-03 7.514392923298989224e-01 7.164840717230450823e-03 3.144847201389283815e-03
2.330381906364133345e-03 1.059410533379579800e+00 1.689624968461381433e-03 7.660603134601566208e-03
9.713950973402837342e-04 1.450634395960777256e+00 6.282444760426057935e-03 7.242906900527196559e-03
1.984147408092066991e-03 9.336475343991148534e-01 7.778984096684265267e-04 9.405025478805071129e-03
5.275973108331233515e-03 1.147589078961129827e+00 7.013958732709775490e-03 8.809554390024584500e-03
6.196305706121223167e-03 1.179255502862650573e+00 6.653071581159027137e-03 8.524068361692408325e-04
6.613825752963365529e-03 5.603529076343112258e-01 4.691421304954843802e-03 2.788895598548351510e-03
6.562887902669519748e-03 1.462993021861539011e+00 1.757949261931855082e-03 8.748047994923544707e-03
1.283845169368367568e-04 8.715253348840535930e-01 7.159133416158506777e-03 3.459890527456210840e-03
1.186007584306262869e-03 5.429034210663364890e-01 2.260688130644269121e-03 3.086243196836742451e-03
8.816020893907289269e-03 1.216704457297477449e+00 5.517658677010207381e-03 3.982643407516664631e-03
9.681908007128781427e-03 7.989709058512172168e-01 2.873833137780559214e-03 8.147736124269258987e-03
3.869817289138575284e-03 1.420695886700646504e+00 7.818047861399321508e-03 2.325450146979236681e-03
9.806276945019438626e-03 7.266551580578378688e-01 5.559380529531024982e-03 1.832283431891839438e-03
9.402420940339223029e-03 1.282656446012057749e+00 6.145029847553239166e-03 9.475832951035493418e-03
7.179552602611123831e-03 1.004776606316488685e+00 6.341955311209339363e-03 7.323089624896838776e-03
3.492343762086356444e-03 1.496855662716500390e+00 2.236316987372768961e-03 6.301331461767424938e-03
7.725161300825857634e-03 1.492846781834260561e+00 5.786473024201694779e-03 2.668250156498784900e-03
4.787187145121141706e-03 1.194629770287671811e+00 1.235684791716592590e-03 5.027163831053556992e-03
3.109774087492511111e-03 1.443376549732048986e+00 3.057056931930841361e-03 8.487193219422751317e-03
9.193561862209584379e-03 5.590000976331522820e-01 4.147463920823083253e-03 4.858183465747201515e-03
6.620277970644707771e-03 1.335085851420303893e+00 5.804014278417529184e-03 3.021213739655370396e-03
7.543314776066574467e-03 1.413463489481357360e+00 6.701344585257863577e-03 9.294632356062336453e-03
2.918196139682623178e-03 5.407946713511654346e-01 1.171947725233727679e-03 9.082853634039688914e-03
8.903760235197779802e-03 1.426463550779394129e+00 9.382380576582508361e-03 9.314550548128300994e-03
6.676400817882453473e-03 6.357865847517401026e-01 4.992250482519413474e-03 3.037355263702803346e-03
2.850646872395859194e-03 1.020583413596824141e+00 9.998135450026392895e-03 1.132033997695259912e-03
5.936409113946618764e-03 1.363773598846296675e+00 4.030046086624815629e-03 2.827774931662947657e-03
4.268369245496190373e-03 6.201895518704159116e-01 1.953195442152529451e-04 8.648162124056791786e-03
8.403286245903859170e-03 5.283743234066805572e-01 8.406190409412603662e-03 9.834221587324876862e-03
3.836406821371895950e-03 1.074992113139408012e+00 4.088009587818250759e-03 1.621445702794370447e-03
4.855310950277739145e-03 1.399890932952414069e+00 7.362660197202073285e-03 5.363248300588155208e-03
8.616830221594838635e-03 7.842579505190266920e-01 1.196235714841575610e-03 1.173037555701895128e-03
2.231050314648308323e-03 5.738139655311694787e-01 7.245360201233988842e-03 2.891465796529195213e-03
7.450560849874412334e-03 6.884088836097288500e-01 1.924489525018893959e-03 4.498836865660259601e-03
7.157926665442594476e-03 5.459548135628972121e-01 8.977056472942173890e-03 4.508022706344063518e-03
7.120697523932967808e-03 1.376708082038796466e+00 4.996469871911747573e-03 6.446421691906303007e-03
3.047042671875506100e-04 1.460998914546674410e+00 1.149016949124690833e-03 8.684951819643415422e-03
6.472168654578089146e-03 8.420776101344633613e-01 9.118166547574290196e-03 2.106604742916701883e-03
3.848289683160103971e-03 1.141426959378299966e+00 6.273897144185233699e-03 7.161919849999625470e-03
1.270206577356394750e-03 8.036157104123463624e-01 6.453657618349857225e-03 9.905134089107838630e-03
5.359940583196384084e-03 1.041289254688535060e+00 5.249610335701198650e-03 5.315534632358042029e-03
2.725835670348432382e-03 1.202127513354859900e+00 2.049908929847949965e-03 4.427285105313555173e-03
1.374380080616120032e-03 9.408176881098906374e-01 8.483943090330996889e-03 5.517308675005255098e-03
3.953517603507627695e-03 1.267080369430679365e+00 1.899316525721336324e-03 1.505458783716632706e-03
8.354452710216954750e-03 5.921271711582831720e-01 9.616070201325306252e-03 2.830023421104044517e-03
9.701334076473210402e-03 5.376575665949302474e-01 9.143983719874456545e-03 3.595371557237653139e-04
5.392173262052250664e-03 1.213870629785983812e+00 2.674457156268564804e-03 3.808700056091232720e-03
2.344501896397377470e-03 1.138867679474086181e+00 3.819297627033880690e-03 3.643233390891702748e-03
3.109335080816142370e-03 1.015597680989770213e+00 7.662061872524794127e-03 8.827299690964688500e-03
9.173576841798859044e-03 1.289871890348955663e+00 8.108970654718260576e-03 3.260675801791076012e-03
5.837026981884806467e-03 1.401595310033327157e+00 7.519433129002672540e-04 7.058445289212281724e-03
7.161469547586531842e-03 1.073176784647885018e+00 1.082204799175641267e-03 5.969534219386995848e-03
2.286203261136731269e-03 1.027933170215527880e+00 4.905481809265347173e-03 9.745294778624886620e-03
4.846517102297099450e-03 1.109861120467906082e+00 7.360237864843101156e-03 9.705864954562659630e-03
8.593401522456892497e-03 7.499725086900220772e-01 2.042946201492206945e-03 6.792135743974057416e-04
